time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffSp,HtgPct,OccClgSp,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
2025-01-27 14:30:00,936.545,0.0,100.0,101.78,1478.98,70.0,100.0,74.0,70.0,72.0,63.95,84.0,69.0,85.0,68.0
2025-01-27 14:45:00,937.25,0.0,100.0,102.17,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,64.77333333333333,84.0,69.0,85.0,68.0
2025-01-27 15:00:00,945.02,0.0,100.0,102.37666666666668,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,65.89,84.0,69.0,85.0,68.0
2025-01-27 15:15:00,945.02,0.0,100.0,102.69333333333331,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,66.89,84.0,69.0,85.0,68.0
2025-01-27 15:30:00,946.43,0.0,100.0,103.02333333333333,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,67.60333333333334,84.0,69.0,85.0,68.0
2025-01-27 15:45:00,942.1966666666668,0.0,100.0,103.35666666666668,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,67.58333333333333,84.0,69.0,85.0,68.0
2025-01-27 16:00:00,940.0733333333332,0.0,100.0,103.51,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,67.96333333333332,84.0,69.0,85.0,68.0
2025-01-27 16:15:00,947.14,0.0,100.0,103.75,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,68.48,84.0,69.0,85.0,68.0
2025-01-27 16:30:00,950.6733333333332,0.0,100.0,104.26333333333334,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,68.94666666666666,84.0,69.0,85.0,68.0
2025-01-27 16:45:00,942.1933333333332,0.0,100.0,104.39666666666666,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,69.35000000000001,84.0,69.0,85.0,68.0
2025-01-27 17:00:00,940.0766666666668,0.0,100.0,104.70333333333332,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,69.52666666666666,84.0,69.0,85.0,68.0
2025-01-27 17:15:00,943.6066666666666,0.0,100.0,104.83333333333331,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,69.71,84.0,69.0,85.0,68.0
2025-01-27 17:30:00,943.6066666666666,0.0,100.0,105.06666666666666,1475.4466666666667,70.0,99.56,74.0,70.0,72.0,69.93666666666667,84.0,69.0,85.0,68.0
2025-01-27 17:45:00,941.84,0.0,100.0,105.63,1478.98,70.0,100.0,74.0,70.0,72.0,69.71000000000001,84.0,69.0,85.0,68.0
2025-01-27 18:30:00,945.02,0.0,100.0,105.82,1478.98,70.0,100.0,74.0,70.0,72.0,69.28,84.0,69.0,85.0,68.0
2025-01-27 18:45:00,940.78,0.0,100.0,106.49,1478.98,70.0,100.0,74.0,70.0,72.0,69.84,84.0,69.0,85.0,68.0
2025-01-27 19:15:00,930.19,0.0,100.0,100.44,1434.48,70.0,94.07,74.0,70.0,72.0,70.25,84.0,69.0,85.0,68.0
2025-01-27 19:45:00,938.66,0.0,100.0,106.59,1478.98,70.0,100.0,74.0,70.0,72.0,69.75,84.0,69.0,85.0,68.0
2025-01-27 20:15:00,972.57,0.0,100.0,94.53,1387.87,70.0,87.83,74.0,70.0,72.0,70.38,84.0,69.0,85.0,68.0
2025-01-28 14:30:00,946.08,0.0,100.0,105.34,1478.98,70.0,100.0,74.0,70.0,72.0,68.385,84.0,69.0,85.0,68.0
2025-01-28 14:45:00,937.9566666666666,0.0,100.0,105.76666666666664,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,68.71333333333332,84.0,69.0,85.0,68.0
2025-01-28 15:00:00,939.37,0.0,100.0,106.19666666666666,1478.9800000000002,70.0,100.0,74.0,70.0,72.0,69.35000000000001,84.0,69.0,85.0,68.0
2025-01-28 15:15:00,935.8366666666668,0.0,100.0,104.0,1461.32,70.0,97.77666666666666,74.0,70.0,72.0,70.07,84.0,69.0,85.0,68.0
