,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffSp,HtgPct,OccClgSp,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
0,2025-01-27 14:30:00,1184.45,0.0,91.25,97.405,1167.505,70.0,95.4,74.0,70.0,72.0,70.16999999999999,84.0,69.0,85.0,68.0
1,2025-01-27 14:45:00,1197.8733333333332,0.0,94.0,101.56,1192.9333333333334,70.0,99.74666666666668,74.0,70.0,72.0,69.92999999999999,84.0,69.0,85.0,68.0
2,2025-01-27 15:00:00,1180.92,0.0,92.83333333333331,101.40666666666668,1182.3366666666666,70.0,97.60333333333334,74.0,70.0,72.0,70.03,84.0,69.0,85.0,68.0
3,2025-01-27 15:15:00,1149.8433333333332,0.0,90.5,96.19,1157.6166666666668,70.0,93.81,74.0,70.0,72.0,70.16000000000001,84.0,69.0,85.0,68.0
4,2025-01-27 15:30:00,1168.9133333333332,0.0,91.83333333333331,100.25,1171.0366666666666,70.0,96.55,74.0,70.0,72.0,70.03666666666668,84.0,69.0,85.0,68.0
5,2025-01-27 15:45:00,1165.3833333333334,0.0,90.66666666666669,99.31666666666666,1161.1466666666663,70.0,94.90333333333332,74.0,70.0,72.0,70.09,84.0,69.0,85.0,68.0
6,2025-01-27 16:00:00,1177.3933333333334,0.0,91.66666666666669,100.66333333333334,1175.27,70.0,96.84666666666668,74.0,70.0,72.0,69.97333333333333,84.0,69.0,85.0,68.0
7,2025-01-27 16:15:00,1154.79,0.0,89.5,96.90333333333332,1147.0200000000002,70.0,92.75333333333332,74.0,70.0,72.0,70.12333333333333,84.0,69.0,85.0,68.0
8,2025-01-27 16:30:00,1129.3633333333337,0.0,88.66666666666667,94.55,1135.72,70.0,91.55333333333331,74.0,70.0,72.0,70.17666666666666,84.0,69.0,85.0,68.0
9,2025-01-27 16:45:00,1143.49,0.0,89.0,96.48333333333332,1143.49,70.0,92.64333333333332,74.0,70.0,72.0,70.05666666666667,84.0,69.0,85.0,68.0
10,2025-01-27 17:00:00,1139.25,0.0,89.5,97.2,1144.9,70.0,93.04333333333334,74.0,70.0,72.0,70.02333333333333,84.0,69.0,85.0,68.0
11,2025-01-27 17:15:00,1120.18,0.0,86.83333333333333,93.98666666666666,1117.3533333333337,70.0,88.51666666666667,74.0,70.0,72.0,70.20666666666666,84.0,69.0,85.0,68.0
12,2025-01-27 17:30:00,1124.42,0.0,87.5,96.39666666666666,1127.246666666667,70.0,89.61,74.0,70.0,72.0,70.09333333333333,84.0,69.0,85.0,68.0
13,2025-01-27 17:45:00,1134.665,0.0,89.25,95.325,1139.955,70.0,90.345,74.0,70.0,72.0,69.91499999999999,84.0,69.0,85.0,68.0
16,2025-01-27 18:30:00,1080.63,0.0,84.5,92.57,1086.99,70.0,84.63,74.0,70.0,72.0,70.23,84.0,69.0,85.0,68.0
17,2025-01-27 18:45:00,1079.57,0.0,83.75,92.975,1076.39,70.0,83.715,74.0,70.0,72.0,70.175,84.0,69.0,85.0,68.0
19,2025-01-27 19:15:00,1023.42,0.0,80.0,89.85,1023.42,70.0,75.81,74.0,70.0,72.0,70.38,84.0,69.0,85.0,68.0
21,2025-01-27 19:45:00,995.87,0.0,75.5,85.6,983.16,70.0,70.03,74.0,70.0,72.0,70.38,84.0,69.0,85.0,68.0
23,2025-01-27 20:15:00,889.93,0.0,69.0,78.87,887.81,70.0,57.04,74.0,70.0,72.0,70.66,84.0,69.0,85.0,68.0
40,2025-01-28 14:30:00,1131.485,0.0,90.25,95.285,1135.7199999999998,70.0,91.56,74.0,70.0,72.0,70.1,84.0,69.0,85.0,68.0
41,2025-01-28 14:45:00,1120.89,0.0,89.5,94.56333333333332,1128.6533333333334,70.0,90.21333333333332,74.0,70.0,72.0,70.11666666666666,84.0,69.0,85.0,68.0
42,2025-01-28 15:00:00,1134.3066666666666,0.0,90.5,95.81333333333332,1137.1333333333334,70.0,91.76666666666668,74.0,70.0,72.0,70.02666666666666,84.0,69.0,85.0,68.0
43,2025-01-28 15:15:00,1139.96,0.0,91.33333333333331,95.87,1139.96,70.0,91.86,74.0,70.0,72.0,69.99666666666667,84.0,69.0,85.0,68.0
44,2025-01-28 15:30:00,1127.246666666667,0.0,91.16666666666669,96.12333333333332,1135.7233333333334,70.0,91.18333333333334,74.0,70.0,72.0,70.00999999999999,84.0,69.0,85.0,68.0
45,2025-01-28 15:45:00,1137.1333333333332,0.0,91.66666666666669,96.25,1139.253333333333,70.0,91.93666666666668,74.0,70.0,72.0,69.98,84.0,69.0,85.0,68.0
