,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffSp,HtgPct,OccClgSp,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
0,2025-01-27 14:30:00,1072.155,0.0,100.0,99.625,1103.935,70.0,87.32,74.0,70.0,72.0,70.15,67.0,69.0,68.0,68.0
1,2025-01-27 14:45:00,1069.3266666666666,0.0,100.0,102.42333333333332,1142.7833333333335,70.0,92.16666666666669,74.0,70.0,72.0,69.92666666666666,67.0,69.0,68.0,68.0
2,2025-01-27 15:00:00,1065.09,0.0,100.0,102.03333333333336,1119.4766666666667,70.0,88.85333333333334,74.0,70.0,72.0,70.04666666666667,67.0,69.0,68.0,68.0
3,2025-01-27 15:15:00,1073.5633333333333,0.0,99.66666666666669,99.19333333333331,1094.756666666667,70.0,85.56,74.0,70.0,72.0,70.16666666666667,67.0,69.0,68.0,68.0
4,2025-01-27 15:30:00,1083.4533333333334,0.0,98.0,101.17666666666666,1107.47,70.0,88.07333333333334,74.0,70.0,72.0,70.00666666666666,67.0,69.0,68.0,68.0
5,2025-01-27 15:45:00,1074.2700000000002,0.0,99.33333333333331,99.55666666666669,1095.46,70.0,85.94333333333333,74.0,70.0,72.0,70.09,67.0,69.0,68.0,68.0
6,2025-01-27 16:00:00,1082.75,0.0,100.0,100.43666666666668,1106.763333333333,70.0,87.17999999999999,74.0,70.0,72.0,69.95666666666666,67.0,69.0,68.0,68.0
7,2025-01-27 16:15:00,1080.6266666666668,0.0,94.0,97.63,1082.0433333333333,70.0,83.82666666666667,74.0,70.0,72.0,70.12333333333333,67.0,69.0,68.0,68.0
8,2025-01-27 16:30:00,1075.6866666666667,0.0,88.66666666666667,97.55666666666669,1068.6233333333332,70.0,82.09333333333333,74.0,70.0,72.0,70.16666666666667,67.0,69.0,68.0,68.0
9,2025-01-27 16:45:00,1072.8566666666666,0.0,89.83333333333333,98.09333333333332,1076.39,70.0,82.64666666666666,74.0,70.0,72.0,70.07333333333334,67.0,69.0,68.0,68.0
10,2025-01-27 17:00:00,1084.8666666666666,0.0,93.5,98.36,1077.0966666666666,70.0,83.72,74.0,70.0,72.0,70.04333333333334,67.0,69.0,68.0,68.0
11,2025-01-27 17:15:00,1045.3166666666666,0.0,84.83333333333333,94.05333333333331,1050.9666666666667,70.0,79.08,74.0,70.0,72.0,70.18,67.0,69.0,68.0,68.0
12,2025-01-27 17:30:00,1064.3833333333334,0.0,86.83333333333333,96.21333333333332,1060.1466666666668,70.0,80.71333333333332,74.0,70.0,72.0,70.07333333333334,67.0,69.0,68.0,68.0
13,2025-01-27 17:45:00,1072.1550000000002,0.0,89.0,98.405,1066.855,70.0,82.4,74.0,70.0,72.0,69.955,67.0,69.0,68.0,68.0
16,2025-01-27 18:30:00,1008.59,0.0,82.0,89.4,1019.18,70.0,75.67,74.0,70.0,72.0,70.21,67.0,69.0,68.0,68.0
17,2025-01-27 18:45:00,1011.765,0.0,81.5,89.88,1009.645,70.0,74.24,74.0,70.0,72.0,70.22,67.0,69.0,68.0,68.0
19,2025-01-27 19:15:00,951.38,0.0,75.5,84.65,951.38,70.0,65.59,74.0,70.0,72.0,70.38,67.0,69.0,68.0,68.0
21,2025-01-27 19:45:00,911.12,0.0,69.5,80.2,898.41,70.0,59.67,74.0,70.0,72.0,70.48,67.0,69.0,68.0,68.0
23,2025-01-27 20:15:00,817.89,0.0,59.5,74.43,815.77,70.0,46.92,74.0,70.0,72.0,70.66,67.0,69.0,68.0,68.0
40,2025-01-28 14:30:00,1035.0749999999998,0.0,85.0,93.63,1028.715,70.0,76.575,74.0,70.0,72.0,70.1,67.0,69.0,68.0,68.0
41,2025-01-28 14:45:00,1024.83,0.0,84.0,90.73,1021.2999999999998,70.0,75.73,74.0,70.0,72.0,70.10333333333334,67.0,69.0,68.0,68.0
42,2025-01-28 15:00:00,1027.6566666666668,0.0,85.83333333333333,92.91,1031.8933333333334,70.0,76.35666666666667,74.0,70.0,72.0,70.02666666666666,67.0,69.0,68.0,68.0
43,2025-01-28 15:15:00,1028.36,0.0,86.16666666666667,94.00666666666666,1031.1866666666667,70.0,76.77666666666666,74.0,70.0,72.0,69.99333333333334,67.0,69.0,68.0,68.0
44,2025-01-28 15:30:00,1022.7133333333333,0.0,86.0,92.87666666666668,1025.5366666666666,70.0,75.98666666666666,74.0,70.0,72.0,70.00333333333333,67.0,69.0,68.0,68.0
45,2025-01-28 15:45:00,1029.07,0.0,87.33333333333333,94.95666666666666,1030.4833333333331,70.0,76.64333333333333,74.0,70.0,72.0,69.99333333333334,67.0,69.0,68.0,68.0
46,2025-01-28 16:00:00,1013.53,0.0,85.16666666666667,90.10666666666668,1008.59,70.0,73.66333333333334,74.0,70.0,72.0,70.11,67.0,69.0,68.0,68.0
47,2025-01-28 16:15:00,1010.0,0.0,86.0,90.85333333333334,1014.9433333333332,70.0,74.83666666666666,74.0,70.0,72.0,70.01333333333334,67.0,69.0,68.0,68.0
48,2025-01-28 16:30:00,998.7,0.0,83.83333333333333,90.44,990.2233333333334,70.0,71.55,74.0,70.0,72.0,70.14666666666666,67.0,69.0,68.0,68.0
49,2025-01-28 16:45:00,984.5733333333334,0.0,82.16666666666667,90.06666666666666,981.0433333333334,70.0,70.23333333333333,74.0,70.0,72.0,70.15666666666668,67.0,69.0,68.0,68.0
50,2025-01-28 17:00:00,976.0966666666668,0.0,81.16666666666667,89.13,973.27,70.0,68.70333333333333,74.0,70.0,72.0,70.15666666666668,67.0,69.0,68.0,68.0
51,2025-01-28 17:15:00,983.1633333333332,0.0,82.16666666666667,89.04333333333334,976.0966666666668,70.0,69.12,74.0,70.0,72.0,70.07333333333334,67.0,69.0,68.0,68.0
52,2025-01-28 17:30:00,966.21,0.0,81.66666666666667,86.80666666666667,965.5033333333334,70.0,67.64,74.0,70.0,72.0,70.11,67.0,69.0,68.0,68.0
53,2025-01-28 17:45:00,959.8533333333334,0.0,79.83333333333333,86.74333333333334,952.08,70.0,65.79,74.0,70.0,72.0,70.15666666666668,67.0,69.0,68.0,68.0
