,time,AirFlow,ClgPct,Cooling_Stg_Cmd,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,Heating_Stg_Cmd,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
0,2025-01-27 14:30:00,117.6,0.0,,84.25,61.45,122.9,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.67,67.0,69.0,68.0,68.0
1,2025-01-27 14:45:00,129.96,0.0,,86.16666666666667,61.833333333333336,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.66,67.0,69.0,68.0,68.0
2,2025-01-27 15:00:00,121.48333333333332,0.0,,86.16666666666667,62.18,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.66,67.0,69.0,68.0,68.0
3,2025-01-27 15:15:00,112.30333333333334,0.0,,87.16666666666667,62.553333333333335,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.67333333333333,67.0,69.0,68.0,68.0
4,2025-01-27 15:30:00,134.90333333333334,0.0,,87.0,62.93,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.68,67.0,69.0,68.0,68.0
5,2025-01-27 15:45:00,108.77,0.0,,88.33333333333333,63.26666666666667,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.68,67.0,69.0,68.0,68.0
6,2025-01-27 16:00:00,119.36333333333334,0.0,,88.0,63.553333333333335,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.67333333333333,67.0,69.0,68.0,68.0
7,2025-01-27 16:15:00,115.12666666666668,0.0,,89.16666666666667,63.79333333333333,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.68,67.0,69.0,68.0,68.0
8,2025-01-27 16:30:00,118.65666666666668,0.0,,89.16666666666667,64.13,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.68,67.0,69.0,68.0,68.0
9,2025-01-27 16:45:00,127.84000000000002,0.0,,89.66666666666667,64.39,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.68,67.0,69.0,68.0,68.0
10,2025-01-27 17:00:00,122.19,0.0,,90.33333333333331,64.56666666666666,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.75333333333333,67.0,69.0,68.0,68.0
11,2025-01-27 17:15:00,127.84,0.0,,91.33333333333331,64.77333333333333,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.79,67.0,69.0,68.0,68.0
12,2025-01-27 17:30:00,113.00666666666666,0.0,,92.0,64.95,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.81,67.0,69.0,68.0,68.0
13,2025-01-27 17:45:00,107.005,0.0,,93.0,65.225,122.9,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.82,67.0,69.0,68.0,68.0
14,2025-01-27 18:00:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
15,2025-01-27 18:15:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
16,2025-01-27 18:30:00,146.2,0.0,,94.0,65.71,122.9,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.93,67.0,69.0,68.0,68.0
17,2025-01-27 18:45:00,115.48,0.0,,95.5,66.05000000000001,122.9,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,70.95,67.0,69.0,68.0,68.0
18,2025-01-27 19:00:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
19,2025-01-27 19:15:00,112.3,0.0,,97.5,66.25,122.9,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.08,67.0,69.0,68.0,68.0
20,2025-01-27 19:30:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
21,2025-01-27 19:45:00,127.13,0.0,,99.0,66.27,122.9,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.1,67.0,69.0,68.0,68.0
22,2025-01-27 20:00:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
23,2025-01-27 20:15:00,129.25,0.0,,98.0,66.38,122.9,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.2,67.0,69.0,68.0,68.0
24,2025-01-27 20:30:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
25,2025-01-27 20:45:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
26,2025-01-27 21:00:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
27,2025-01-27 21:15:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
28,2025-01-27 21:30:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
29,2025-01-27 21:45:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
30,2025-01-27 22:00:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
31,2025-01-27 22:15:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
32,2025-01-27 22:30:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
33,2025-01-27 22:45:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
34,2025-01-27 23:00:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
35,2025-01-27 23:15:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
36,2025-01-27 23:30:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
37,2025-01-27 23:45:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
38,2025-01-28 00:00:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
39,2025-01-28 00:15:00,,,,,,122.9,,70.0,,,74.0,,70.0,72.0,,67.0,69.0,68.0,68.0
40,2025-01-28 14:30:00,144.085,0.0,,97.5,64.755,122.9,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.37,67.0,69.0,68.0,68.0
41,2025-01-28 14:45:00,125.71666666666664,0.0,,97.5,64.92,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.37,67.0,69.0,68.0,68.0
42,2025-01-28 15:00:00,132.78333333333333,0.0,,97.66666666666669,65.14,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.37333333333333,67.0,69.0,68.0,68.0
43,2025-01-28 15:15:00,120.77666666666666,0.0,,98.33333333333331,65.34,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.46,67.0,69.0,68.0,68.0
44,2025-01-28 15:30:00,113.00666666666666,0.0,,95.0,65.62,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.49,67.0,69.0,68.0,68.0
45,2025-01-28 15:45:00,117.95333333333332,0.0,,91.0,65.84666666666668,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.47666666666667,67.0,69.0,68.0,68.0
46,2025-01-28 16:00:00,110.89,0.0,,91.16666666666669,66.08,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.45,67.0,69.0,68.0,68.0
47,2025-01-28 16:15:00,129.95666666666668,0.0,,92.5,66.39999999999999,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.49,67.0,69.0,68.0,68.0
48,2025-01-28 16:30:00,119.36666666666667,0.0,,93.16666666666669,66.67,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.50333333333333,67.0,69.0,68.0,68.0
49,2025-01-28 16:45:00,127.84000000000002,0.0,,92.83333333333331,66.92,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.51,67.0,69.0,68.0,68.0
50,2025-01-28 17:00:00,119.36333333333334,0.0,,94.33333333333331,67.15,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.51666666666667,67.0,69.0,68.0,68.0
51,2025-01-28 17:15:00,132.07666666666668,0.0,,95.33333333333331,67.42,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.53,67.0,69.0,68.0,68.0
52,2025-01-28 17:30:00,124.30666666666669,0.0,,96.0,67.64999999999999,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.53,67.0,69.0,68.0,68.0
53,2025-01-28 17:45:00,116.53666666666668,0.0,,97.33333333333331,67.95666666666666,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.55333333333333,67.0,69.0,68.0,68.0
54,2025-01-28 18:00:00,125.71999999999998,0.0,,87.66666666666667,67.67,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.62333333333333,67.0,69.0,68.0,68.0
55,2025-01-28 18:15:00,120.07,0.0,,65.66666666666667,65.75666666666666,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.65,67.0,69.0,68.0,68.0
56,2025-01-28 18:30:00,118.65666666666668,0.0,,63.66666666666666,65.38,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.65,67.0,69.0,68.0,68.0
57,2025-01-28 18:45:00,123.60333333333334,0.0,,64.33333333333333,65.27666666666666,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.65,67.0,69.0,68.0,68.0
58,2025-01-28 19:00:00,103.82666666666668,0.0,,63.333333333333336,65.47666666666667,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.65666666666668,67.0,69.0,68.0,68.0
59,2025-01-28 19:15:00,117.24666666666668,0.0,,61.66666666666666,65.39,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.68333333333334,67.0,69.0,68.0,68.0
60,2025-01-28 19:30:00,121.48,0.0,,61.333333333333336,65.32,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.72666666666667,67.0,69.0,68.0,68.0
61,2025-01-28 19:45:00,127.84333333333332,0.0,,61.0,65.20666666666666,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.76666666666667,67.0,69.0,68.0,68.0
62,2025-01-28 20:00:00,123.60333333333334,0.0,,61.16666666666666,65.36666666666666,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.79333333333334,67.0,69.0,68.0,68.0
63,2025-01-28 20:15:00,122.89333333333332,0.0,,60.0,65.35333333333334,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.79333333333334,67.0,69.0,68.0,68.0
64,2025-01-28 20:30:00,121.48333333333332,0.0,,58.333333333333336,64.99333333333334,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.8,67.0,69.0,68.0,68.0
65,2025-01-28 20:45:00,138.43333333333334,0.0,,58.66666666666666,65.01666666666667,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.80666666666666,67.0,69.0,68.0,68.0
66,2025-01-28 21:00:00,115.83,0.0,,58.66666666666666,65.01666666666667,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.82333333333332,67.0,69.0,68.0,68.0
67,2025-01-28 21:15:00,123.6,0.0,,58.5,64.98,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.90333333333332,67.0,69.0,68.0,68.0
68,2025-01-28 21:30:00,121.48,0.0,,58.0,64.90333333333334,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.83,67.0,69.0,68.0,68.0
69,2025-01-28 21:45:00,119.36333333333334,0.0,,58.5,64.86333333333333,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.80666666666666,67.0,69.0,68.0,68.0
70,2025-01-28 22:00:00,110.89,0.0,,58.5,64.88,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.80666666666666,67.0,69.0,68.0,68.0
71,2025-01-28 22:15:00,122.89666666666666,0.0,,58.16666666666666,64.78333333333333,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.79333333333334,67.0,69.0,68.0,68.0
72,2025-01-28 22:30:00,117.24666666666668,0.0,,58.333333333333336,64.64,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.83,67.0,69.0,68.0,68.0
73,2025-01-28 22:45:00,125.01666666666668,0.0,,58.66666666666666,64.37,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.83,67.0,69.0,68.0,68.0
74,2025-01-28 23:00:00,113.71333333333332,0.0,,58.833333333333336,64.02333333333333,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.8,67.0,69.0,68.0,68.0
75,2025-01-28 23:15:00,124.31,0.0,,59.333333333333336,63.81333333333333,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.8,67.0,69.0,68.0,68.0
76,2025-01-28 23:30:00,127.84000000000002,0.0,,59.333333333333336,63.620000000000005,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.8,67.0,69.0,68.0,68.0
77,2025-01-28 23:45:00,126.42666666666668,0.0,,59.66666666666666,63.51666666666667,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.8,67.0,69.0,68.0,68.0
78,2025-01-29 00:00:00,115.12666666666668,0.0,,60.0,63.306666666666665,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.8,67.0,69.0,68.0,68.0
79,2025-01-29 00:15:00,115.12666666666668,0.0,,60.333333333333336,62.98,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.79333333333334,67.0,69.0,68.0,68.0
80,2025-01-29 00:30:00,130.66333333333333,0.0,,60.333333333333336,62.86333333333334,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.76666666666667,67.0,69.0,68.0,68.0
81,2025-01-29 00:45:00,125.72333333333331,0.0,,60.16666666666666,62.71666666666666,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.72666666666667,67.0,69.0,68.0,68.0
82,2025-01-29 01:00:00,117.95333333333332,0.0,,60.5,62.60999999999999,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.72333333333334,67.0,69.0,68.0,68.0
83,2025-01-29 01:15:00,122.89666666666668,0.0,,60.5,62.473333333333336,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.67,67.0,69.0,68.0,68.0
84,2025-01-29 01:30:00,119.36333333333332,0.0,,60.66666666666666,62.403333333333336,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.66333333333334,67.0,69.0,68.0,68.0
85,2025-01-29 01:45:00,122.89666666666666,0.0,,60.833333333333336,62.39000000000001,122.90000000000002,0.0,70.0,,0.0,74.0,0.0,70.0,72.0,71.65666666666668,67.0,69.0,68.0,68.0
