time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffSp,HtgPct,OccClgSp,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
2025-01-27 14:30:00,650.495,0.0,100.0,84.55000000000001,849.67,70.0,83.25999999999999,74.0,70.0,72.0,69.67,67.0,69.0,85.0,68.0
2025-01-27 14:45:00,670.27,0.0,100.0,85.08999999999999,849.67,70.0,84.5,74.0,70.0,72.0,69.71666666666665,67.0,69.0,85.0,68.0
2025-01-27 15:00:00,651.1999999999999,0.0,100.0,85.39999999999999,849.67,70.0,83.29,74.0,70.0,72.0,69.85666666666667,67.0,69.0,85.0,68.0
2025-01-27 15:15:00,647.67,0.0,100.0,84.76,849.67,70.0,80.40666666666667,74.0,70.0,72.0,70.01666666666667,67.0,69.0,85.0,68.0
2025-01-27 15:30:00,651.1999999999999,0.0,100.0,82.62666666666667,849.67,70.0,76.89999999999999,74.0,70.0,72.0,70.14999999999999,67.0,69.0,85.0,68.0
2025-01-27 15:45:00,650.4966666666667,0.0,100.0,79.79,849.67,70.0,71.98666666666666,74.0,70.0,72.0,70.31,67.0,69.0,85.0,68.0
2025-01-27 16:00:00,652.6166666666667,0.0,100.0,77.93666666666667,849.67,70.0,67.76,74.0,70.0,72.0,70.39333333333333,67.0,69.0,85.0,68.0
2025-01-27 16:15:00,649.79,0.0,100.0,75.45666666666666,849.67,70.0,62.69,74.0,70.0,72.0,70.48333333333333,67.0,69.0,85.0,68.0
2025-01-27 16:30:00,663.2066666666666,0.0,100.0,73.23666666666666,849.67,70.0,54.443333333333335,74.0,70.0,72.0,70.67,67.0,69.0,85.0,68.0
2025-01-27 16:45:00,666.0333333333333,0.0,100.0,69.60333333333334,849.67,70.0,46.70000000000001,74.0,70.0,72.0,70.79,67.0,69.0,85.0,68.0
2025-01-27 17:00:00,651.91,0.0,100.0,68.33,849.67,70.0,39.85666666666666,74.0,70.0,72.0,70.81,67.0,69.0,85.0,68.0
2025-01-27 17:15:00,655.44,0.0,100.0,67.71333333333332,849.67,70.0,33.733333333333334,74.0,70.0,72.0,70.82333333333334,67.0,69.0,85.0,68.0
2025-01-27 17:30:00,641.3133333333334,0.0,100.0,66.98,849.67,70.0,27.43,74.0,70.0,72.0,70.81,67.0,69.0,85.0,68.0
2025-01-27 17:45:00,644.14,0.0,100.0,66.44,849.67,70.0,20.105,74.0,70.0,72.0,70.915,67.0,69.0,85.0,68.0
2025-01-27 18:30:00,595.41,0.0,100.0,63.99,849.67,70.0,0.0,74.0,70.0,72.0,70.95,67.0,69.0,85.0,68.0
2025-01-27 18:45:00,662.1500000000001,0.0,100.0,64.455,849.67,70.0,0.0,74.0,70.0,72.0,70.95,67.0,69.0,85.0,68.0
2025-01-27 19:15:00,629.31,0.0,100.0,64.69,849.67,70.0,0.0,74.0,70.0,72.0,71.04,67.0,69.0,85.0,68.0
2025-01-27 19:45:00,639.9,0.0,100.0,64.69,849.67,70.0,0.0,74.0,70.0,72.0,70.97,67.0,69.0,85.0,68.0
2025-01-27 20:15:00,642.02,0.0,100.0,64.85,849.67,70.0,0.0,74.0,70.0,72.0,70.95,67.0,69.0,85.0,68.0
2025-01-28 14:30:00,660.03,0.0,100.0,62.785,849.67,70.0,0.0,74.0,70.0,72.0,70.34,67.0,69.0,85.0,68.0
2025-01-28 14:45:00,656.1466666666666,0.0,100.0,63.06333333333333,849.67,70.0,0.0,74.0,70.0,72.0,70.38333333333333,67.0,69.0,85.0,68.0
2025-01-28 15:00:00,647.67,0.0,100.0,63.35,849.67,70.0,0.0,74.0,70.0,72.0,70.49,67.0,69.0,85.0,68.0
2025-01-28 15:15:00,639.1933333333333,0.0,100.0,63.626666666666665,849.67,70.0,0.0,74.0,70.0,72.0,70.54666666666667,67.0,69.0,85.0,68.0
2025-01-28 15:30:00,631.4266666666667,0.0,100.0,63.96333333333333,849.67,70.0,0.0,74.0,70.0,72.0,70.61,67.0,69.0,85.0,68.0
2025-01-28 15:45:00,644.8466666666667,0.0,100.0,64.28,849.67,70.0,0.0,74.0,70.0,72.0,70.68,67.0,69.0,85.0,68.0
2025-01-28 16:00:00,637.7833333333333,0.0,100.0,64.59333333333332,849.67,70.0,0.0,74.0,70.0,72.0,70.7,67.0,69.0,85.0,68.0
2025-01-28 16:15:00,639.9033333333333,0.0,100.0,64.96,849.67,70.0,0.0,74.0,70.0,72.0,70.80333333333334,67.0,69.0,85.0,68.0
2025-01-28 16:30:00,622.9499999999999,0.0,100.0,65.28666666666668,849.67,70.0,0.0,74.0,70.0,72.0,70.82333333333334,67.0,69.0,85.0,68.0
