,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffSp,HtgPct,OccClgSp,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
0,2025-01-27 14:30:00,447.085,0.0,51.0,61.51,449.2,70.0,0.0,74.0,70.0,72.0,71.1,67.0,69.0,85.0,68.0
1,2025-01-27 14:45:00,444.9666666666667,0.0,51.333333333333336,61.76666666666667,449.2,70.0,0.0,74.0,70.0,72.0,71.19666666666666,67.0,69.0,85.0,68.0
2,2025-01-27 15:00:00,449.2033333333334,0.0,51.0,62.06666666666666,449.2,70.0,0.0,74.0,70.0,72.0,71.43333333333334,67.0,69.0,85.0,68.0
3,2025-01-27 15:15:00,447.08,0.0,51.0,62.38666666666666,449.2,70.0,0.0,74.0,70.0,72.0,71.51666666666667,67.0,69.0,85.0,68.0
4,2025-01-27 15:30:00,447.08,0.0,50.833333333333336,62.65,449.2,70.0,0.0,74.0,70.0,72.0,71.51,67.0,69.0,85.0,68.0
5,2025-01-27 15:45:00,447.0833333333333,0.0,50.833333333333336,62.88999999999999,449.2,70.0,0.0,74.0,70.0,72.0,71.50333333333333,67.0,69.0,85.0,68.0
6,2025-01-27 16:00:00,452.0266666666666,0.0,51.0,63.02666666666666,449.2,70.0,0.0,74.0,70.0,72.0,71.47333333333334,67.0,69.0,85.0,68.0
7,2025-01-27 16:15:00,451.32,0.0,50.833333333333336,63.23666666666667,449.2,70.0,0.0,74.0,70.0,72.0,71.45666666666666,67.0,69.0,85.0,68.0
8,2025-01-27 16:30:00,454.14333333333326,0.0,50.66666666666666,63.54,449.2,70.0,0.0,74.0,70.0,72.0,71.44333333333333,67.0,69.0,85.0,68.0
9,2025-01-27 16:45:00,443.5533333333333,0.0,50.5,63.79,449.2,70.0,0.0,74.0,70.0,72.0,71.37666666666667,67.0,69.0,85.0,68.0
10,2025-01-27 17:00:00,444.25666666666666,0.0,50.833333333333336,63.93666666666667,449.2,70.0,0.0,74.0,70.0,72.0,71.34333333333332,67.0,69.0,85.0,68.0
11,2025-01-27 17:15:00,449.9066666666667,0.0,50.16666666666666,64.03333333333333,449.2,70.0,0.0,74.0,70.0,72.0,71.22666666666667,67.0,69.0,85.0,68.0
12,2025-01-27 17:30:00,450.6166666666666,0.0,50.16666666666666,64.23333333333333,449.2,70.0,0.0,74.0,70.0,72.0,71.19,67.0,69.0,85.0,68.0
13,2025-01-27 17:45:00,450.26,0.0,50.5,64.59,449.2,70.0,0.0,74.0,70.0,72.0,71.205,67.0,69.0,85.0,68.0
16,2025-01-27 18:30:00,453.44,0.0,50.0,64.83,449.2,70.0,0.0,74.0,70.0,72.0,71.35,67.0,69.0,85.0,68.0
17,2025-01-27 18:45:00,455.56,0.0,49.75,65.2,449.2,70.0,0.0,74.0,70.0,72.0,71.33,67.0,69.0,85.0,68.0
19,2025-01-27 19:15:00,455.56,0.0,49.5,65.46,449.2,70.0,0.0,74.0,70.0,72.0,71.47,67.0,69.0,85.0,68.0
21,2025-01-27 19:45:00,449.2,0.0,48.5,65.3,449.2,70.0,0.0,74.0,70.0,72.0,71.49,67.0,69.0,85.0,68.0
23,2025-01-27 20:15:00,444.96,0.0,47.0,65.48,449.2,70.0,0.0,74.0,70.0,72.0,71.51,67.0,69.0,85.0,68.0
40,2025-01-28 14:30:00,449.2,0.0,50.5,64.555,449.2,70.0,0.0,74.0,70.0,72.0,71.34,67.0,69.0,85.0,68.0
41,2025-01-28 14:45:00,450.6133333333333,0.0,50.333333333333336,64.77333333333333,449.2,70.0,0.0,74.0,70.0,72.0,71.34333333333332,67.0,69.0,85.0,68.0
42,2025-01-28 15:00:00,452.03,0.0,50.5,65.00333333333333,449.2,70.0,0.0,74.0,70.0,72.0,71.36333333333333,67.0,69.0,85.0,68.0
43,2025-01-28 15:15:00,448.4933333333333,0.0,50.5,65.18666666666667,449.2,70.0,0.0,74.0,70.0,72.0,71.38,67.0,69.0,85.0,68.0
44,2025-01-28 15:30:00,451.32,0.0,50.833333333333336,65.36,449.2,70.0,0.0,74.0,70.0,72.0,71.43333333333334,67.0,69.0,85.0,68.0
45,2025-01-28 15:45:00,450.6133333333333,0.0,51.0,65.48333333333333,449.2,70.0,0.0,74.0,70.0,72.0,71.49666666666667,67.0,69.0,85.0,68.0
46,2025-01-28 16:00:00,447.0833333333333,0.0,51.0,65.70333333333333,449.2,70.0,0.0,74.0,70.0,72.0,71.52333333333333,67.0,69.0,85.0,68.0
47,2025-01-28 16:15:00,442.8466666666666,0.0,51.0,65.97000000000001,449.2,70.0,0.0,74.0,70.0,72.0,71.58999999999999,67.0,69.0,85.0,68.0
48,2025-01-28 16:30:00,444.25666666666666,0.0,51.0,66.14333333333333,449.2,70.0,0.0,74.0,70.0,72.0,71.64666666666666,67.0,69.0,85.0,68.0
49,2025-01-28 16:45:00,446.3766666666667,0.0,50.833333333333336,66.33666666666666,449.2,70.0,0.0,74.0,70.0,72.0,71.64666666666666,67.0,69.0,85.0,68.0
50,2025-01-28 17:00:00,447.79333333333335,0.0,51.0,66.55,449.2,70.0,0.0,74.0,70.0,72.0,71.67,67.0,69.0,85.0,68.0
51,2025-01-28 17:15:00,443.5533333333333,0.0,51.0,66.74,449.2,70.0,0.0,74.0,70.0,72.0,71.66333333333334,67.0,69.0,85.0,68.0
52,2025-01-28 17:30:00,445.67,0.0,51.0,66.98333333333333,449.2,70.0,0.0,74.0,70.0,72.0,71.76,67.0,69.0,85.0,68.0
53,2025-01-28 17:45:00,448.4933333333333,0.0,51.0,67.29666666666667,449.2,70.0,0.0,74.0,70.0,72.0,71.78666666666668,67.0,69.0,85.0,68.0
54,2025-01-28 18:00:00,449.91,0.0,51.0,67.43666666666667,449.2,70.0,0.0,74.0,70.0,72.0,71.78,67.0,69.0,85.0,68.0
55,2025-01-28 18:15:00,447.0833333333333,0.0,51.0,67.71333333333332,449.2,70.0,0.0,74.0,70.0,72.0,71.81666666666666,67.0,69.0,85.0,68.0
56,2025-01-28 18:30:00,449.9066666666667,0.0,50.833333333333336,67.96666666666668,449.2,70.0,0.0,74.0,70.0,72.0,71.90666666666667,67.0,69.0,85.0,68.0
57,2025-01-28 18:45:00,449.9066666666667,0.0,50.0,68.01666666666667,449.2,70.0,0.0,74.0,70.0,72.0,71.92333333333333,67.0,69.0,85.0,68.0
58,2025-01-28 19:00:00,450.6133333333333,0.0,50.333333333333336,68.23,449.2,70.0,0.0,74.0,70.0,72.0,71.94,67.0,69.0,85.0,68.0
59,2025-01-28 19:15:00,453.44,0.0,49.833333333333336,68.45666666666666,449.2,70.0,0.0,74.0,70.0,72.0,72.00333333333333,67.0,69.0,85.0,68.0
60,2025-01-28 19:30:00,449.9066666666667,0.0,49.333333333333336,68.57666666666667,449.2,70.0,0.0,74.0,70.0,72.0,72.12333333333333,67.0,69.0,85.0,68.0
61,2025-01-28 19:45:00,447.08,0.0,48.66666666666666,68.55333333333333,449.2,70.0,0.0,74.0,70.0,72.0,72.23,67.0,69.0,85.0,68.0
62,2025-01-28 20:00:00,453.44,0.0,48.16666666666666,68.69,449.2,70.0,0.0,74.0,70.0,72.0,72.18,67.0,69.0,85.0,68.0
63,2025-01-28 20:15:00,450.6133333333333,0.0,47.333333333333336,68.83666666666666,449.2,70.0,0.0,74.0,70.0,72.0,72.21,67.0,69.0,85.0,68.0
64,2025-01-28 20:30:00,445.67,0.0,46.833333333333336,69.00666666666666,449.2,70.0,0.0,74.0,70.0,72.0,72.28666666666668,67.0,69.0,85.0,68.0
65,2025-01-28 20:45:00,448.4933333333333,0.0,46.5,69.02666666666667,449.2,70.0,0.0,74.0,70.0,72.0,72.36666666666667,67.0,69.0,85.0,68.0
66,2025-01-28 21:00:00,449.9066666666667,0.0,46.5,68.96666666666665,449.2,70.0,0.0,74.0,70.0,72.0,72.44,67.0,69.0,85.0,68.0
67,2025-01-28 21:15:00,448.4966666666666,0.0,47.0,68.96,449.2,70.0,0.0,74.0,70.0,72.0,72.51333333333334,67.0,69.0,85.0,68.0
68,2025-01-28 21:30:00,450.6166666666666,0.0,46.833333333333336,64.14,449.2,70.0,0.0,74.0,70.0,72.0,72.40333333333332,67.0,69.0,85.0,68.0
69,2025-01-28 21:45:00,454.1466666666667,0.0,46.0,59.88,449.2,70.0,0.0,74.0,70.0,72.0,71.59666666666668,67.0,69.0,85.0,68.0
70,2025-01-28 22:00:00,447.79,0.0,45.66666666666666,63.26,449.2,70.0,0.0,74.0,70.0,72.0,71.41,67.0,69.0,85.0,68.0
71,2025-01-28 22:15:00,452.0266666666666,0.0,45.5,62.34666666666666,449.2,70.0,0.0,74.0,70.0,72.0,71.01333333333334,67.0,69.0,85.0,68.0
72,2025-01-28 22:30:00,452.73333333333335,0.0,45.5,60.56,449.2,70.0,0.0,74.0,70.0,72.0,71.05333333333333,67.0,69.0,85.0,68.0
73,2025-01-28 22:45:00,452.0266666666666,0.0,46.16666666666666,65.56,449.2,70.0,0.0,74.0,70.0,72.0,70.74666666666667,67.0,69.0,85.0,68.0
74,2025-01-28 23:00:00,447.0866666666666,0.0,46.66666666666666,60.85333333333333,449.2,70.0,0.0,74.0,70.0,72.0,70.51333333333334,67.0,69.0,85.0,68.0
75,2025-01-28 23:15:00,445.6666666666667,0.0,47.0,66.83333333333333,449.2,70.0,0.0,74.0,70.0,72.0,70.5,67.0,69.0,85.0,68.0
76,2025-01-28 23:30:00,449.9066666666667,0.0,46.833333333333336,67.32666666666667,449.2,70.0,0.0,74.0,70.0,72.0,70.67333333333333,67.0,69.0,85.0,68.0
77,2025-01-28 23:45:00,446.3766666666667,0.0,47.0,67.33999999999999,449.2,70.0,0.0,74.0,70.0,72.0,70.68,67.0,69.0,85.0,68.0
78,2025-01-29 00:00:00,444.9666666666667,0.0,47.16666666666666,67.31666666666666,449.2,70.0,0.0,74.0,70.0,72.0,70.68,67.0,69.0,85.0,68.0
79,2025-01-29 00:15:00,448.4933333333333,0.0,47.5,67.20333333333333,449.2,70.0,0.0,74.0,70.0,72.0,70.66,67.0,69.0,85.0,68.0
80,2025-01-29 00:30:00,452.73333333333335,0.0,47.5,67.25,449.2,70.0,0.0,74.0,70.0,72.0,70.66,67.0,69.0,85.0,68.0
81,2025-01-29 00:45:00,446.3766666666667,0.0,48.0,67.18666666666667,449.2,70.0,0.0,74.0,70.0,72.0,70.66666666666667,67.0,69.0,85.0,68.0
82,2025-01-29 01:00:00,450.6133333333333,0.0,48.333333333333336,67.33333333333333,449.2,70.0,0.0,74.0,70.0,72.0,70.68,67.0,69.0,85.0,68.0
83,2025-01-29 01:15:00,443.5533333333333,0.0,48.66666666666666,67.23666666666666,449.2,70.0,0.0,74.0,70.0,72.0,70.77,67.0,69.0,85.0,68.0
84,2025-01-29 01:30:00,447.0833333333333,0.0,49.0,67.32000000000001,449.2,70.0,0.0,74.0,70.0,72.0,70.77,67.0,69.0,85.0,68.0
85,2025-01-29 01:45:00,449.9066666666667,0.0,49.333333333333336,67.23666666666666,449.2,70.0,0.0,74.0,70.0,72.0,70.78333333333335,67.0,69.0,85.0,68.0
86,2025-01-29 02:00:00,446.3766666666667,0.0,49.0,67.12666666666667,449.2,70.0,0.0,74.0,70.0,72.0,70.81666666666666,67.0,69.0,85.0,68.0
