,time,AirFlow,ClgPct,Cooling_Stg_Cmd,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,Heating_Stg_Cmd,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,oppMode
0,2025-01-27 14:30:00,642.02,0.0,,44.5,94.83,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,640.0,0.0,68.46000000000001,0.0,67.0,69.0,85.0,68.0,
1,2025-01-27 14:45:00,646.9666666666667,0.0,,44.5,94.92666666666666,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,752.6666666666666,0.0,68.77333333333333,0.0,67.0,69.0,85.0,68.0,
2,2025-01-27 15:00:00,646.26,0.0,,44.5,95.19,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,777.0,0.0,69.01,0.0,67.0,69.0,85.0,68.0,
3,2025-01-27 15:15:00,651.9066666666666,0.0,,44.5,95.54333333333334,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,786.6666666666666,0.0,69.00333333333333,0.0,67.0,69.0,85.0,68.0,
4,2025-01-27 15:30:00,646.9633333333333,0.0,,44.5,95.88333333333333,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,852.3333333333334,0.0,69.10333333333334,0.0,67.0,69.0,85.0,68.0,
5,2025-01-27 15:45:00,654.0266666666666,0.0,,44.5,95.99666666666668,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,796.3333333333334,0.0,69.15,0.0,67.0,69.0,85.0,68.0,
6,2025-01-27 16:00:00,652.6133333333333,0.0,,44.5,96.03666666666668,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,834.3333333333334,0.0,69.17666666666666,0.0,67.0,69.0,85.0,68.0,
7,2025-01-27 16:15:00,652.6166666666667,0.0,,44.5,96.17,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,834.6666666666666,0.0,69.23666666666666,0.0,67.0,69.0,85.0,68.0,
8,2025-01-27 16:30:00,652.6166666666667,0.0,,44.5,96.46999999999998,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,749.3333333333334,0.0,69.27333333333333,0.0,67.0,69.0,85.0,68.0,
9,2025-01-27 16:45:00,651.9066666666666,0.0,,44.5,96.67666666666666,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,822.6666666666666,0.0,69.28666666666668,0.0,67.0,69.0,85.0,68.0,
10,2025-01-27 17:00:00,652.6166666666667,0.0,,44.5,96.98,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,841.6666666666666,0.0,69.29333333333334,0.0,67.0,69.0,85.0,68.0,
11,2025-01-27 17:15:00,656.1466666666666,0.0,,44.333333333333336,96.89666666666666,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,758.3333333333334,0.0,69.38,0.0,67.0,69.0,85.0,68.0,
12,2025-01-27 17:30:00,646.9666666666667,0.0,,44.5,97.42333333333332,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,882.6666666666666,0.0,69.52,0.0,67.0,69.0,85.0,68.0,
13,2025-01-27 17:45:00,647.3199999999999,0.0,,44.5,97.675,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,910.0,0.0,69.56,0.0,67.0,69.0,85.0,68.0,
14,2025-01-27 18:00:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
15,2025-01-27 18:15:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
16,2025-01-27 18:30:00,658.97,0.0,,44.5,97.72,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,835.0,0.0,69.76,,67.0,69.0,85.0,68.0,
17,2025-01-27 18:45:00,647.315,0.0,,44.5,98.34,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,843.0,0.0,69.81,,67.0,69.0,85.0,68.0,
18,2025-01-27 19:00:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
19,2025-01-27 19:15:00,648.38,0.0,,44.5,98.78,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,757.0,0.0,69.84,,67.0,69.0,85.0,68.0,
20,2025-01-27 19:30:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
21,2025-01-27 19:45:00,658.97,0.0,,44.5,98.4,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,741.0,0.0,69.85,,67.0,69.0,85.0,68.0,
22,2025-01-27 20:00:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
23,2025-01-27 20:15:00,644.14,0.0,,44.0,98.37,650.5,0.0,77.99,,100.0,74.0,0.0,70.0,828.0,0.0,70.12,,67.0,69.0,85.0,68.0,
24,2025-01-27 20:30:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
25,2025-01-27 20:45:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
26,2025-01-27 21:00:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
27,2025-01-27 21:15:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
28,2025-01-27 21:30:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
29,2025-01-27 21:45:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
30,2025-01-27 22:00:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
31,2025-01-27 22:15:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
32,2025-01-27 22:30:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
33,2025-01-27 22:45:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
34,2025-01-27 23:00:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
35,2025-01-27 23:15:00,,,,,,650.5,,77.99,,,74.0,,70.0,,0.0,,,67.0,69.0,85.0,68.0,
