,time,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffSp,HtgPct,OccClgSp,OccHtgSp,RmSp,RmTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp
0,2025-01-27 14:30:00,594.345,0.0,44.5,62.19,584.81,70.48,0.0,74.0,70.0,0.0,69.98,67.0,69.0,85.0,55.0
1,2025-01-27 14:45:00,579.1566666666668,0.0,44.833333333333336,62.45666666666667,584.81,70.48,0.0,74.0,70.0,0.0,70.12666666666667,67.0,69.0,85.0,55.0
2,2025-01-27 15:00:00,585.5166666666667,0.0,44.5,62.75666666666666,584.81,70.48,0.0,74.0,70.0,0.0,70.23666666666666,67.0,69.0,85.0,55.0
3,2025-01-27 15:15:00,590.4633333333333,0.0,44.66666666666666,63.06666666666666,584.81,70.48,0.0,74.0,70.0,0.0,70.27,67.0,69.0,85.0,55.0
4,2025-01-27 15:30:00,584.81,0.0,45.0,63.36333333333334,584.81,70.48,0.0,74.0,70.0,0.0,70.37,67.0,69.0,85.0,55.0
5,2025-01-27 15:45:00,589.7566666666667,0.0,44.833333333333336,63.57666666666668,584.81,70.48,0.0,74.0,70.0,0.0,70.36,67.0,69.0,85.0,55.0
6,2025-01-27 16:00:00,586.2233333333334,0.0,44.833333333333336,63.74666666666667,584.81,70.48,0.0,74.0,70.0,0.0,70.38666666666667,67.0,69.0,85.0,55.0
7,2025-01-27 16:15:00,586.93,0.0,44.833333333333336,63.96666666666666,584.81,70.48,0.0,74.0,70.0,0.0,70.38666666666667,67.0,69.0,85.0,55.0
8,2025-01-27 16:30:00,582.6933333333333,0.0,44.5,64.23,584.81,70.48,0.0,74.0,70.0,0.0,70.39,67.0,69.0,85.0,55.0
9,2025-01-27 16:45:00,593.9933333333333,0.0,44.5,64.51333333333334,584.81,70.48,0.0,74.0,70.0,0.0,70.42666666666666,67.0,69.0,85.0,55.0
10,2025-01-27 17:00:00,593.2833333333333,1.1733333333333331,45.333333333333336,64.64999999999999,591.17,70.48,0.0,74.0,70.0,0.0,70.52,67.0,69.0,85.0,55.0
11,2025-01-27 17:15:00,593.2866666666666,1.09,45.0,64.72333333333334,592.5799999999999,70.48,0.0,74.0,70.0,0.0,70.51,67.0,69.0,85.0,55.0
12,2025-01-27 17:30:00,592.5833333333334,0.5633333333333334,45.16666666666666,64.92333333333333,588.3433333333332,70.48,0.0,74.0,70.0,0.0,70.45333333333333,67.0,69.0,85.0,55.0
13,2025-01-27 17:45:00,597.525,1.775,45.5,65.19999999999999,594.345,70.48,0.0,74.0,70.0,0.0,70.53,67.0,69.0,85.0,55.0
16,2025-01-27 18:30:00,658.97,9.94,48.0,65.48,654.73,70.48,0.0,74.0,70.0,0.0,70.68,67.0,69.0,85.0,55.0
17,2025-01-27 18:45:00,689.6949999999999,14.57,48.75,65.84,689.6949999999999,70.48,0.0,74.0,70.0,0.0,70.77000000000001,67.0,69.0,85.0,55.0
19,2025-01-27 19:15:00,773.39,26.81,52.0,66.06,775.51,70.48,0.0,74.0,70.0,0.0,70.95,67.0,69.0,85.0,55.0
21,2025-01-27 19:45:00,800.94,32.04,53.5,65.84,811.53,70.48,0.0,74.0,70.0,0.0,70.92,67.0,69.0,85.0,55.0
23,2025-01-27 20:15:00,832.72,33.54,53.0,66.0,824.24,70.48,0.0,74.0,70.0,0.0,70.83,67.0,69.0,85.0,55.0
40,2025-01-28 14:30:00,633.545,6.300000000000001,47.5,65.1,628.25,70.48,0.0,74.0,70.0,0.0,70.65,67.0,69.0,85.0,55.0
41,2025-01-28 14:45:00,618.7133333333333,4.916666666666667,47.0,65.30333333333333,619.4233333333333,70.48,0.0,74.0,70.0,0.0,70.59333333333335,67.0,69.0,85.0,55.0
42,2025-01-28 15:00:00,636.3733333333333,6.93,48.16666666666666,65.55666666666666,633.5466666666666,70.48,0.0,74.0,70.0,0.0,70.60666666666667,67.0,69.0,85.0,55.0
43,2025-01-28 15:15:00,653.32,9.943333333333332,48.833333333333336,65.72666666666667,654.7366666666667,70.48,0.0,74.0,70.0,0.0,70.68,67.0,69.0,85.0,55.0
44,2025-01-28 15:30:00,685.8133333333334,15.103333333333332,50.66666666666666,65.91000000000001,691.46,70.48,0.0,74.0,70.0,0.0,70.77,67.0,69.0,85.0,55.0
45,2025-01-28 15:45:00,714.0600000000001,18.086666666666662,51.5,66.06666666666666,714.0600000000001,70.48,0.0,74.0,70.0,0.0,70.80333333333334,67.0,69.0,85.0,55.0
46,2025-01-28 16:00:00,731.7199999999999,21.02,52.333333333333336,66.27,734.5433333333334,70.48,0.0,74.0,70.0,0.0,70.82333333333334,67.0,69.0,85.0,55.0
47,2025-01-28 16:15:00,766.3266666666667,26.28,54.0,66.56,771.9766666666668,70.48,0.0,74.0,70.0,0.0,70.89333333333333,67.0,69.0,85.0,55.0
48,2025-01-28 16:30:00,805.8800000000001,31.65,55.66666666666666,66.73666666666666,810.8233333333333,70.48,0.0,74.0,70.0,0.0,70.95,67.0,69.0,85.0,55.0
49,2025-01-28 16:45:00,844.7233333333334,34.72,56.5,66.92666666666666,833.4233333333333,70.48,0.0,74.0,70.0,0.0,70.93666666666667,67.0,69.0,85.0,55.0
50,2025-01-28 17:00:00,867.3266666666667,39.59666666666666,58.0,67.11,866.6233333333333,70.48,0.0,74.0,70.0,0.0,70.98,67.0,69.0,85.0,55.0
51,2025-01-28 17:15:00,892.7566666666667,42.47666666666667,59.16666666666666,67.30666666666667,887.1066666666667,70.48,0.0,74.0,70.0,0.0,70.96333333333332,67.0,69.0,85.0,55.0
52,2025-01-28 17:30:00,937.96,49.39666666666667,61.333333333333336,67.54666666666667,938.6633333333332,70.48,0.0,74.0,70.0,0.0,71.06,67.0,69.0,85.0,55.0
53,2025-01-28 17:45:00,969.0333333333332,53.29,62.5,67.87,965.5033333333334,70.48,0.0,74.0,70.0,0.0,71.04666666666667,67.0,69.0,85.0,55.0
54,2025-01-28 18:00:00,1001.5233333333332,59.06,64.5,67.98,1007.88,70.48,0.0,74.0,70.0,0.0,71.09333333333332,67.0,69.0,85.0,55.0
55,2025-01-28 18:15:00,1035.4233333333332,63.67666666666667,66.33333333333333,68.27666666666666,1038.9566666666667,70.48,0.0,74.0,70.0,0.0,71.08666666666666,67.0,69.0,85.0,55.0
56,2025-01-28 18:30:00,1080.63,68.30666666666667,67.83333333333333,68.52333333333333,1073.5666666666666,70.48,0.0,74.0,70.0,0.0,71.1,67.0,69.0,85.0,55.0
57,2025-01-28 18:45:00,1114.53,74.37666666666667,69.33333333333333,68.52333333333333,1118.0633333333333,70.48,0.0,74.0,70.0,0.0,71.13666666666667,67.0,69.0,85.0,55.0
58,2025-01-28 19:00:00,1168.9166666666667,81.62333333333333,72.66666666666667,68.77333333333333,1168.9166666666667,70.48,0.0,74.0,70.0,0.0,71.19666666666667,67.0,69.0,85.0,55.0
59,2025-01-28 19:15:00,1190.81,86.20666666666666,74.0,69.01333333333334,1203.5233333333333,70.48,0.0,74.0,70.0,0.0,71.18333333333334,67.0,69.0,85.0,55.0
60,2025-01-28 19:30:00,1242.3666666666666,92.3,75.66666666666667,69.10666666666667,1245.1966666666667,70.48,0.0,74.0,70.0,0.0,71.2,67.0,69.0,85.0,55.0
61,2025-01-28 19:45:00,1290.4,98.55333333333334,77.5,69.08,1290.3966666666668,70.48,0.0,74.0,70.0,0.0,71.23333333333333,67.0,69.0,85.0,55.0
62,2025-01-28 20:00:00,1293.2233333333334,100.0,77.83333333333333,69.24666666666667,1300.99,70.48,0.0,74.0,70.0,0.0,71.26333333333334,67.0,69.0,85.0,55.0
63,2025-01-28 20:15:00,1300.99,100.0,77.16666666666667,69.40333333333334,1300.99,70.48,0.0,74.0,70.0,0.0,71.37333333333333,67.0,69.0,85.0,55.0
64,2025-01-28 20:30:00,1300.2866666666666,100.0,76.33333333333333,69.62,1300.99,70.48,0.0,74.0,70.0,0.0,71.46666666666665,67.0,69.0,85.0,55.0
65,2025-01-28 20:45:00,1298.8733333333332,100.0,76.0,69.57666666666667,1300.99,70.48,0.0,74.0,70.0,0.0,71.51666666666667,67.0,69.0,85.0,55.0
66,2025-01-28 21:00:00,1298.1666666666667,100.0,76.0,69.50666666666666,1300.99,70.48,0.0,74.0,70.0,0.0,71.54333333333334,67.0,69.0,85.0,55.0
67,2025-01-28 21:15:00,1303.1133333333337,100.0,76.5,69.49333333333334,1300.99,70.48,0.0,74.0,70.0,0.0,71.62,67.0,69.0,85.0,55.0
68,2025-01-28 21:30:00,1300.993333333333,100.0,76.5,63.1,1300.99,70.48,0.0,74.0,70.0,0.0,71.51,67.0,69.0,85.0,55.0
69,2025-01-28 21:45:00,1286.8666666666666,99.27333333333333,75.33333333333333,59.42,1294.6333333333334,70.48,0.0,74.0,70.0,0.0,70.66333333333334,67.0,69.0,85.0,55.0
70,2025-01-28 22:00:00,1282.6266666666668,98.05333333333331,74.66666666666667,62.32333333333333,1291.1033333333332,70.48,0.0,74.0,70.0,0.0,70.45666666666666,67.0,69.0,85.0,55.0
71,2025-01-28 22:15:00,1171.0333333333333,81.07666666666667,69.0,62.68666666666667,1165.3866666666663,70.48,0.0,74.0,70.0,0.0,69.99,67.0,69.0,85.0,55.0
72,2025-01-28 22:30:00,1147.02,80.01666666666667,68.66666666666667,58.92,1156.91,70.48,0.0,74.0,70.0,0.0,70.06333333333333,67.0,69.0,85.0,55.0
73,2025-01-28 22:45:00,1036.84,64.32333333333334,64.66666666666667,65.30666666666666,1043.1933333333334,70.48,0.0,74.0,70.0,0.0,69.73,67.0,69.0,85.0,55.0
74,2025-01-28 23:00:00,943.6066666666666,50.473333333333336,61.16666666666666,60.23666666666667,943.61,70.48,0.0,74.0,70.0,0.0,69.49666666666667,67.0,69.0,85.0,55.0
75,2025-01-28 23:15:00,915.3566666666668,46.03,60.0,67.19,912.53,70.48,0.0,74.0,70.0,0.0,69.59333333333332,67.0,69.0,85.0,55.0
76,2025-01-28 23:30:00,940.0766666666668,49.830000000000005,61.333333333333336,67.71666666666665,941.49,70.48,0.0,74.0,70.0,0.0,69.87333333333333,67.0,69.0,85.0,55.0
77,2025-01-28 23:45:00,942.1933333333332,48.61333333333334,60.833333333333336,67.73,932.3033333333332,70.48,0.0,74.0,70.0,0.0,69.96,67.0,69.0,85.0,55.0
78,2025-01-29 00:00:00,892.7566666666667,44.330000000000005,59.833333333333336,67.69666666666666,900.5233333333332,70.48,0.0,74.0,70.0,0.0,69.94666666666666,67.0,69.0,85.0,55.0
79,2025-01-29 00:15:00,874.39,40.12,58.66666666666666,67.62666666666667,870.8633333333333,70.48,0.0,74.0,70.0,0.0,69.94666666666666,67.0,69.0,85.0,55.0
80,2025-01-29 00:30:00,829.8966666666666,35.46333333333333,57.5,67.67333333333333,837.6633333333333,70.48,0.0,74.0,70.0,0.0,69.93,67.0,69.0,85.0,55.0
81,2025-01-29 00:45:00,800.9366666666666,31.366666666666664,56.66666666666666,67.58,805.88,70.48,0.0,74.0,70.0,0.0,69.92,67.0,69.0,85.0,55.0
82,2025-01-29 01:00:00,752.2033333333334,24.05333333333333,54.66666666666666,67.76,757.1466666666666,70.48,0.0,74.0,70.0,0.0,69.85333333333334,67.0,69.0,85.0,55.0
83,2025-01-29 01:15:00,731.0133333333333,20.52,53.66666666666666,67.68666666666667,728.1866666666666,70.48,0.0,74.0,70.0,0.0,69.87333333333333,67.0,69.0,85.0,55.0
84,2025-01-29 01:30:00,678.04,14.023333333333332,52.16666666666666,67.75,683.6933333333333,70.48,0.0,74.0,70.0,0.0,69.83333333333333,67.0,69.0,85.0,55.0
85,2025-01-29 01:45:00,650.4933333333333,8.943333333333333,50.833333333333336,67.64999999999999,647.67,70.48,0.0,74.0,70.0,0.0,69.82666666666667,67.0,69.0,85.0,55.0
86,2025-01-29 02:00:00,624.3633333333333,5.5200000000000005,49.66666666666666,67.55,622.2433333333333,70.48,0.0,74.0,70.0,0.0,69.87666666666667,67.0,69.0,85.0,55.0
87,2025-01-29 02:15:00,609.5333333333333,2.9,49.16666666666666,67.68333333333334,603.1733333333333,70.48,0.0,74.0,70.0,0.0,69.92666666666666,67.0,69.0,85.0,55.0
88,2025-01-29 02:30:00,586.93,0.5433333333333333,48.16666666666666,67.55,588.3433333333332,70.48,0.0,74.0,70.0,0.0,69.96,67.0,69.0,85.0,55.0
89,2025-01-29 02:45:00,589.7566666666667,0.0,48.333333333333336,67.48,584.81,70.48,0.0,74.0,70.0,0.0,69.97333333333334,67.0,69.0,85.0,55.0
90,2025-01-29 03:00:00,592.5833333333334,0.0,48.5,67.55,584.81,70.48,0.0,74.0,70.0,0.0,69.95333333333333,67.0,69.0,85.0,55.0
91,2025-01-29 03:15:00,580.5733333333334,0.0,48.0,67.57,584.81,70.48,0.0,74.0,70.0,0.0,69.97333333333334,67.0,69.0,85.0,55.0
92,2025-01-29 03:30:00,581.28,0.0,48.333333333333336,67.49000000000001,584.81,70.48,0.0,74.0,70.0,0.0,69.98,67.0,69.0,85.0,55.0
93,2025-01-29 03:45:00,581.28,0.0,48.333333333333336,67.53666666666668,584.81,70.48,0.0,74.0,70.0,0.0,69.98,67.0,69.0,85.0,55.0
94,2025-01-29 04:00:00,587.6366666666667,0.0,48.5,67.64999999999999,584.81,70.48,0.0,74.0,70.0,0.0,69.98,67.0,69.0,85.0,55.0
95,2025-01-29 04:15:00,579.8666666666667,0.0,48.5,67.45,584.81,70.48,0.0,74.0,70.0,0.0,69.98,67.0,69.0,85.0,55.0
