,time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
0,2025-01-27 14:30:00,168.45,,0.0,50.5,97.915,167.39,0.0,71.47999999999999,81.86500000000001,75.0,0.0,68.0,478.0,74.985,71.575,,0.0,84.0,69.0,85.0,68.0,,
1,2025-01-27 14:45:00,166.6833333333333,0.0,0.0,50.5,97.56333333333332,167.39,0.0,71.49,79.80333333333334,75.0,0.0,68.0,480.6666666666667,74.99,71.64,0.1300000000000096,0.0,84.0,69.0,85.0,68.0,,
2,2025-01-27 15:00:00,168.09666666666666,0.0,0.0,50.5,97.04666666666668,167.39,0.0,71.49,78.39,75.0,0.0,68.0,487.3333333333333,74.98,71.65333333333334,0.1500000000000056,0.0,84.0,69.0,85.0,68.0,,
3,2025-01-27 15:15:00,169.51,2.1200000000000045,0.0,50.5,96.36333333333334,167.39,0.0,71.49,75.95333333333333,75.0,0.0,68.0,491.3333333333333,74.99,71.70333333333333,0.1800000000000068,0.0,84.0,69.0,85.0,68.0,,
4,2025-01-27 15:30:00,167.39,2.1200000000000045,0.0,50.5,95.61333333333332,167.39,0.0,71.49,73.04666666666667,75.0,0.0,68.0,497.6666666666667,74.98,71.76,0.2199999999999988,0.0,84.0,69.0,85.0,68.0,,
5,2025-01-27 15:45:00,168.09666666666666,0.0,0.0,50.5,94.87333333333332,167.39,0.0,71.49,70.58,75.0,0.0,68.0,498.6666666666667,74.99,71.78,0.2700000000000102,0.0,84.0,69.0,85.0,68.0,,
6,2025-01-27 16:00:00,167.39,0.0,0.0,50.5,94.01333333333334,167.39,0.0,71.49,68.3,75.0,0.0,68.0,505.0,74.99,71.77333333333333,0.2900000000000062,0.0,84.0,69.0,85.0,68.0,,
7,2025-01-27 16:15:00,166.6833333333333,0.0,0.0,50.16666666666666,92.71999999999998,167.39,0.0,71.49,65.79,75.0,0.0,68.0,503.6666666666667,74.99,71.78666666666668,0.2900000000000062,0.0,84.0,69.0,85.0,68.0,,
8,2025-01-27 16:30:00,168.8033333333333,-2.119999999999976,0.0,50.0,91.88,167.39,0.0,71.49,63.583333333333336,75.0,0.0,68.0,504.3333333333333,74.98,71.78,0.3100000000000023,0.0,84.0,69.0,85.0,68.0,,
9,2025-01-27 16:45:00,167.39,0.0,0.0,50.0,90.82,167.39,0.0,71.49,61.443333333333335,75.0,0.0,68.0,505.0,74.99,71.78,0.2900000000000062,0.0,84.0,69.0,85.0,68.0,,
