source_file,time,Unnamed: 0,AirFlow,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,RmCo2,AirflowSpRht,SuplFanCmd,SuplFanState,Cooling_Stg_Cmd,Heating_Stg_Cmd
W.csv,2025-01-27 15:30:00,4,454.8533333333333,0.0,3.333333333333333,63.68666666666667,449.2,0.0,68.49,19.03333333333333,74.0,0.0,70.0,0.0,68.73333333333333,0.0,67.0,69.0,68.0,68.0,,,,,,
V.csv,2025-01-27 15:30:00,4,152.56,0.0,54.333333333333336,88.77,152.56,0.0,70.0,100.0,74.0,0.0,70.0,0.0,68.49333333333334,0.0,67.0,69.0,68.0,68.0,539.0,,,,,
A.csv,2025-01-27 15:30:00,4,480.9866666666667,0.0,6.0,92.79666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.41000000000001,,84.0,69.0,78.0,68.0,,,,,,
MM.csv,2025-01-27 15:30:00,4,447.08,0.0,50.833333333333336,62.65,449.2,0.0,70.0,0.0,74.0,0.0,70.0,72.0,71.51,0.0,67.0,69.0,85.0,68.0,,,,,,
C.csv,2025-01-27 15:30:00,4,601.0533333333333,0.0,56.5,92.29,608.12,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.05,,67.0,69.0,68.0,68.0,0.0,,,,,
BB.csv,2025-01-27 15:30:00,4,1168.9133333333332,0.0,91.83333333333331,100.25,1171.0366666666666,0.0,70.0,96.55,74.0,0.0,70.0,72.0,70.03666666666668,,84.0,69.0,85.0,68.0,0.0,1199.29,1.0,-1.0,,
T.csv,2025-01-27 15:30:00,4,731.0166666666668,0.0,86.0,61.77,720.42,0.0,70.0,100.0,74.0,0.0,70.0,0.0,66.77333333333333,0.0,67.0,69.0,68.0,68.0,,,,,,
U.csv,2025-01-27 15:30:00,4,151.14666666666668,0.0,4.833333333333333,71.83,152.56,0.0,68.0,36.63333333333333,74.0,0.0,70.0,0.0,69.34333333333333,0.0,67.0,69.0,68.0,68.0,731.6666666666666,,,,,
B.csv,2025-01-27 15:30:00,4,899.82,0.0,96.5,62.43,900.52,0.0,70.0,100.0,73.99,0.0,70.0,72.0,67.27666666666666,,66.97,68.99,68.0,68.0,503.0,,,,,
LL.csv,2025-01-27 15:30:00,4,110.88666666666668,76.12333333333333,40.0,62.51333333333333,113.00666666666666,0.0,70.0,0.0,70.0,0.0,70.0,70.0,71.0,0.0,67.0,69.0,75.0,55.0,,,,,,
Q.csv,2025-01-27 15:30:00,4,774.1,0.0,69.66666666666667,62.72,775.5099999999999,0.0,66.99,0.0,74.0,0.0,70.0,0.0,68.36666666666667,0.0,84.0,69.0,85.0,68.0,533.3333333333334,,,,,
CC.csv,2025-01-27 15:30:00,4,1083.4533333333334,0.0,98.0,101.17666666666666,1107.47,0.0,70.0,88.07333333333334,74.0,0.0,70.0,72.0,70.00666666666666,,67.0,69.0,68.0,68.0,0.0,1199.29,1.0,-1.0,,
F.csv,2025-01-27 15:30:00,4,370.1,0.0,10.166666666666666,72.01666666666667,375.04,0.0,70.0,34.300000000000004,74.0,0.0,70.0,72.0,70.11666666666667,,67.0,69.0,78.0,62.0,,,,,,
G.csv,2025-01-27 15:30:00,4,134.90333333333334,0.0,87.0,62.93,122.90000000000002,0.0,70.0,0.0,74.0,0.0,70.0,72.0,70.68,,67.0,69.0,68.0,68.0,,,,,,
P.csv,2025-01-27 15:30:00,4,533.9566666666666,0.0,39.0,87.10333333333334,538.2,0.0,82.99,100.0,74.0,0.0,70.0,0.0,71.57,0.0,67.0,69.0,85.0,68.0,,,,,,
R.csv,2025-01-27 15:30:00,4,646.9633333333333,0.0,44.5,95.88333333333333,650.5,0.0,77.99,100.0,74.0,0.0,70.0,0.0,69.10333333333334,0.0,67.0,69.0,85.0,68.0,852.3333333333334,,,,,
E.csv,2025-01-27 15:30:00,4,358.7966666666667,0.0,95.16666666666669,69.56,360.21,0.0,70.0,31.19333333333334,74.0,0.0,70.0,72.0,70.35000000000001,,67.0,69.0,68.0,68.0,515.3333333333334,,,,,
D.csv,2025-01-27 15:30:00,4,826.3633333333333,0.0,97.83333333333331,86.08333333333333,832.7199999999999,0.0,70.0,84.45333333333333,74.0,0.0,70.0,72.0,70.18333333333334,,67.0,69.0,68.0,68.0,515.3333333333334,,,,,
S.csv,2025-01-27 15:30:00,4,396.93666666666667,0.0,47.5,63.03333333333333,400.47,0.0,70.0,0.0,74.0,0.0,70.0,0.0,69.15,0.0,67.0,69.0,85.0,68.0,,,,,,
PP.csv,2025-01-27 15:30:00,4,62.86333333333334,0.0,12.833333333333334,77.59333333333333,63.57,0.0,73.99,39.46,74.0,0.0,70.0,0.0,74.65666666666667,0.0,67.0,69.0,85.0,55.0,,,,,,
JJ.csv,2025-01-27 15:30:00,4,860.9699999999999,0.0,100.0,76.03,1199.29,0.0,70.0,100.0,74.0,0.0,70.0,72.0,66.01333333333334,,67.0,69.0,85.0,55.0,0.0,,1.0,-1.0,,
EE.csv,2025-01-27 15:30:00,4,625.07,0.0,100.0,64.49000000000001,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,0.0,69.69,59.35666666666666,67.0,69.0,68.0,68.0,1.0,1108.17,,,,
KK.csv,2025-01-27 15:30:00,4,125.01,0.0,33.5,105.56666666666666,127.13,0.0,72.0,100.0,70.0,0.0,70.0,72.0,71.73,0.0,67.0,69.0,68.0,68.0,,,,,,
DD.csv,2025-01-27 15:30:00,4,946.43,0.0,100.0,103.02333333333333,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.60333333333334,,84.0,69.0,85.0,68.0,0.0,,1.0,-1.0,,
QQ.csv,2025-01-27 15:30:00,4,444.9633333333333,0.0,97.33333333333331,62.72666666666667,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,70.95333333333333,0.0,67.0,69.0,85.0,68.0,,,,,,
HH.csv,2025-01-27 15:30:00,4,645.5533333333333,0.0,100.0,88.75,1765.03,0.0,70.0,100.0,74.0,0.0,70.0,72.0,68.84333333333333,,67.0,69.0,68.0,68.0,0.0,,1.0,-1.0,,
GG.csv,2025-01-27 15:30:00,4,473.2166666666667,0.0,100.0,82.61333333333333,997.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,67.58999999999999,,67.0,69.0,85.0,68.0,486.6666666666667,,1.0,-1.0,,
RR.csv,2025-01-27 15:30:00,4,64.98333333333333,0.0,15.833333333333334,62.82333333333333,63.57,0.0,70.0,0.0,74.0,0.0,70.0,72.0,71.44666666666666,0.0,67.0,69.0,68.0,68.0,,,,,,
