,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.00211377314374346,-0.15927278487340338
0,"AirFlow,BldgStaticPresSpRTU1",-0.0031419015602348857,-1.4194895030981308e-16
0,"AirFlow,ClgPctRTU1",0.12370487230882421,0.07494347126023422
0,"AirFlow,ClgStgCmd01RTU1",0.11141310730563564,0.0628745071569728
0,"AirFlow,EffSuplAirTempSpRTU1",-0.03146486997516167,-0.03027927979738294
0,"AirFlow,ExhFanSpdRTU1",0.005924534072314487,0.006938532702988441
0,"AirFlow,OutAirDmprFbkRTU1",0.19786332877592971,0.1287830402306385
0,"AirFlow,OutAirFlowRTU1",-0.2102117112354392,
0,"AirFlow,OutAirTempRTU1",0.18403974841015014,0.13029836805732614
0,"AirFlow,RmTempRTU1",-0.1116884002181919,-0.09943792978205367
0,"AirFlow,SuplAirStaticPresRTU1",0.2116916370081376,0.18598520002066224
0,"AirFlow,SuplAirTempRTU1",0.11937591122863504,-0.09606937063138617
0,"AirFlow,SuplFanSpdRTU1",-0.01873925583950101,0.020477690661585085
0,"AirFlow,SuplFanStatusRTU1",,-0.003140614586249439
0,"AirFlow,UnoccClgSpRTU1",,-0.003140614586249446
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
