,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.003576038449240027,-0.16006976057115457
0,"AirFlow,BldgStaticPresSpRTU1",-0.004500649126175839,3.845674489990612e-17
0,"AirFlow,ClgPctRTU1",0.12207847000312724,0.07396229274676148
0,"AirFlow,ClgStgCmd01RTU1",0.11005135146489071,0.06208487316674665
0,"AirFlow,EffSuplAirTempSpRTU1",-0.030538858359195578,-0.030399732803694006
0,"AirFlow,ExhFanSpdRTU1",0.006152860979954252,0.00643582031030826
0,"AirFlow,OutAirDmprFbkRTU1",0.19820369656171932,0.12785055470618398
0,"AirFlow,OutAirFlowRTU1",-0.20960633656040262,
0,"AirFlow,OutAirTempRTU1",0.18242317462528898,0.12863938160278765
0,"AirFlow,RmTempRTU1",-0.11129289052729624,-0.09988339766213547
0,"AirFlow,SuplAirStaticPresRTU1",0.21107075527990696,0.18501732656740427
0,"AirFlow,SuplAirTempRTU1",0.11922144438848636,-0.09752609255094576
0,"AirFlow,SuplFanSpdRTU1",-0.019666194313071674,0.01844063093646714
0,"AirFlow,SuplFanStatusRTU1",,-0.004499079542220959
0,"AirFlow,UnoccClgSpRTU1",,-0.004499079542220991
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.009231185277841775,0.05065647158133795
0,"DmprPos,BldgStaticPresSpRTU1",0.009349838165878132,-3.3908126637014615e-17
0,"DmprPos,ClgPctRTU1",-0.37615421652660436,-0.04840807952557395
0,"DmprPos,ClgStgCmd01RTU1",-0.3842102144747943,-0.006108380661176753
0,"DmprPos,EffSuplAirTempSpRTU1",-0.06529141626039654,-0.07757019171530039
0,"DmprPos,ExhFanSpdRTU1",-0.014386665270679805,-0.04324540548227839
0,"DmprPos,OutAirDmprFbkRTU1",-0.46062827844490617,-0.7132608082094078
0,"DmprPos,OutAirFlowRTU1",0.6327032522481467,
0,"DmprPos,OutAirTempRTU1",-0.4982737971655638,-0.4740108081201251
0,"DmprPos,RmTempRTU1",0.00846284855587127,-0.02118147814765125
0,"DmprPos,SuplAirStaticPresRTU1",-0.4732522904313367,-0.7596927047504096
0,"DmprPos,SuplAirTempRTU1",-0.260963547140188,-0.3069443921874119
0,"DmprPos,SuplFanSpdRTU1",0.10608637260811336,-0.007459680188339939
0,"DmprPos,SuplFanStatusRTU1",,0.009344525353319604
0,"DmprPos,UnoccClgSpRTU1",,0.009344525353319632
0,"DschAirTemp,BldgStaticPresRTU1",-0.0014958033129236104,0.1082848021802196
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.008342335416024301,-2.2766565557112425e-15
0,"DschAirTemp,ClgPctRTU1",-0.014658662815922372,-0.16210015098059755
0,"DschAirTemp,ClgStgCmd01RTU1",0.000453499943559754,-0.12123903101812698
0,"DschAirTemp,EffSuplAirTempSpRTU1",-0.08392611531564499,0.2525532872432646
0,"DschAirTemp,ExhFanSpdRTU1",-0.011137479931965056,0.008433917969983426
0,"DschAirTemp,OutAirDmprFbkRTU1",0.15224761794250768,0.03714550577352032
0,"DschAirTemp,OutAirFlowRTU1",-0.01801411526721811,
0,"DschAirTemp,OutAirTempRTU1",0.25578138938155665,0.282429330129726
0,"DschAirTemp,RmTempRTU1",0.6251143893485639,0.7257228843313035
0,"DschAirTemp,SuplAirStaticPresRTU1",0.07301543574046496,-0.007494782131034678
0,"DschAirTemp,SuplAirTempRTU1",0.46751129872668273,0.8266162920962677
0,"DschAirTemp,SuplFanSpdRTU1",0.02597047637816161,-0.023772890010259038
0,"DschAirTemp,SuplFanStatusRTU1",,-0.008336660123575373
0,"DschAirTemp,UnoccClgSpRTU1",,-0.008336660123575413
0,"EffAirflowSp,BldgStaticPresRTU1",-3.232819908980143e-17,-1.4090127227671615e-16
0,"EffAirflowSp,BldgStaticPresSpRTU1",-1.386144511976592e-14,-0.9999999999999998
0,"EffAirflowSp,ClgPctRTU1",4.621906524180473e-16,4.64857370743296e-16
0,"EffAirflowSp,ClgStgCmd01RTU1",-5.282906179323329e-16,8.45675686575229e-16
0,"EffAirflowSp,EffSuplAirTempSpRTU1",-4.788848306273983e-15,-1.2183446403185287e-14
0,"EffAirflowSp,ExhFanSpdRTU1",1.3475059973509088e-16,-3.1754021935504813e-17
0,"EffAirflowSp,OutAirDmprFbkRTU1",2.3880980381577217e-15,1.6863525494725627e-15
0,"EffAirflowSp,OutAirFlowRTU1",3.489531276190743e-17,
0,"EffAirflowSp,OutAirTempRTU1",1.8776490614586286e-16,-2.388543964652566e-16
