,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.0386905216020563,0.03501121269798059
0,"AirFlow,BldgStaticPresSpRTU1",-5.903075141469341e-17,-5.903075141469341e-17
0,"AirFlow,ClgPctRTU1",-0.10216797100758972,
0,"AirFlow,ClgStgCmd01RTU1",-0.2345542297650294,
0,"AirFlow,EffSuplAirTempSpRTU1",-0.29473095928989124,
0,"AirFlow,ExhFanSpdRTU1",-0.0743473528808904,
0,"AirFlow,OutAirDmprFbkRTU1",0.19741184832799738,-0.3376429644789437
0,"AirFlow,OutAirFlowRTU1",0.4419660702800955,
0,"AirFlow,OutAirTempRTU1",-0.48392988521587316,-0.4785988156809381
0,"AirFlow,RmTempRTU1",-0.025264554980497067,-0.32003114365656915
0,"AirFlow,SuplAirStaticPresRTU1",-0.8138160118214572,-0.31260946953573093
0,"AirFlow,SuplAirTempRTU1",-0.3399531760105271,-0.25202712694486173
0,"AirFlow,SuplFanSpdRTU1",,
0,"AirFlow,SuplFanStatusRTU1",,
0,"AirFlow,UnoccClgSpRTU1",,
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",-0.03156222130730596,0.03323361147659352
0,"DmprPos,BldgStaticPresSpRTU1",3.3982709850757005e-16,3.3982709850757005e-16
0,"DmprPos,ClgPctRTU1",-0.16165790311991246,
0,"DmprPos,ClgStgCmd01RTU1",-0.23525120983747602,
0,"DmprPos,EffSuplAirTempSpRTU1",-0.3565432140540541,
0,"DmprPos,ExhFanSpdRTU1",-0.04937209901504534,
0,"DmprPos,OutAirDmprFbkRTU1",0.1799258036301545,-0.3745932400258533
0,"DmprPos,OutAirFlowRTU1",0.4789955504501824,
0,"DmprPos,OutAirTempRTU1",-0.5481250532553447,-0.5422603447569695
0,"DmprPos,RmTempRTU1",-0.005123692322221627,-0.34627727771668937
0,"DmprPos,SuplAirStaticPresRTU1",-0.8782039643151024,-0.36765909678680947
0,"DmprPos,SuplAirTempRTU1",-0.3428269200922898,-0.30495117916202186
0,"DmprPos,SuplFanSpdRTU1",,
0,"DmprPos,SuplFanStatusRTU1",,
0,"DmprPos,UnoccClgSpRTU1",,
0,"DschAirTemp,BldgStaticPresRTU1",-0.051088289176186116,0.04577624220688971
0,"DschAirTemp,BldgStaticPresSpRTU1",-2.777521724254438e-16,-2.777521724254438e-16
0,"DschAirTemp,ClgPctRTU1",-0.3388213660596731,
0,"DschAirTemp,ClgStgCmd01RTU1",-0.33331666861531983,
0,"DschAirTemp,EffSuplAirTempSpRTU1",-0.2079970819068816,
0,"DschAirTemp,ExhFanSpdRTU1",-0.054022219732276514,
0,"DschAirTemp,OutAirDmprFbkRTU1",0.038515821125317345,-0.46486791977631603
0,"DschAirTemp,OutAirFlowRTU1",0.47628727244940416,
0,"DschAirTemp,OutAirTempRTU1",-0.538536128054308,-0.5345876822323119
0,"DschAirTemp,RmTempRTU1",0.20722384134618596,-0.19202898586970676
0,"DschAirTemp,SuplAirStaticPresRTU1",-0.824675329648746,-0.4679540480843168
0,"DschAirTemp,SuplAirTempRTU1",-0.1150567094057696,-0.21047049972846266
0,"DschAirTemp,SuplFanSpdRTU1",,
0,"DschAirTemp,SuplFanStatusRTU1",,
0,"DschAirTemp,UnoccClgSpRTU1",,
0,"EffAirflowSp,BldgStaticPresRTU1",-0.040427773358290175,0.03597071343658307
0,"EffAirflowSp,BldgStaticPresSpRTU1",2.065679923132351e-16,2.065679923132351e-16
0,"EffAirflowSp,ClgPctRTU1",-0.10159478212538627,
0,"EffAirflowSp,ClgStgCmd01RTU1",-0.2334566572143393,
0,"EffAirflowSp,EffSuplAirTempSpRTU1",-0.29277790672076925,
0,"EffAirflowSp,ExhFanSpdRTU1",-0.07863968195783975,
0,"EffAirflowSp,OutAirDmprFbkRTU1",0.1984840681592681,-0.33813771232532475
0,"EffAirflowSp,OutAirFlowRTU1",0.4413421178994878,
0,"EffAirflowSp,OutAirTempRTU1",-0.4840563626352741,-0.4787767852228414
0,"EffAirflowSp,RmTempRTU1",-0.026497644889504644,-0.3217053561989683
