,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.003211119504404766,-0.15969122388390164
0,"AirFlow,BldgStaticPresSpRTU1",-0.004443178931679246,2.2624016473718554e-16
0,"AirFlow,ClgPctRTU1",0.12338271485412207,0.07415336207467177
0,"AirFlow,ClgStgCmd01RTU1",0.1117192959092677,0.06336106854391738
0,"AirFlow,EffSuplAirTempSpRTU1",-0.029624177046555327,-0.02984659977368246
0,"AirFlow,ExhFanSpdRTU1",0.005903271775144951,0.0060288275690278175
0,"AirFlow,OutAirDmprFbkRTU1",0.19834936251938828,0.1283320994167613
0,"AirFlow,OutAirFlowRTU1",-0.21053918605172584,
0,"AirFlow,OutAirTempRTU1",0.18323221509996146,0.1294088319314741
0,"AirFlow,RmTempRTU1",-0.11251807526087082,-0.10102899695086787
0,"AirFlow,SuplAirStaticPresRTU1",0.21172418001400645,0.18620359187586458
0,"AirFlow,SuplAirTempRTU1",0.11852396449428805,-0.09804570701894173
0,"AirFlow,SuplFanSpdRTU1",-0.019928509623612877,0.022471312822105606
0,"AirFlow,SuplFanStatusRTU1",,-0.004441849545188114
0,"AirFlow,UnoccClgSpRTU1",,-0.004441849545188131
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.01350426614009027,0.09330102348668563
