,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.008696702790551628,0.04122658954067201
0,"AirFlow,BldgStaticPresSpRTU1",0.0031678455760187217,
0,"AirFlow,ClgPctRTU1",-0.2968546709046361,-0.349084869020421
0,"AirFlow,ClgStgCmd01RTU1",-0.24299802393955208,-0.2623360965789802
0,"AirFlow,EffSuplAirTempSpRTU1",-0.03395207304768694,-0.12011960232093678
0,"AirFlow,ExhFanSpdRTU1",0.010625707334012477,-0.014617600723837679
0,"AirFlow,OutAirDmprFbkRTU1",-0.31393097858336727,-0.2747598996290624
0,"AirFlow,OutAirFlowRTU1",0.36396761790195525,
0,"AirFlow,OutAirTempRTU1",-0.5829025040387811,-0.5720514895999248
0,"AirFlow,RmTempRTU1",-0.2742952019160134,-0.3471483738346799
0,"AirFlow,SuplAirStaticPresRTU1",-0.7295299033418284,-0.3260797943769869
0,"AirFlow,SuplAirTempRTU1",-0.47993415086250124,-0.3727535228460438
0,"AirFlow,SuplFanSpdRTU1",0.2669714176142425,-0.015012044738778079
0,"AirFlow,SuplFanStatusRTU1",,0.003167689487137932
0,"AirFlow,UnoccClgSpRTU1",,0.0031676894871379598
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.021686300560516972,0.05093061722597586
0,"DmprPos,BldgStaticPresSpRTU1",0.008313049372987583,
0,"DmprPos,ClgPctRTU1",-0.21462418269070152,-0.2842514275764299
0,"DmprPos,ClgStgCmd01RTU1",-0.1826432256328026,-0.22266335407198745
0,"DmprPos,EffSuplAirTempSpRTU1",-0.1352482360164859,-0.1611416120227783
0,"DmprPos,ExhFanSpdRTU1",-0.001630741016075661,-0.02552629431968107
0,"DmprPos,OutAirDmprFbkRTU1",-0.33164149318130476,-0.29334279030275323
0,"DmprPos,OutAirFlowRTU1",0.36007494892870684,
0,"DmprPos,OutAirTempRTU1",-0.5894813193983416,-0.5702636995680921
0,"DmprPos,RmTempRTU1",-0.36229342086255945,-0.4100750235389285
0,"DmprPos,SuplAirStaticPresRTU1",-0.862864132914429,-0.33269067643374506
0,"DmprPos,SuplAirTempRTU1",-0.6117881016187674,-0.46568096309868573
0,"DmprPos,SuplFanSpdRTU1",0.21579227092204137,-0.01710553180625399
0,"DmprPos,SuplFanStatusRTU1",,0.008311414635579618
0,"DmprPos,UnoccClgSpRTU1",,0.008311414635579693
0,"DschAirTemp,BldgStaticPresRTU1",0.022457165359242783,0.04785049243059211
0,"DschAirTemp,BldgStaticPresSpRTU1",0.00790952223252449,
0,"DschAirTemp,ClgPctRTU1",-0.4858917234783789,-0.3845282099394147
0,"DschAirTemp,ClgStgCmd01RTU1",-0.4162632332579774,-0.3144851286634664
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.08970330608008983,-0.2604195124113177
