,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.07303021089461635,-0.042016627244456865
0,"AirFlow,BldgStaticPresSpRTU1",1.8466320842182622e-14,1.8466320842182622e-14
0,"AirFlow,ClgPctRTU1",0.07998550734868486,
0,"AirFlow,ClgStgCmd01RTU1",0.085735299120901,
0,"AirFlow,EffSuplAirTempSpRTU1",-0.0025865727344496895,
0,"AirFlow,ExhFanSpdRTU1",-0.03260543497449413,
0,"AirFlow,OutAirDmprFbkRTU1",0.054870433047728574,0.1449610485439807
0,"AirFlow,OutAirFlowRTU1",-0.15505072183351476,
0,"AirFlow,OutAirTempRTU1",0.0775639497278415,0.07803929123084373
0,"AirFlow,RmTempRTU1",-0.05858483098986857,-0.06898743174507099
0,"AirFlow,SuplAirStaticPresRTU1",0.06476346889319415,0.11545118902460445
0,"AirFlow,SuplAirTempRTU1",-0.018875033022970424,-0.0055668646459512625
0,"AirFlow,SuplFanSpdRTU1",,
0,"AirFlow,SuplFanStatusRTU1",,
0,"AirFlow,UnoccClgSpRTU1",,
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",-0.033176322013100765,0.08046590598281177
0,"DmprPos,BldgStaticPresSpRTU1",-3.842520258729681e-16,-3.842520258729681e-16
0,"DmprPos,ClgPctRTU1",-0.1581652568536661,
0,"DmprPos,ClgStgCmd01RTU1",-0.34826132630967843,
0,"DmprPos,EffSuplAirTempSpRTU1",-0.30981131216251834,
0,"DmprPos,ExhFanSpdRTU1",-0.045360191924791696,
0,"DmprPos,OutAirDmprFbkRTU1",0.4341739127453366,-0.38675406741950963
0,"DmprPos,OutAirFlowRTU1",0.3636474296761991,
0,"DmprPos,OutAirTempRTU1",-0.2862241711862922,-0.28917963043928324
0,"DmprPos,RmTempRTU1",0.1803324532814105,-0.18044331138348516
0,"DmprPos,SuplAirStaticPresRTU1",-0.5936517446295341,-0.28996322432371197
0,"DmprPos,SuplAirTempRTU1",-0.0559562920163121,-0.12211951898898991
0,"DmprPos,SuplFanSpdRTU1",,
0,"DmprPos,SuplFanStatusRTU1",,
0,"DmprPos,UnoccClgSpRTU1",,
0,"DschAirTemp,BldgStaticPresRTU1",-0.020472423963357286,0.02660189304643808
0,"DschAirTemp,BldgStaticPresSpRTU1",5.73608872515124e-16,5.73608872515124e-16
0,"DschAirTemp,ClgPctRTU1",-0.2277534365554293,
0,"DschAirTemp,ClgStgCmd01RTU1",-0.13665025538669529,
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.2093538312062982,
0,"DschAirTemp,ExhFanSpdRTU1",-0.050850161999987625,
0,"DschAirTemp,OutAirDmprFbkRTU1",-0.4330325494264485,-0.352198683563165
0,"DschAirTemp,OutAirFlowRTU1",0.2372811449099765,
0,"DschAirTemp,OutAirTempRTU1",-0.4871158791695324,-0.4746105789654077
0,"DschAirTemp,RmTempRTU1",0.10108512841934252,-0.17170087341130957
0,"DschAirTemp,SuplAirStaticPresRTU1",-0.39836093491868935,-0.3591073628258499
0,"DschAirTemp,SuplAirTempRTU1",-0.1721764071621174,-0.06495740733899258
0,"DschAirTemp,SuplFanSpdRTU1",,
0,"DschAirTemp,SuplFanStatusRTU1",,
0,"DschAirTemp,UnoccClgSpRTU1",,
0,"EffAirflowSp,BldgStaticPresRTU1",-0.004223681678176828,-0.0013812333451441467
0,"EffAirflowSp,BldgStaticPresSpRTU1",-0.9874208829065749,-0.9874208829065749
0,"EffAirflowSp,ClgPctRTU1",-0.00983289086319963,
0,"EffAirflowSp,ClgStgCmd01RTU1",-0.006962824917651755,
0,"EffAirflowSp,EffSuplAirTempSpRTU1",0.013389623313703598,
0,"EffAirflowSp,ExhFanSpdRTU1",-0.0018446389105890998,
0,"EffAirflowSp,OutAirDmprFbkRTU1",-0.028343162884731633,-0.02184083761246694
0,"EffAirflowSp,OutAirFlowRTU1",0.011561264649519579,
0,"EffAirflowSp,OutAirTempRTU1",-0.025752304357582852,-0.024854109502485244
0,"EffAirflowSp,RmTempRTU1",0.00394343034258828,0.011991259044393979
0,"EffAirflowSp,SuplAirStaticPresRTU1",-0.014627046698690907,-0.01892529484767083
0,"EffAirflowSp,SuplAirTempRTU1",-0.010274823173049024,0.010081496461035065
0,"EffAirflowSp,SuplFanSpdRTU1",,
0,"EffAirflowSp,SuplFanStatusRTU1",,
0,"EffAirflowSp,UnoccClgSpRTU1",,
0,"EffSp,BldgStaticPresRTU1",,
0,"EffSp,BldgStaticPresSpRTU1",,
0,"EffSp,ClgPctRTU1",,
0,"EffSp,ClgStgCmd01RTU1",,
0,"EffSp,EffSuplAirTempSpRTU1",,
0,"EffSp,ExhFanSpdRTU1",,
0,"EffSp,OutAirDmprFbkRTU1",,
0,"EffSp,OutAirFlowRTU1",,
0,"EffSp,OutAirTempRTU1",,
0,"EffSp,RmTempRTU1",,
0,"EffSp,SuplAirStaticPresRTU1",,
0,"EffSp,SuplAirTempRTU1",,
0,"EffSp,SuplFanSpdRTU1",,
0,"EffSp,SuplFanStatusRTU1",,
0,"EffSp,UnoccClgSpRTU1",,
0,"HtgPct,BldgStaticPresRTU1",-0.009885745439121022,0.01578322671637093
0,"HtgPct,BldgStaticPresSpRTU1",-1.2019893619067796e-16,-1.2019893619067796e-16
0,"HtgPct,ClgPctRTU1",-0.34130517976581937,
0,"HtgPct,ClgStgCmd01RTU1",-0.22012854342568106,
0,"HtgPct,EffSuplAirTempSpRTU1",0.07830540438788684,
0,"HtgPct,ExhFanSpdRTU1",-0.02281357466391797,
0,"HtgPct,OutAirDmprFbkRTU1",-0.33596863512782416,-0.4416027501529811
0,"HtgPct,OutAirFlowRTU1",0.34627732259538085,
0,"HtgPct,OutAirTempRTU1",-0.5992551407885764,-0.5926489013748358
0,"HtgPct,RmTempRTU1",0.09921773801271129,-0.34755256936086065
0,"HtgPct,SuplAirStaticPresRTU1",-0.5236848512861344,-0.4595889049770933
0,"HtgPct,SuplAirTempRTU1",-0.17400086118864153,-0.26017386378433716
0,"HtgPct,SuplFanSpdRTU1",,
0,"HtgPct,SuplFanStatusRTU1",,
0,"HtgPct,UnoccClgSpRTU1",,
0,"OccClgSp,BldgStaticPresRTU1",,
0,"OccClgSp,BldgStaticPresSpRTU1",,
0,"OccClgSp,ClgPctRTU1",,
0,"OccClgSp,ClgStgCmd01RTU1",,
0,"OccClgSp,EffSuplAirTempSpRTU1",,
0,"OccClgSp,ExhFanSpdRTU1",,
0,"OccClgSp,OutAirDmprFbkRTU1",,
0,"OccClgSp,OutAirFlowRTU1",,
0,"OccClgSp,OutAirTempRTU1",,
0,"OccClgSp,RmTempRTU1",,
0,"OccClgSp,SuplAirStaticPresRTU1",,
0,"OccClgSp,SuplAirTempRTU1",,
0,"OccClgSp,SuplFanSpdRTU1",,
0,"OccClgSp,SuplFanStatusRTU1",,
0,"OccClgSp,UnoccClgSpRTU1",,
0,"OccHtgSp,BldgStaticPresRTU1",,
0,"OccHtgSp,BldgStaticPresSpRTU1",,
0,"OccHtgSp,ClgPctRTU1",,
0,"OccHtgSp,ClgStgCmd01RTU1",,
0,"OccHtgSp,EffSuplAirTempSpRTU1",,
0,"OccHtgSp,ExhFanSpdRTU1",,
0,"OccHtgSp,OutAirDmprFbkRTU1",,
0,"OccHtgSp,OutAirFlowRTU1",,
0,"OccHtgSp,OutAirTempRTU1",,
0,"OccHtgSp,RmTempRTU1",,
0,"OccHtgSp,SuplAirStaticPresRTU1",,
0,"OccHtgSp,SuplAirTempRTU1",,
0,"OccHtgSp,SuplFanSpdRTU1",,
0,"OccHtgSp,SuplFanStatusRTU1",,
0,"OccHtgSp,UnoccClgSpRTU1",,
0,"RmSp,BldgStaticPresRTU1",,
0,"RmSp,BldgStaticPresSpRTU1",,
0,"RmSp,ClgPctRTU1",,
0,"RmSp,ClgStgCmd01RTU1",,
0,"RmSp,EffSuplAirTempSpRTU1",,
0,"RmSp,ExhFanSpdRTU1",,
0,"RmSp,OutAirDmprFbkRTU1",,
0,"RmSp,OutAirFlowRTU1",,
0,"RmSp,OutAirTempRTU1",,
0,"RmSp,RmTempRTU1",,
0,"RmSp,SuplAirStaticPresRTU1",,
0,"RmSp,SuplAirTempRTU1",,
0,"RmSp,SuplFanSpdRTU1",,
0,"RmSp,SuplFanStatusRTU1",,
0,"RmSp,UnoccClgSpRTU1",,
0,"RmTemp,BldgStaticPresRTU1",-0.0009847568781469048,-0.008589309857115774
0,"RmTemp,BldgStaticPresSpRTU1",3.1679144628691118e-15,3.1679144628691118e-15
0,"RmTemp,ClgPctRTU1",0.3473663395646929,
0,"RmTemp,ClgStgCmd01RTU1",0.3873031647436067,
0,"RmTemp,EffSuplAirTempSpRTU1",0.22583692628815522,
0,"RmTemp,ExhFanSpdRTU1",-0.12650942638485954,
0,"RmTemp,OutAirDmprFbkRTU1",-0.08387906708883772,0.5128784417731913
0,"RmTemp,OutAirFlowRTU1",-0.32360504512824423,
0,"RmTemp,OutAirTempRTU1",0.6128955867673057,0.6192084916012286
0,"RmTemp,RmTempRTU1",0.11175013206439938,0.5861890816966133
0,"RmTemp,SuplAirStaticPresRTU1",0.4272662776818321,0.43229976617468513
0,"RmTemp,SuplAirTempRTU1",0.2427321991077011,0.6572544731014263
0,"RmTemp,SuplFanSpdRTU1",,
0,"RmTemp,SuplFanStatusRTU1",,
0,"RmTemp,UnoccClgSpRTU1",,
0,"StbyClgSp,BldgStaticPresRTU1",,
0,"StbyClgSp,BldgStaticPresSpRTU1",,
0,"StbyClgSp,ClgPctRTU1",,
0,"StbyClgSp,ClgStgCmd01RTU1",,
0,"StbyClgSp,EffSuplAirTempSpRTU1",,
0,"StbyClgSp,ExhFanSpdRTU1",,
0,"StbyClgSp,OutAirDmprFbkRTU1",,
0,"StbyClgSp,OutAirFlowRTU1",,
0,"StbyClgSp,OutAirTempRTU1",,
0,"StbyClgSp,RmTempRTU1",,
0,"StbyClgSp,SuplAirStaticPresRTU1",,
0,"StbyClgSp,SuplAirTempRTU1",,
0,"StbyClgSp,SuplFanSpdRTU1",,
0,"StbyClgSp,SuplFanStatusRTU1",,
0,"StbyClgSp,UnoccClgSpRTU1",,
0,"StbyHtgSp,BldgStaticPresRTU1",,
0,"StbyHtgSp,BldgStaticPresSpRTU1",,
0,"StbyHtgSp,ClgPctRTU1",,
0,"StbyHtgSp,ClgStgCmd01RTU1",,
0,"StbyHtgSp,EffSuplAirTempSpRTU1",,
0,"StbyHtgSp,ExhFanSpdRTU1",,
0,"StbyHtgSp,OutAirDmprFbkRTU1",,
0,"StbyHtgSp,OutAirFlowRTU1",,
0,"StbyHtgSp,OutAirTempRTU1",,
0,"StbyHtgSp,RmTempRTU1",,
0,"StbyHtgSp,SuplAirStaticPresRTU1",,
0,"StbyHtgSp,SuplAirTempRTU1",,
0,"StbyHtgSp,SuplFanSpdRTU1",,
0,"StbyHtgSp,SuplFanStatusRTU1",,
0,"StbyHtgSp,UnoccClgSpRTU1",,
0,"UnoccClgSp,BldgStaticPresRTU1",,
0,"UnoccClgSp,BldgStaticPresSpRTU1",,
0,"UnoccClgSp,ClgPctRTU1",,
0,"UnoccClgSp,ClgStgCmd01RTU1",,
0,"UnoccClgSp,EffSuplAirTempSpRTU1",,
0,"UnoccClgSp,ExhFanSpdRTU1",,
0,"UnoccClgSp,OutAirDmprFbkRTU1",,
0,"UnoccClgSp,OutAirFlowRTU1",,
0,"UnoccClgSp,OutAirTempRTU1",,
0,"UnoccClgSp,RmTempRTU1",,
0,"UnoccClgSp,SuplAirStaticPresRTU1",,
0,"UnoccClgSp,SuplAirTempRTU1",,
0,"UnoccClgSp,SuplFanSpdRTU1",,
0,"UnoccClgSp,SuplFanStatusRTU1",,
0,"UnoccClgSp,UnoccClgSpRTU1",,
0,"UnoccHtgSp,BldgStaticPresRTU1",,
0,"UnoccHtgSp,BldgStaticPresSpRTU1",,
0,"UnoccHtgSp,ClgPctRTU1",,
0,"UnoccHtgSp,ClgStgCmd01RTU1",,
0,"UnoccHtgSp,EffSuplAirTempSpRTU1",,
0,"UnoccHtgSp,ExhFanSpdRTU1",,
0,"UnoccHtgSp,OutAirDmprFbkRTU1",,
0,"UnoccHtgSp,OutAirFlowRTU1",,
0,"UnoccHtgSp,OutAirTempRTU1",,
0,"UnoccHtgSp,RmTempRTU1",,
0,"UnoccHtgSp,SuplAirStaticPresRTU1",,
0,"UnoccHtgSp,SuplAirTempRTU1",,
0,"UnoccHtgSp,SuplFanSpdRTU1",,
0,"UnoccHtgSp,SuplFanStatusRTU1",,
0,"UnoccHtgSp,UnoccClgSpRTU1",,
