,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.026989861779013094,-0.017221430571022676
0,"AirFlow,BldgStaticPresSpRTU1",0.0012050839629950938,
0,"AirFlow,ClgPctRTU1",-0.1887463911935756,-0.10497787068772171
0,"AirFlow,ClgStgCmd01RTU1",-0.2554587860257991,-0.06991548582709546
0,"AirFlow,EffSuplAirTempSpRTU1",0.3551404566578728,-0.028163773347189478
0,"AirFlow,ExhFanSpdRTU1",0.009180039617515966,0.03220615273788565
0,"AirFlow,OutAirDmprFbkRTU1",-0.07691285563717888,0.04055305369151976
0,"AirFlow,OutAirFlowRTU1",-0.013638539567435893,
0,"AirFlow,OutAirTempRTU1",-0.13799136591289365,-0.14127024306081484
0,"AirFlow,RmTempRTU1",-0.02469202851309343,-0.1321032469853618
0,"AirFlow,SuplAirStaticPresRTU1",0.5150361498401514,0.04842288275652092
0,"AirFlow,SuplAirTempRTU1",0.05094509968912889,-0.08949627917233836
0,"AirFlow,SuplFanSpdRTU1",-0.13638472274471342,-0.006371747263693695
0,"AirFlow,SuplFanStatusRTU1",,0.0012033259918644928
0,"AirFlow,UnoccClgSpRTU1",,0.0012033259918645019
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.010704657556542091,0.01046620144399638
0,"DmprPos,BldgStaticPresSpRTU1",-0.002177899235607645,
0,"DmprPos,ClgPctRTU1",-0.19421901641826683,-0.37324465430124704
0,"DmprPos,ClgStgCmd01RTU1",-0.2437464861904651,-0.2697078430680729
0,"DmprPos,EffSuplAirTempSpRTU1",-0.014881790308907903,-0.020637822833106223
0,"DmprPos,ExhFanSpdRTU1",0.004114966697458329,0.004106926500730891
0,"DmprPos,OutAirDmprFbkRTU1",0.12851836025544414,0.07236897595341009
0,"DmprPos,OutAirFlowRTU1",-0.030053741711751472,
0,"DmprPos,OutAirTempRTU1",-0.2717426645849123,-0.2828516895193257
0,"DmprPos,RmTempRTU1",-0.09267357064212454,-0.19435317711854105
0,"DmprPos,SuplAirStaticPresRTU1",-0.17278686917379574,0.07071196703044888
0,"DmprPos,SuplAirTempRTU1",-0.10478064356786151,-0.06019741025670956
0,"DmprPos,SuplFanSpdRTU1",-0.010091076718538476,-0.002177417352999332
0,"DmprPos,SuplFanStatusRTU1",,-0.002177417352999363
0,"DmprPos,UnoccClgSpRTU1",,-0.002177417352999366
0,"DschAirTemp,BldgStaticPresRTU1",0.02318694635741284,0.05849526326017309
0,"DschAirTemp,BldgStaticPresSpRTU1",0.013904895671677176,
0,"DschAirTemp,ClgPctRTU1",-0.6784380356141453,-0.49319230616070253
0,"DschAirTemp,ClgStgCmd01RTU1",-0.614064978627485,-0.42797789596769686
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.16709272587891438,-0.15220162853934946
0,"DschAirTemp,ExhFanSpdRTU1",-0.0008474302727242503,-0.03242397771543406
0,"DschAirTemp,OutAirDmprFbkRTU1",-0.5345078394366566,-0.5171856632580486
0,"DschAirTemp,OutAirFlowRTU1",0.5196960016912123,
0,"DschAirTemp,OutAirTempRTU1",-0.8614932007469039,-0.8527611057062264
0,"DschAirTemp,RmTempRTU1",-0.03521023163074483,-0.35304140823325797
0,"DschAirTemp,SuplAirStaticPresRTU1",-0.5570651648515149,-0.5612912434145785
0,"DschAirTemp,SuplAirTempRTU1",-0.3826651661343528,-0.46486663182175103
0,"DschAirTemp,SuplFanSpdRTU1",0.0795114558147863,-0.024359607963220745
