,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.009724389965415685,-0.11311480372766894
0,"AirFlow,BldgStaticPresSpRTU1",-0.009135228682115595,
0,"AirFlow,ClgPctRTU1",0.48720613899779563,0.10230540169368615
0,"AirFlow,ClgStgCmd01RTU1",0.45321879814934796,0.060399773836835306
0,"AirFlow,EffSuplAirTempSpRTU1",0.01032864549389182,0.049023677095994526
0,"AirFlow,ExhFanSpdRTU1",0.01564036829477386,0.05085054242514561
0,"AirFlow,OutAirDmprFbkRTU1",0.567479113128686,0.7958650415349888
0,"AirFlow,OutAirFlowRTU1",-0.7321796917350967,
0,"AirFlow,OutAirTempRTU1",0.5470924887986693,0.5051820629725811
0,"AirFlow,RmTempRTU1",-0.20083282410683947,-0.1290512720795562
0,"AirFlow,SuplAirStaticPresRTU1",0.5479446200010265,0.8712155782723738
0,"AirFlow,SuplAirTempRTU1",0.17844179907056915,0.17581889662563036
0,"AirFlow,SuplFanSpdRTU1",-0.15138763225043686,0.01877978111762952
0,"AirFlow,SuplFanStatusRTU1",,-0.009128294146422905
0,"AirFlow,UnoccClgSpRTU1",,-0.009128294146422968
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.007496299170486912,0.011574149567193022
0,"DmprPos,BldgStaticPresSpRTU1",-0.003830982383273793,
0,"DmprPos,ClgPctRTU1",-0.35716386769978986,-0.15283524136257873
0,"DmprPos,ClgStgCmd01RTU1",-0.2862588606258731,-0.1275293304034607
0,"DmprPos,EffSuplAirTempSpRTU1",-0.020521302453282864,-0.036327955016596
0,"DmprPos,ExhFanSpdRTU1",0.0003472334483461518,-0.09112748861171949
0,"DmprPos,OutAirDmprFbkRTU1",-0.2157441938809599,-0.5244182991732091
0,"DmprPos,OutAirFlowRTU1",0.4393603001111536,
0,"DmprPos,OutAirTempRTU1",-0.3216115583245302,-0.31789268333799553
0,"DmprPos,RmTempRTU1",0.13619192084544765,-0.016217985197814654
0,"DmprPos,SuplAirStaticPresRTU1",-0.4370850718983952,-0.5951199063963857
0,"DmprPos,SuplAirTempRTU1",0.005421383628433902,-0.17643741238868188
0,"DmprPos,SuplFanSpdRTU1",0.33675147938014993,-0.003830115724862992
0,"DmprPos,SuplFanStatusRTU1",,-0.0038301157248629442
0,"DmprPos,UnoccClgSpRTU1",,-0.0038301157248629516
0,"DschAirTemp,BldgStaticPresRTU1",0.00464481248219854,0.05936973949797524
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.00865220373989666,
0,"DschAirTemp,ClgPctRTU1",-0.030728662867724677,-0.17994319503845954
0,"DschAirTemp,ClgStgCmd01RTU1",-0.015324803948400077,-0.12470929688060929
0,"DschAirTemp,EffSuplAirTempSpRTU1",-0.12661389772062231,0.2632079321054202
0,"DschAirTemp,ExhFanSpdRTU1",-0.0121558811836445,0.006763082658711621
0,"DschAirTemp,OutAirDmprFbkRTU1",0.16246422241865452,-0.03339618473712665
0,"DschAirTemp,OutAirFlowRTU1",-0.011657795238152642,
0,"DschAirTemp,OutAirTempRTU1",0.2934257940443412,0.30068485611323453
0,"DschAirTemp,RmTempRTU1",0.7033669599821563,0.8408773839960697
0,"DschAirTemp,SuplAirStaticPresRTU1",0.08923305593841545,-0.0671867847441667
0,"DschAirTemp,SuplAirTempRTU1",0.5623456983542008,0.8985791876894025
0,"DschAirTemp,SuplFanSpdRTU1",0.04775651498708801,-0.02197170351953717
0,"DschAirTemp,SuplFanStatusRTU1",,-0.008653593056500854
0,"DschAirTemp,UnoccClgSpRTU1",,-0.00865359305650092
0,"EffAirflowSp,BldgStaticPresRTU1",-0.021633614952672547,0.015514352849338877
0,"EffAirflowSp,BldgStaticPresSpRTU1",-0.001436816783781395,
0,"EffAirflowSp,ClgPctRTU1",-0.2077047526217641,-0.26657220182508073
0,"EffAirflowSp,ClgStgCmd01RTU1",-0.19816820159981563,-0.3137329432985304
0,"EffAirflowSp,EffSuplAirTempSpRTU1",0.0633659292345772,-0.013624950279548628
0,"EffAirflowSp,ExhFanSpdRTU1",0.0027147505811764127,0.0025466569311202005
0,"EffAirflowSp,OutAirDmprFbkRTU1",0.08725747657392399,0.03629738221138118
0,"EffAirflowSp,OutAirFlowRTU1",-0.009339374048148372,
0,"EffAirflowSp,OutAirTempRTU1",-0.20594503867764838,-0.21541774828397697
0,"EffAirflowSp,RmTempRTU1",0.01810329762335381,-0.1586835978940114
0,"EffAirflowSp,SuplAirStaticPresRTU1",-0.1032582357017565,0.02512617792860275
0,"EffAirflowSp,SuplAirTempRTU1",0.012150586602214438,-0.05893457372444439
0,"EffAirflowSp,SuplFanSpdRTU1",0.007012765670543741,-0.001436500796489505
0,"EffAirflowSp,SuplFanStatusRTU1",,-0.0014365007964894957
0,"EffAirflowSp,UnoccClgSpRTU1",,-0.0014365007964895105
0,"EffSp,BldgStaticPresRTU1",,
0,"EffSp,BldgStaticPresSpRTU1",,
0,"EffSp,ClgPctRTU1",,
0,"EffSp,ClgStgCmd01RTU1",,
0,"EffSp,EffSuplAirTempSpRTU1",,
0,"EffSp,ExhFanSpdRTU1",,
0,"EffSp,OutAirDmprFbkRTU1",,
0,"EffSp,OutAirFlowRTU1",,
0,"EffSp,OutAirTempRTU1",,
0,"EffSp,RmTempRTU1",,
0,"EffSp,SuplAirStaticPresRTU1",,
0,"EffSp,SuplAirTempRTU1",,
0,"EffSp,SuplFanSpdRTU1",,
0,"EffSp,SuplFanStatusRTU1",,
