,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.001973670681729754,-0.16045294984067357
0,"AirFlow,BldgStaticPresSpRTU1",-0.003976230173989203,-2.1827339710743343e-17
0,"AirFlow,ClgPctRTU1",0.12383915995958325,0.07374914525348907
0,"AirFlow,ClgStgCmd01RTU1",0.11189802656214096,0.06302173713051092
0,"AirFlow,EffSuplAirTempSpRTU1",-0.02976808501887327,-0.031107496331888376
0,"AirFlow,ExhFanSpdRTU1",0.006089578300438263,0.005018281174842231
0,"AirFlow,OutAirDmprFbkRTU1",0.19917936947160456,0.12976906573744307
0,"AirFlow,OutAirFlowRTU1",-0.211469522537988,
0,"AirFlow,OutAirTempRTU1",0.1843676746048945,0.13057344425080972
0,"AirFlow,RmTempRTU1",-0.11186772560098295,-0.0997119326146581
0,"AirFlow,SuplAirStaticPresRTU1",0.21278048208005457,0.18746056258460905
0,"AirFlow,SuplAirTempRTU1",0.11963314249317035,-0.09590678961718047
0,"AirFlow,SuplFanSpdRTU1",-0.01899836766629709,0.01840637975753467
0,"AirFlow,SuplFanStatusRTU1",,-0.003975050394217485
0,"AirFlow,UnoccClgSpRTU1",,-0.003975050394217513
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.007019780438500756,0.13962051230824316
0,"DmprPos,BldgStaticPresSpRTU1",0.006838117898393484,-4.667442447990851e-16
0,"DmprPos,ClgPctRTU1",-0.31292389848175756,-0.08773049419707281
0,"DmprPos,ClgStgCmd01RTU1",-0.2805330770676199,-0.0671458145834208
0,"DmprPos,EffSuplAirTempSpRTU1",0.08353344543355821,-0.0654656252238956
0,"DmprPos,ExhFanSpdRTU1",-0.01569146995333616,-0.026516409752205792
0,"DmprPos,OutAirDmprFbkRTU1",-0.48188305873200593,-0.4644069167243701
0,"DmprPos,OutAirFlowRTU1",0.4701224059248544,
0,"DmprPos,OutAirTempRTU1",-0.46451206465545947,-0.4145312788308911
0,"DmprPos,RmTempRTU1",0.014503069797751324,0.019616996693407197
0,"DmprPos,SuplAirStaticPresRTU1",-0.43305891204590424,-0.5318312814425173
0,"DmprPos,SuplAirTempRTU1",-0.3013041152909973,-0.15786627636681574
0,"DmprPos,SuplFanSpdRTU1",0.06568655778022933,-0.02992238338287545
0,"DmprPos,SuplFanStatusRTU1",,0.006830099851869621
0,"DmprPos,UnoccClgSpRTU1",,0.006830099851869608
0,"DschAirTemp,BldgStaticPresRTU1",0.022360758618362543,0.07877644584952816
0,"DschAirTemp,BldgStaticPresSpRTU1",0.008580273082955564,4.210686012928904e-16
0,"DschAirTemp,ClgPctRTU1",-0.5512951352522416,-0.4701764709315653
0,"DschAirTemp,ClgStgCmd01RTU1",-0.5042974439541383,-0.39224291562673347
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.14571762407899433,-0.1709127986374029
0,"DschAirTemp,ExhFanSpdRTU1",0.012937438974981211,-0.024147114882985543
0,"DschAirTemp,OutAirDmprFbkRTU1",-0.48879781467411954,-0.46190917268190024
0,"DschAirTemp,OutAirFlowRTU1",0.48249159267128783,
0,"DschAirTemp,OutAirTempRTU1",-0.7891933637572273,-0.7772459418118807
0,"DschAirTemp,RmTempRTU1",-0.09096277930350333,-0.4254816080541834
0,"DschAirTemp,SuplAirStaticPresRTU1",-0.5829708132899805,-0.47937298474120116
0,"DschAirTemp,SuplAirTempRTU1",-0.44396083266364705,-0.4321164600306872
0,"DschAirTemp,SuplFanSpdRTU1",0.07507160527052896,-0.004339975278969669
0,"DschAirTemp,SuplFanStatusRTU1",,0.008575808531479748
0,"DschAirTemp,UnoccClgSpRTU1",,0.008575808531479778
0,"EffAirflowSp,BldgStaticPresRTU1",,-1.2236163118767455e-16
0,"EffAirflowSp,BldgStaticPresSpRTU1",,-1.0
0,"EffAirflowSp,ClgPctRTU1",,1.9326950468403337e-16
0,"EffAirflowSp,ClgStgCmd01RTU1",,1.048406159384359e-15
0,"EffAirflowSp,EffSuplAirTempSpRTU1",,-1.2682435788097448e-14
0,"EffAirflowSp,ExhFanSpdRTU1",,1.5683388882779814e-16
0,"EffAirflowSp,OutAirDmprFbkRTU1",,1.0943816415618574e-15
0,"EffAirflowSp,OutAirFlowRTU1",,
0,"EffAirflowSp,OutAirTempRTU1",,-1.133339738330044e-16
0,"EffAirflowSp,RmTempRTU1",,-4.570568930035427e-16
0,"EffAirflowSp,SuplAirStaticPresRTU1",,6.494583812817778e-17
0,"EffAirflowSp,SuplAirTempRTU1",,-1.247074856160484e-15
0,"EffAirflowSp,SuplFanSpdRTU1",,9.392752435796139e-14
0,"EffAirflowSp,SuplFanStatusRTU1",,2.1242172357604144e-14
0,"EffAirflowSp,UnoccClgSpRTU1",,1.8695246276729193e-14
0,"EffSp,BldgStaticPresRTU1",,
0,"EffSp,BldgStaticPresSpRTU1",,
0,"EffSp,ClgPctRTU1",,
0,"EffSp,ClgStgCmd01RTU1",,
0,"EffSp,EffSuplAirTempSpRTU1",,
0,"EffSp,ExhFanSpdRTU1",,
0,"EffSp,OutAirDmprFbkRTU1",,
0,"EffSp,OutAirFlowRTU1",,
0,"EffSp,OutAirTempRTU1",,
0,"EffSp,RmTempRTU1",,
0,"EffSp,SuplAirStaticPresRTU1",,
0,"EffSp,SuplAirTempRTU1",,
0,"EffSp,SuplFanSpdRTU1",,
0,"EffSp,SuplFanStatusRTU1",,
0,"EffSp,UnoccClgSpRTU1",,
0,"HtgPct,BldgStaticPresRTU1",0.021705214229754778,-0.026240472706575577
0,"HtgPct,BldgStaticPresSpRTU1",0.011361146683226781,3.267305855244974e-16
0,"HtgPct,ClgPctRTU1",-0.4260040883941839,-0.2532480399309019
0,"HtgPct,ClgStgCmd01RTU1",-0.40489440172756663,-0.22156697151995053
0,"HtgPct,EffSuplAirTempSpRTU1",0.13711234330351676,-0.2567270538830915
0,"HtgPct,ExhFanSpdRTU1",0.02351760896563931,-0.026859749383282616
0,"HtgPct,OutAirDmprFbkRTU1",-0.4038538100214214,-0.37411065171057434
0,"HtgPct,OutAirFlowRTU1",0.3522562192103096,
0,"HtgPct,OutAirTempRTU1",-0.7200977050508129,-0.7371728999499161
0,"HtgPct,RmTempRTU1",-0.399746537275894,-0.7396414206439371
0,"HtgPct,SuplAirStaticPresRTU1",-0.4797099260916555,-0.3623225406600202
0,"HtgPct,SuplAirTempRTU1",-0.5409210221345145,-0.8022351691133962
0,"HtgPct,SuplFanSpdRTU1",0.02677634408736829,0.015622845543126403
0,"HtgPct,SuplFanStatusRTU1",,0.011351532115728287
0,"HtgPct,UnoccClgSpRTU1",,0.011351532115728286
0,"OccClgSp,BldgStaticPresRTU1",,
0,"OccClgSp,BldgStaticPresSpRTU1",,
0,"OccClgSp,ClgPctRTU1",,
0,"OccClgSp,ClgStgCmd01RTU1",,
0,"OccClgSp,EffSuplAirTempSpRTU1",,
0,"OccClgSp,ExhFanSpdRTU1",,
0,"OccClgSp,OutAirDmprFbkRTU1",,
0,"OccClgSp,OutAirFlowRTU1",,
0,"OccClgSp,OutAirTempRTU1",,
0,"OccClgSp,RmTempRTU1",,
0,"OccClgSp,SuplAirStaticPresRTU1",,
0,"OccClgSp,SuplAirTempRTU1",,
0,"OccClgSp,SuplFanSpdRTU1",,
0,"OccClgSp,SuplFanStatusRTU1",,
0,"OccClgSp,UnoccClgSpRTU1",,
0,"OccHtgSp,BldgStaticPresRTU1",,
0,"OccHtgSp,BldgStaticPresSpRTU1",,
0,"OccHtgSp,ClgPctRTU1",,
0,"OccHtgSp,ClgStgCmd01RTU1",,
0,"OccHtgSp,EffSuplAirTempSpRTU1",,
0,"OccHtgSp,ExhFanSpdRTU1",,
0,"OccHtgSp,OutAirDmprFbkRTU1",,
0,"OccHtgSp,OutAirFlowRTU1",,
0,"OccHtgSp,OutAirTempRTU1",,
