,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.008815955504244384,-0.08941896230809518
0,"AirFlow,BldgStaticPresSpRTU1",-0.0012684611748650855,
0,"AirFlow,ClgPctRTU1",0.1842491145011389,-0.05965552494038257
0,"AirFlow,ClgStgCmd01RTU1",0.23505656591263582,-0.08874381109491711
0,"AirFlow,EffSuplAirTempSpRTU1",0.05547004743444032,0.008788465584010115
0,"AirFlow,ExhFanSpdRTU1",0.02563248348940961,-0.012115559102971124
0,"AirFlow,OutAirDmprFbkRTU1",0.4008328565101002,0.5161885810975344
0,"AirFlow,OutAirFlowRTU1",-0.4327964577747972,
0,"AirFlow,OutAirTempRTU1",0.2332424306622576,0.1965938129777178
0,"AirFlow,RmTempRTU1",-0.19551846141403506,-0.32183233184263393
0,"AirFlow,SuplAirStaticPresRTU1",0.12996281791164277,0.513200149577987
0,"AirFlow,SuplAirTempRTU1",0.11357378276205288,-0.04417863116849188
0,"AirFlow,SuplFanSpdRTU1",0.03525242756670061,0.010617809897742827
0,"AirFlow,SuplFanStatusRTU1",,-0.001261997397166645
0,"AirFlow,UnoccClgSpRTU1",,-0.0012619973971666522
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",-0.006158950797747939,0.012599589055162464
0,"DmprPos,BldgStaticPresSpRTU1",0.010244691324053765,
0,"DmprPos,ClgPctRTU1",-0.4649428984189393,-0.2483177372837606
0,"DmprPos,ClgStgCmd01RTU1",-0.3617567320565516,-0.22014202358143556
0,"DmprPos,EffSuplAirTempSpRTU1",0.07004569492974692,-0.0652252889198116
0,"DmprPos,ExhFanSpdRTU1",0.007880056795475031,-0.0640289230335836
0,"DmprPos,OutAirDmprFbkRTU1",-0.23450727835692226,-0.4490410261604445
0,"DmprPos,OutAirFlowRTU1",0.4428801257122337,
0,"DmprPos,OutAirTempRTU1",-0.4800031217893457,-0.4771508606003419
0,"DmprPos,RmTempRTU1",0.008672183330954025,-0.26929588371491275
0,"DmprPos,SuplAirStaticPresRTU1",-0.5614015036210004,-0.5286609556591215
0,"DmprPos,SuplAirTempRTU1",-0.1003090247173134,-0.3410589412715921
0,"DmprPos,SuplFanSpdRTU1",0.19919286150810392,-0.007024598586521828
0,"DmprPos,SuplFanStatusRTU1",,0.01024572195844057
0,"DmprPos,UnoccClgSpRTU1",,0.01024572195844058
0,"DschAirTemp,BldgStaticPresRTU1",0.00022705485493045637,0.01573615278920204
0,"DschAirTemp,BldgStaticPresSpRTU1",0.0005288900577254321,
0,"DschAirTemp,ClgPctRTU1",-0.3147918364432426,-0.18781056464647272
0,"DschAirTemp,ClgStgCmd01RTU1",-0.2581026449597158,-0.15817037415203175
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.10340207004926161,0.0020522345884881345
0,"DschAirTemp,ExhFanSpdRTU1",-0.018677749540621312,-0.014085813344419627
0,"DschAirTemp,OutAirDmprFbkRTU1",-0.2592598865509543,-0.2682005612267663
0,"DschAirTemp,OutAirFlowRTU1",0.28686062836063264,
0,"DschAirTemp,OutAirTempRTU1",-0.33984385563920966,-0.3374485284431074
0,"DschAirTemp,RmTempRTU1",0.012322553640945567,-0.11029448620533812
0,"DschAirTemp,SuplAirStaticPresRTU1",-0.35243055524028843,-0.3064084260254926
0,"DschAirTemp,SuplAirTempRTU1",-0.09769551537308727,-0.12712210789046796
0,"DschAirTemp,SuplFanSpdRTU1",0.025925177717187196,-0.010057662972112028
0,"DschAirTemp,SuplFanStatusRTU1",,0.0005339599921205053
0,"DschAirTemp,UnoccClgSpRTU1",,0.0005339599921205094
0,"EffAirflowSp,BldgStaticPresRTU1",0.009512260028808615,-0.028212449514664627
0,"EffAirflowSp,BldgStaticPresSpRTU1",0.00993648241786481,
0,"EffAirflowSp,ClgPctRTU1",-0.43184556919511125,-0.3450957692880819
0,"EffAirflowSp,ClgStgCmd01RTU1",-0.3408350086159151,-0.3086945300936719
0,"EffAirflowSp,EffSuplAirTempSpRTU1",0.10233988383131536,-0.10290327529199893
0,"EffAirflowSp,ExhFanSpdRTU1",0.0008689058753176492,-0.04298640114438745
0,"EffAirflowSp,OutAirDmprFbkRTU1",-0.07411392826272017,-0.23946751427736787
0,"EffAirflowSp,OutAirFlowRTU1",0.26934166195933334,
0,"EffAirflowSp,OutAirTempRTU1",-0.5025027755745346,-0.5072193836426668
0,"EffAirflowSp,RmTempRTU1",-0.14735384778898244,-0.48187076072552393
0,"EffAirflowSp,SuplAirStaticPresRTU1",-0.509115598746631,-0.2589413660505079
0,"EffAirflowSp,SuplAirTempRTU1",-0.18276386411347678,-0.45419667942255176
0,"EffAirflowSp,SuplFanSpdRTU1",0.13387647037979786,0.02030307416207368
0,"EffAirflowSp,SuplFanStatusRTU1",,0.009936134258116692
0,"EffAirflowSp,UnoccClgSpRTU1",,0.009936134258116734
0,"EffSp,BldgStaticPresRTU1",-0.004503433092920972,-0.0019671637201915393
0,"EffSp,BldgStaticPresSpRTU1",0.00021896211955331444,
0,"EffSp,ClgPctRTU1",-0.008473264555984213,-0.005161925935208377
0,"EffSp,ClgStgCmd01RTU1",-0.007629050998730078,-0.004378809435515945
0,"EffSp,EffSuplAirTempSpRTU1",0.007609802402785644,0.0020763614625981613
0,"EffSp,ExhFanSpdRTU1",-0.0004137114404723155,-0.00041290406230538076
0,"EffSp,OutAirDmprFbkRTU1",0.012458686057766018,-0.007232596272868392
0,"EffSp,OutAirFlowRTU1",0.009674712265208657,
0,"EffSp,OutAirTempRTU1",-0.004866020169774173,-0.005170120335525057
0,"EffSp,RmTempRTU1",0.011069831327436606,0.011906597916503362
0,"EffSp,SuplAirStaticPresRTU1",0.002917210526597987,-0.0092780144457346
0,"EffSp,SuplAirTempRTU1",0.00411875487700248,0.004800684264266998
0,"EffSp,SuplFanSpdRTU1",0.0013082315847208115,0.00021891418563922566
0,"EffSp,SuplFanStatusRTU1",,0.00021891418563922446
0,"EffSp,UnoccClgSpRTU1",,0.00021891418563923417
0,"HtgPct,BldgStaticPresRTU1",0.009457064429343725,-0.028261131381724553
0,"HtgPct,BldgStaticPresSpRTU1",0.00994693874511249,
0,"HtgPct,ClgPctRTU1",-0.4317339524293901,-0.3450793203012733
0,"HtgPct,ClgStgCmd01RTU1",-0.34067648707022585,-0.3087551541234443
0,"HtgPct,EffSuplAirTempSpRTU1",0.10229035330233373,-0.10277408573039805
0,"HtgPct,ExhFanSpdRTU1",0.0008920163590384726,-0.04298308339816214
0,"HtgPct,OutAirDmprFbkRTU1",-0.07409415772239537,-0.23939473143134302
0,"HtgPct,OutAirFlowRTU1",0.26931702791456,
0,"HtgPct,OutAirTempRTU1",-0.5022505571004248,-0.5069165959013027
0,"HtgPct,RmTempRTU1",-0.14692095019197327,-0.48131177195535785
0,"HtgPct,SuplAirStaticPresRTU1",-0.5092472943172118,-0.25897611423678013
0,"HtgPct,SuplAirTempRTU1",-0.1824267526906542,-0.4534836933797025
0,"HtgPct,SuplFanSpdRTU1",0.13415276445948254,0.020295656022845675
0,"HtgPct,SuplFanStatusRTU1",,0.009946655004783039
0,"HtgPct,UnoccClgSpRTU1",,0.009946655004783096
0,"OccClgSp,BldgStaticPresRTU1",,
