,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.006816546176040298,-0.11573536800258241
0,"AirFlow,BldgStaticPresSpRTU1",0.006947196417526121,-2.1780016047755857e-16
0,"AirFlow,ClgPctRTU1",-0.009600858218450723,-0.0020775957319684553
0,"AirFlow,ClgStgCmd01RTU1",-0.009462214063790043,-0.0020693353669859697
0,"AirFlow,EffSuplAirTempSpRTU1",0.06682572225068646,-0.19777740280199763
0,"AirFlow,ExhFanSpdRTU1",0.006234779670793504,0.00017528964185288496
0,"AirFlow,OutAirDmprFbkRTU1",-0.05021664578058431,-0.013335279425533477
0,"AirFlow,OutAirFlowRTU1",-0.017259316956970944,
0,"AirFlow,OutAirTempRTU1",-0.17840063602014997,-0.21912341299091664
0,"AirFlow,RmTempRTU1",-0.4330280701865737,-0.4840386694197819
0,"AirFlow,SuplAirStaticPresRTU1",0.007723405405265302,0.04358144211871967
0,"AirFlow,SuplAirTempRTU1",-0.27486964794293844,-0.5126675938202118
0,"AirFlow,SuplFanSpdRTU1",0.004576091074351055,0.019787190960262598
0,"AirFlow,SuplFanStatusRTU1",,0.00694624273300188
0,"AirFlow,UnoccClgSpRTU1",,0.006946242733001904
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",-0.01257148607557495,0.04425166529986309
0,"DmprPos,BldgStaticPresSpRTU1",0.00037159951514954636,-2.435234152729173e-16
0,"DmprPos,ClgPctRTU1",-0.20376660857265735,0.07466138901013775
0,"DmprPos,ClgStgCmd01RTU1",-0.17684438528396015,0.10259506284667026
0,"DmprPos,EffSuplAirTempSpRTU1",-0.09287913282639924,-0.05417985066032702
0,"DmprPos,ExhFanSpdRTU1",-0.015289579541224707,-0.021787199246911696
0,"DmprPos,OutAirDmprFbkRTU1",-0.30883290574266065,-0.5348642156357197
0,"DmprPos,OutAirFlowRTU1",0.4675032192921821,
0,"DmprPos,OutAirTempRTU1",-0.2866090320003177,-0.2624928317398161
0,"DmprPos,RmTempRTU1",0.04573879072390922,0.03141046483620319
0,"DmprPos,SuplAirStaticPresRTU1",-0.3498020391100354,-0.5791496001976997
0,"DmprPos,SuplAirTempRTU1",-0.17427425108542713,-0.15974337528750024
0,"DmprPos,SuplFanSpdRTU1",0.0782932143151858,-0.01607447834467048
0,"DmprPos,SuplFanStatusRTU1",,0.00036891422830883074
0,"DmprPos,UnoccClgSpRTU1",,0.0003689142283088181
0,"DschAirTemp,BldgStaticPresRTU1",-0.0008329598476416777,0.09670429364415581
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.006804830729865716,1.642631252904846e-15
0,"DschAirTemp,ClgPctRTU1",-0.18842163779911258,-0.30677459831022386
0,"DschAirTemp,ClgStgCmd01RTU1",-0.15542000460580624,-0.2408260417456012
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.014173618160157365,0.1335929622101901
0,"DschAirTemp,ExhFanSpdRTU1",-0.019921252846905876,0.0014829160962033638
0,"DschAirTemp,OutAirDmprFbkRTU1",-0.049044521563213844,-0.12280360783237389
0,"DschAirTemp,OutAirFlowRTU1",0.16768109288169836,
