,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.007116168778442772,-0.12510628092770518
0,"AirFlow,BldgStaticPresSpRTU1",-0.01560558775259698,
0,"AirFlow,ClgPctRTU1",0.3173317665587715,0.02261156825552819
0,"AirFlow,ClgStgCmd01RTU1",0.3517900716632483,0.0035561084811885986
0,"AirFlow,EffSuplAirTempSpRTU1",0.0360326564367007,0.017918692421164277
0,"AirFlow,ExhFanSpdRTU1",0.02270530846261473,0.024327222715468534
0,"AirFlow,OutAirDmprFbkRTU1",0.49602553329368004,0.6141129608498335
0,"AirFlow,OutAirFlowRTU1",-0.5672729080268613,
0,"AirFlow,OutAirTempRTU1",0.3970368601803088,0.34831125029981347
0,"AirFlow,RmTempRTU1",-0.1899797059213121,-0.2217204890558175
0,"AirFlow,SuplAirStaticPresRTU1",0.335587442407124,0.6557928160921636
0,"AirFlow,SuplAirTempRTU1",0.18186885846110393,0.04444755747760617
0,"AirFlow,SuplFanSpdRTU1",0.003734260908374687,0.02039007467874284
0,"AirFlow,SuplFanStatusRTU1",,-0.015596948726130502
0,"AirFlow,UnoccClgSpRTU1",,-0.015596948726130625
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",-0.0052566633559724095,0.016067726398722514
0,"DmprPos,BldgStaticPresSpRTU1",-0.0064078723981297195,
0,"DmprPos,ClgPctRTU1",-0.49656936163528703,-0.24706925043343378
0,"DmprPos,ClgStgCmd01RTU1",-0.37307574066059773,-0.20056228300212695
