,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.01259159849239641,-0.1042870440527597
0,"AirFlow,BldgStaticPresSpRTU1",-0.009021737698858966,
0,"AirFlow,ClgPctRTU1",0.5028220442947249,0.1074993240115626
0,"AirFlow,ClgStgCmd01RTU1",0.47932946163417484,0.06437566891832747
0,"AirFlow,EffSuplAirTempSpRTU1",0.018639759839149336,0.04972307739320503
0,"AirFlow,ExhFanSpdRTU1",0.017193358780698827,0.05510250917803833
0,"AirFlow,OutAirDmprFbkRTU1",0.5763269814537108,0.8384909455653132
0,"AirFlow,OutAirFlowRTU1",-0.758529356894543,
0,"AirFlow,OutAirTempRTU1",0.5597201389567202,0.5199716231390799
0,"AirFlow,RmTempRTU1",-0.2074332062697281,-0.13678505585874556
0,"AirFlow,SuplAirStaticPresRTU1",0.5448524181414498,0.9062694486918453
0,"AirFlow,SuplAirTempRTU1",0.1740925289068917,0.19004110485574374
0,"AirFlow,SuplFanSpdRTU1",-0.16744844950691873,0.018411333540063635
0,"AirFlow,SuplFanStatusRTU1",,-0.009013559071772887
0,"AirFlow,UnoccClgSpRTU1",,-0.009013559071772944
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",-0.020199744664666466,0.02285536009846501
