,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.01197641727736601,-0.11691993892123537
0,"AirFlow,BldgStaticPresSpRTU1",-0.009559301009925735,
0,"AirFlow,ClgPctRTU1",0.4555325508102599,0.0820283916885748
0,"AirFlow,ClgStgCmd01RTU1",0.4317928055549,0.04514116697131861
0,"AirFlow,EffSuplAirTempSpRTU1",0.030192990490613827,0.04075794672982734
0,"AirFlow,ExhFanSpdRTU1",0.015649246977462485,0.051978379087211084
0,"AirFlow,OutAirDmprFbkRTU1",0.5680375579689357,0.7890964508641225
0,"AirFlow,OutAirFlowRTU1",-0.726477964366487,
0,"AirFlow,OutAirTempRTU1",0.5205169580784226,0.47580605932929204
0,"AirFlow,RmTempRTU1",-0.20149822356221012,-0.15818678253271284
0,"AirFlow,SuplAirStaticPresRTU1",0.5334480148087573,0.8602231936920142
0,"AirFlow,SuplAirTempRTU1",0.18036796955780426,0.15268367716456055
0,"AirFlow,SuplFanSpdRTU1",-0.16744534983231918,0.02021076602958816
0,"AirFlow,SuplFanStatusRTU1",,-0.009551255548525279
0,"AirFlow,UnoccClgSpRTU1",,-0.009551255548525362
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",-0.012040034921473215,-1.317335832817405e-05
0,"DmprPos,BldgStaticPresSpRTU1",-0.002475226883060392,
0,"DmprPos,ClgPctRTU1",-0.3544891864164123,-0.2496605039826328
0,"DmprPos,ClgStgCmd01RTU1",-0.309413201712561,-0.22436880788027064
0,"DmprPos,EffSuplAirTempSpRTU1",0.15265687779945544,-0.023471868593828365
0,"DmprPos,ExhFanSpdRTU1",0.003112263618904766,-0.06585579596645737
0,"DmprPos,OutAirDmprFbkRTU1",0.01160923286109989,-0.15939484118245523
0,"DmprPos,OutAirFlowRTU1",0.14963391459750552,
0,"DmprPos,OutAirTempRTU1",-0.2869153297024294,-0.2950733516047534
0,"DmprPos,RmTempRTU1",0.09337123781579,-0.19196206714681
0,"DmprPos,SuplAirStaticPresRTU1",-0.1816447970575006,-0.20118464116565704
0,"DmprPos,SuplAirTempRTU1",0.059975575066949505,-0.16034794878222033
0,"DmprPos,SuplFanSpdRTU1",0.03398875241905326,-0.00247467750254781
0,"DmprPos,SuplFanStatusRTU1",,-0.002474677502547773
0,"DmprPos,UnoccClgSpRTU1",,-0.0024746775025478013
0,"DschAirTemp,BldgStaticPresRTU1",0.013505187675213743,0.04302935051924168
0,"DschAirTemp,BldgStaticPresSpRTU1",0.00020222099462193185,
0,"DschAirTemp,ClgPctRTU1",-0.540455780921732,-0.4767409111493881
0,"DschAirTemp,ClgStgCmd01RTU1",-0.47126502238530565,-0.4257715371272826
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.20635945735499872,-0.12956890395759793
0,"DschAirTemp,ExhFanSpdRTU1",0.021228343868235813,-0.021892390554674377
0,"DschAirTemp,OutAirDmprFbkRTU1",-0.34510609904609585,-0.2784418524032986
0,"DschAirTemp,OutAirFlowRTU1",0.303563869643573,
0,"DschAirTemp,OutAirTempRTU1",-0.7360883330409195,-0.7017746509370817
0,"DschAirTemp,RmTempRTU1",-0.1420516675275042,-0.4160242373914658
0,"DschAirTemp,SuplAirStaticPresRTU1",-0.4328565881216215,-0.29569094053481904
0,"DschAirTemp,SuplAirTempRTU1",-0.3845398739695805,-0.42117201288383804
0,"DschAirTemp,SuplFanSpdRTU1",0.029712506615676967,-0.02306887379770473
0,"DschAirTemp,SuplFanStatusRTU1",,0.0002010676067035323
0,"DschAirTemp,UnoccClgSpRTU1",,0.0002010676067035298
0,"EffAirflowSp,BldgStaticPresRTU1",0.009374526167982724,0.0005732457650384585
0,"EffAirflowSp,BldgStaticPresSpRTU1",0.003037831606900182,
0,"EffAirflowSp,ClgPctRTU1",-0.48688778398293353,-0.4184896358696666
0,"EffAirflowSp,ClgStgCmd01RTU1",-0.4246812326606171,-0.3868166594552673
0,"EffAirflowSp,EffSuplAirTempSpRTU1",0.2411965654914648,-0.20747478901706992
0,"EffAirflowSp,ExhFanSpdRTU1",0.01883831919087433,-0.013227097519417527
0,"EffAirflowSp,OutAirDmprFbkRTU1",-0.25171751924855096,-0.15846290256088702
0,"EffAirflowSp,OutAirFlowRTU1",0.19832927629582595,
0,"EffAirflowSp,OutAirTempRTU1",-0.7415406081624997,-0.7273196113265866
0,"EffAirflowSp,RmTempRTU1",-0.3650347005875799,-0.7030546664461186
0,"EffAirflowSp,SuplAirStaticPresRTU1",-0.37516449306549754,-0.15565334564182096
0,"EffAirflowSp,SuplAirTempRTU1",-0.4801524527692952,-0.6734876788632528
0,"EffAirflowSp,SuplFanSpdRTU1",0.0010219698877047452,-0.007916164804357953
0,"EffAirflowSp,SuplFanStatusRTU1",,0.0030377695472725255
0,"EffAirflowSp,UnoccClgSpRTU1",,0.0030377695472725693
0,"EffSp,BldgStaticPresRTU1",,
0,"EffSp,BldgStaticPresSpRTU1",,
0,"EffSp,ClgPctRTU1",,
0,"EffSp,ClgStgCmd01RTU1",,
0,"EffSp,EffSuplAirTempSpRTU1",,
0,"EffSp,ExhFanSpdRTU1",,
0,"EffSp,OutAirDmprFbkRTU1",,
0,"EffSp,OutAirFlowRTU1",,
0,"EffSp,OutAirTempRTU1",,
0,"EffSp,RmTempRTU1",,
0,"EffSp,SuplAirStaticPresRTU1",,
0,"EffSp,SuplAirTempRTU1",,
0,"EffSp,SuplFanSpdRTU1",,
0,"EffSp,SuplFanStatusRTU1",,
0,"EffSp,UnoccClgSpRTU1",,
0,"HtgPct,BldgStaticPresRTU1",0.009529027059924637,0.0008639944144437769
0,"HtgPct,BldgStaticPresSpRTU1",0.0021630865882370197,
0,"HtgPct,ClgPctRTU1",-0.48717803290821987,-0.4190595771294331
