,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.0022389996045251094,-0.1599789337096134
0,"AirFlow,BldgStaticPresSpRTU1",-0.0031814247629120248,-1.0454127717706585e-15
0,"AirFlow,ClgPctRTU1",0.12397635560882682,0.07628115858874039
0,"AirFlow,ClgStgCmd01RTU1",0.1113406417802544,0.06469096533771962
0,"AirFlow,EffSuplAirTempSpRTU1",-0.032114675414856596,-0.030075048519292637
0,"AirFlow,ExhFanSpdRTU1",0.005495906522747319,0.004998214036543446
0,"AirFlow,OutAirDmprFbkRTU1",0.1981552731636152,0.12785258956408924
0,"AirFlow,OutAirFlowRTU1",-0.21015883271114014,
0,"AirFlow,OutAirTempRTU1",0.18364027569386093,0.129882249920691
0,"AirFlow,RmTempRTU1",-0.1129244027103077,-0.10033770867983358
0,"AirFlow,SuplAirStaticPresRTU1",0.210728256809318,0.18518197900673547
0,"AirFlow,SuplAirTempRTU1",0.11802126086342431,-0.0982368530086545
0,"AirFlow,SuplFanSpdRTU1",-0.021126360882737304,0.02009595962433261
0,"AirFlow,SuplFanStatusRTU1",,-0.00318043422563799
0,"AirFlow,UnoccClgSpRTU1",,-0.0031804342256380024
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.005400633990730006,0.11876442064300029
0,"DmprPos,BldgStaticPresSpRTU1",0.006925419266519158,2.883754003827084e-16
0,"DmprPos,ClgPctRTU1",-0.26301087468692297,-0.04861699001841839
0,"DmprPos,ClgStgCmd01RTU1",-0.21625106416543946,-0.026387850827448094
0,"DmprPos,EffSuplAirTempSpRTU1",0.06797978933604973,-0.08660402109169808
0,"DmprPos,ExhFanSpdRTU1",-0.023061162693175704,-0.030942121517388396
0,"DmprPos,OutAirDmprFbkRTU1",-0.49722212966434004,-0.4520278061038875
0,"DmprPos,OutAirFlowRTU1",0.4481153508633503,
0,"DmprPos,OutAirTempRTU1",-0.4538100507864603,-0.40956543226465114
0,"DmprPos,RmTempRTU1",-0.06579596247160559,0.0036195284880861547
0,"DmprPos,SuplAirStaticPresRTU1",-0.48030522660764446,-0.5150389285530704
0,"DmprPos,SuplAirTempRTU1",-0.3605614556718376,-0.20151476023903625
0,"DmprPos,SuplFanSpdRTU1",0.0758355086769174,-0.02955606815070896
0,"DmprPos,SuplFanStatusRTU1",,0.006924411234636557
0,"DmprPos,UnoccClgSpRTU1",,0.006924411234636574
0,"DschAirTemp,BldgStaticPresRTU1",-0.0034467339313618323,0.09248112887313527
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.00996067000739031,-6.12438565417723e-16
0,"DschAirTemp,ClgPctRTU1",0.07572281575714919,-0.09647878705767055
0,"DschAirTemp,ClgStgCmd01RTU1",0.0818000484036211,-0.06490514460843506
0,"DschAirTemp,EffSuplAirTempSpRTU1",-0.10186877644617276,0.27189089567412433
0,"DschAirTemp,ExhFanSpdRTU1",-0.009910580385327503,0.013675276608588345
0,"DschAirTemp,OutAirDmprFbkRTU1",0.20766787291484706,0.11070775955294772
0,"DschAirTemp,OutAirFlowRTU1",-0.09393444810654662,
0,"DschAirTemp,OutAirTempRTU1",0.3663476155122287,0.3922298608310629
0,"DschAirTemp,RmTempRTU1",0.6268145773945147,0.7775640453449003
0,"DschAirTemp,SuplAirStaticPresRTU1",0.14900275711840832,0.06815629713382099
0,"DschAirTemp,SuplAirTempRTU1",0.5134957461962419,0.8925073260381678
0,"DschAirTemp,SuplFanSpdRTU1",0.012143225494470104,-0.02184318704684051
0,"DschAirTemp,SuplFanStatusRTU1",,-0.009952753392742904
0,"DschAirTemp,UnoccClgSpRTU1",,-0.009952753392742947
0,"EffAirflowSp,BldgStaticPresRTU1",0.007842428512239326,-0.13966555200403394
0,"EffAirflowSp,BldgStaticPresSpRTU1",-0.0032628771776376207,-1.0323541000536534e-13
0,"EffAirflowSp,ClgPctRTU1",0.046161538262175665,0.04175859195331735
0,"EffAirflowSp,ClgStgCmd01RTU1",0.03884809805752521,0.06523549606134554
0,"EffAirflowSp,EffSuplAirTempSpRTU1",0.02155924432438402,-0.030933859569771634
0,"EffAirflowSp,ExhFanSpdRTU1",0.006164945881956438,0.00615150249229981
0,"EffAirflowSp,OutAirDmprFbkRTU1",0.18686605245209975,0.0707482626589771
