,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.0024283851861004496,-0.159365341757283
0,"AirFlow,BldgStaticPresSpRTU1",-0.003071083659642353,-1.5363257280544152e-16
0,"AirFlow,ClgPctRTU1",0.13418243079823597,0.08178312867938059
0,"AirFlow,ClgStgCmd01RTU1",0.12110576166785654,0.06972237900245448
0,"AirFlow,EffSuplAirTempSpRTU1",-0.03690111699663885,-0.03543711268181115
0,"AirFlow,ExhFanSpdRTU1",0.007043469066462119,0.005926999258066803
0,"AirFlow,OutAirDmprFbkRTU1",0.2170527331998399,0.138107427996117
0,"AirFlow,OutAirFlowRTU1",-0.22054992067898893,
0,"AirFlow,OutAirTempRTU1",0.1909357416918866,0.136784934685258
0,"AirFlow,RmTempRTU1",-0.1278180738949477,-0.1247604519244533
0,"AirFlow,SuplAirStaticPresRTU1",0.22145287854181697,0.19963044447162204
0,"AirFlow,SuplAirTempRTU1",0.11491807717790016,-0.11742962226057391
0,"AirFlow,SuplFanSpdRTU1",-0.020125025847617103,0.026171268122952902
0,"AirFlow,SuplFanStatusRTU1",,-0.003069421933215599
0,"AirFlow,UnoccClgSpRTU1",,-0.0030694219332156256
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",4.791136705871964e-05,0.05792061682429527
0,"DmprPos,BldgStaticPresSpRTU1",0.003916829054480445,5.720048484316604e-18
0,"DmprPos,ClgPctRTU1",-0.34507052334257654,-0.010046145433546235
0,"DmprPos,ClgStgCmd01RTU1",-0.3211963487976857,0.007201590682706678
0,"DmprPos,EffSuplAirTempSpRTU1",-0.11761871804929092,0.058352791693411794
0,"DmprPos,ExhFanSpdRTU1",-0.004039082448484118,-0.036245500615564426
0,"DmprPos,OutAirDmprFbkRTU1",-0.37919357783969926,-0.6532561749219811
0,"DmprPos,OutAirFlowRTU1",0.5750514886715334,
0,"DmprPos,OutAirTempRTU1",-0.27063787360220704,-0.2424200860840252
0,"DmprPos,RmTempRTU1",0.33200775460898324,0.3063112631162141
0,"DmprPos,SuplAirStaticPresRTU1",-0.3909932817890909,-0.7349758833965042
0,"DmprPos,SuplAirTempRTU1",0.05928066618880302,0.10241569467910146
0,"DmprPos,SuplFanSpdRTU1",0.1383429487791704,-0.020658700862676276
0,"DmprPos,SuplFanStatusRTU1",,0.0039090835130265265
0,"DmprPos,UnoccClgSpRTU1",,0.0039090835130265456
0,"DschAirTemp,BldgStaticPresRTU1",0.004190607907134483,0.03497390898126231
0,"DschAirTemp,BldgStaticPresSpRTU1",0.004777918822319138,1.3043230008252993e-15
0,"DschAirTemp,ClgPctRTU1",-0.29075809414945825,-0.22903265768583037
0,"DschAirTemp,ClgStgCmd01RTU1",-0.25535184258011634,-0.18406782088935575
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.15253535931251147,-0.3850193793368035
0,"DschAirTemp,ExhFanSpdRTU1",-0.009603067864731413,-0.005727459875487335
0,"DschAirTemp,OutAirDmprFbkRTU1",-0.39104022025282437,-0.2799990838098371
