,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.0021274038565805018,0.02824636998692085
0,"AirFlow,BldgStaticPresSpRTU1",-0.01646879220157402,
0,"AirFlow,ClgPctRTU1",-0.18214123497391702,-0.07851230929480475
0,"AirFlow,ClgStgCmd01RTU1",-0.17377714144864453,-0.0642779473089265
0,"AirFlow,EffSuplAirTempSpRTU1",-0.013628349063524997,0.16378901907994678
0,"AirFlow,ExhFanSpdRTU1",-0.0075973259357766006,-0.0008234858541171932
0,"AirFlow,OutAirDmprFbkRTU1",0.07825608896841356,-0.13825368853956996
0,"AirFlow,OutAirFlowRTU1",0.08577909530568034,
0,"AirFlow,OutAirTempRTU1",0.10164095807905589,0.09183905375146292
0,"AirFlow,RmTempRTU1",0.6005967539729736,0.4762589399399666
0,"AirFlow,SuplAirStaticPresRTU1",0.15340155631547267,-0.15162584511901125
0,"AirFlow,SuplAirTempRTU1",0.4574750307621752,0.429633416605856
0,"AirFlow,SuplFanSpdRTU1",0.035735378979956677,-0.01842595526293806
0,"AirFlow,SuplFanStatusRTU1",,-0.016470187228958003
0,"AirFlow,UnoccClgSpRTU1",,-0.016470187228958155
0,"ClgPct,BldgStaticPresRTU1",-0.006591104044811661,0.009400915893477666
0,"ClgPct,BldgStaticPresSpRTU1",-0.012802885497347257,
0,"ClgPct,ClgPctRTU1",-0.05632427290683526,0.010487368277005636
0,"ClgPct,ClgStgCmd01RTU1",-0.03473855569468314,0.0505744553512193
0,"ClgPct,EffSuplAirTempSpRTU1",-0.17929681946508655,0.20451449334591612
0,"ClgPct,ExhFanSpdRTU1",-0.01791990808736966,0.002654440093433551
0,"ClgPct,OutAirDmprFbkRTU1",0.15803844323598937,-0.12249320335355587
0,"ClgPct,OutAirFlowRTU1",0.03359080476868087,
0,"ClgPct,OutAirTempRTU1",0.2294750588264356,0.2173673499715384
0,"ClgPct,RmTempRTU1",0.5524921154664294,0.5524808076822769
0,"ClgPct,SuplAirStaticPresRTU1",0.08656694328466832,-0.12223460602494877
0,"ClgPct,SuplAirTempRTU1",0.4753130284990657,0.49122875983837394
0,"ClgPct,SuplFanSpdRTU1",0.0825560642316254,-0.015123036405897392
0,"ClgPct,SuplFanStatusRTU1",,-0.012801483759096975
0,"ClgPct,UnoccClgSpRTU1",,-0.012801483759097135
0,"DmprPos,BldgStaticPresRTU1",0.011084835185928234,0.05682004745603059
0,"DmprPos,BldgStaticPresSpRTU1",-0.01958181734148323,
