,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.0007010937693756553,-0.15923663453421905
0,"AirFlow,BldgStaticPresSpRTU1",-0.006428794912026203,8.534460876948554e-16
0,"AirFlow,ClgPctRTU1",0.18550191925447437,0.07406800381610451
0,"AirFlow,ClgStgCmd01RTU1",0.17507852728569956,0.05707023651569933
0,"AirFlow,EffSuplAirTempSpRTU1",-0.01806562515994827,0.0023557077089741093
0,"AirFlow,ExhFanSpdRTU1",0.0057147927572257715,0.012726317434817105
0,"AirFlow,OutAirDmprFbkRTU1",0.3395576270878272,0.2667595712004539
0,"AirFlow,OutAirFlowRTU1",-0.3216826702696749,
0,"AirFlow,OutAirTempRTU1",0.29306897544264954,0.23673430317601643
0,"AirFlow,RmTempRTU1",-0.09921655057987389,-0.10193832669409422
0,"AirFlow,SuplAirStaticPresRTU1",0.335007133670114,0.33617762014347535
0,"AirFlow,SuplAirTempRTU1",0.20176184243239786,-0.031409330454328664
0,"AirFlow,SuplFanSpdRTU1",-0.04014576884121305,0.031087629310085647
0,"AirFlow,SuplFanStatusRTU1",,-0.006425794037091041
0,"AirFlow,UnoccClgSpRTU1",,-0.006425794037091061
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.011762419994093214,0.04869385428269912
0,"DmprPos,BldgStaticPresSpRTU1",0.019189956633924875,-2.3589004670936253e-17
0,"DmprPos,ClgPctRTU1",-0.4708039799217945,-0.06055547673816799
0,"DmprPos,ClgStgCmd01RTU1",-0.4406479826884631,-0.022266710968969438
0,"DmprPos,EffSuplAirTempSpRTU1",-0.02987329631663773,-0.10857081623662383
0,"DmprPos,ExhFanSpdRTU1",-0.01176140644890919,-0.048539273320131825
0,"DmprPos,OutAirDmprFbkRTU1",-0.6343051556720143,-0.8256719216190015
0,"DmprPos,OutAirFlowRTU1",0.7314999810053919,
0,"DmprPos,OutAirTempRTU1",-0.6094922375608561,-0.5862379825338054
0,"DmprPos,RmTempRTU1",0.045035403921377795,0.019763428641034548
0,"DmprPos,SuplAirStaticPresRTU1",-0.59086521257181,-0.8972399370257965
0,"DmprPos,SuplAirTempRTU1",-0.3040096795581763,-0.3426056130800641
0,"DmprPos,SuplFanSpdRTU1",0.15903727281423785,-0.01154131981963772
0,"DmprPos,SuplFanStatusRTU1",,0.01917215561389157
0,"DmprPos,UnoccClgSpRTU1",,0.019172155613891604
0,"DschAirTemp,BldgStaticPresRTU1",0.017997586644066987,-0.0009801814519919611
0,"DschAirTemp,BldgStaticPresSpRTU1",0.012271704388690744,1.2541134186104445e-15
0,"DschAirTemp,ClgPctRTU1",-0.2323730842492665,-0.141773449241028
0,"DschAirTemp,ClgStgCmd01RTU1",-0.2125270771467882,-0.08686976432356118
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.02584286655673969,-0.25047073462548874
0,"DschAirTemp,ExhFanSpdRTU1",0.002492850005521611,-0.0015493227895377517
0,"DschAirTemp,OutAirDmprFbkRTU1",-0.4356384522622202,-0.3224526568375324
0,"DschAirTemp,OutAirFlowRTU1",0.2831212919836036,
0,"DschAirTemp,OutAirTempRTU1",-0.5500223747366841,-0.55191307817765
0,"DschAirTemp,RmTempRTU1",-0.37799488329251546,-0.48386433887001895
0,"DschAirTemp,SuplAirStaticPresRTU1",-0.4498192391217706,-0.31659010515546315
0,"DschAirTemp,SuplAirTempRTU1",-0.5500707429410508,-0.6132094867431482
0,"DschAirTemp,SuplFanSpdRTU1",0.09202069998278631,-0.02249878900906646
0,"DschAirTemp,SuplFanStatusRTU1",,0.012273218831084518
0,"DschAirTemp,UnoccClgSpRTU1",,0.012273218831084558
0,"EffAirflowSp,BldgStaticPresRTU1",2.0483815802589697e-17,-1.2236163118767455e-16
0,"EffAirflowSp,BldgStaticPresSpRTU1",-1.3861445119765919e-14,-1.0
0,"EffAirflowSp,ClgPctRTU1",-2.9086135884928826e-16,1.9326950468403337e-16
0,"EffAirflowSp,ClgStgCmd01RTU1",1.3382463867520574e-15,1.048406159384359e-15
0,"EffAirflowSp,EffSuplAirTempSpRTU1",-3.573122640892571e-15,-1.2682435788097448e-14
0,"EffAirflowSp,ExhFanSpdRTU1",2.7607439945725937e-16,1.5683388882779814e-16
0,"EffAirflowSp,OutAirDmprFbkRTU1",-5.086819806815672e-16,1.0943816415618574e-15
0,"EffAirflowSp,OutAirFlowRTU1",3.140578148571669e-16,
0,"EffAirflowSp,OutAirTempRTU1",4.2247103882819135e-16,-1.133339738330044e-16
0,"EffAirflowSp,RmTempRTU1",-1.9060061282894875e-14,-4.570568930035427e-16
0,"EffAirflowSp,SuplAirStaticPresRTU1",3.498383217635608e-16,6.494583812817778e-17
0,"EffAirflowSp,SuplAirTempRTU1",-7.238087444998914e-16,-1.247074856160484e-15
0,"EffAirflowSp,SuplFanSpdRTU1",9.88334282125649e-16,9.392752435796139e-14
0,"EffAirflowSp,SuplFanStatusRTU1",,2.1242172357604144e-14
0,"EffAirflowSp,UnoccClgSpRTU1",,1.8695246276729193e-14
0,"EffSp,BldgStaticPresRTU1",,
0,"EffSp,BldgStaticPresSpRTU1",,
0,"EffSp,ClgPctRTU1",,
0,"EffSp,ClgStgCmd01RTU1",,
0,"EffSp,EffSuplAirTempSpRTU1",,
0,"EffSp,ExhFanSpdRTU1",,
0,"EffSp,OutAirDmprFbkRTU1",,
0,"EffSp,OutAirFlowRTU1",,
0,"EffSp,OutAirTempRTU1",,
0,"EffSp,RmTempRTU1",,
0,"EffSp,SuplAirStaticPresRTU1",,
0,"EffSp,SuplAirTempRTU1",,
0,"EffSp,SuplFanSpdRTU1",,
0,"EffSp,SuplFanStatusRTU1",,
0,"EffSp,UnoccClgSpRTU1",,
0,"HtgPct,BldgStaticPresRTU1",0.012700824476034196,0.04315274610975158
0,"HtgPct,BldgStaticPresSpRTU1",0.01580610628028994,-5.0219597242361527e-17
0,"HtgPct,ClgPctRTU1",-0.2536264095114237,-0.14138044609117656
0,"HtgPct,ClgStgCmd01RTU1",-0.22283505712826163,-0.09272055223331775
0,"HtgPct,EffSuplAirTempSpRTU1",0.038359445724839486,-0.2393894873625447
0,"HtgPct,ExhFanSpdRTU1",-0.006260561169697935,-0.0025624736759823543
0,"HtgPct,OutAirDmprFbkRTU1",-0.43438693754809965,-0.3123146827954588
0,"HtgPct,OutAirFlowRTU1",0.322389693678469,
0,"HtgPct,OutAirTempRTU1",-0.5961282165151754,-0.571921723658851
0,"HtgPct,RmTempRTU1",-0.41328182853600287,-0.544672050427743
0,"HtgPct,SuplAirStaticPresRTU1",-0.49535355391992975,-0.31642647547633673
0,"HtgPct,SuplAirTempRTU1",-0.6053388789420744,-0.6440576039473263
0,"HtgPct,SuplFanSpdRTU1",0.10221490270051549,-0.019356102406882764
0,"HtgPct,SuplFanStatusRTU1",,0.015807832118299052
0,"HtgPct,UnoccClgSpRTU1",,0.01580783211829911
0,"OccClgSp,BldgStaticPresRTU1",,
0,"OccClgSp,BldgStaticPresSpRTU1",,
0,"OccClgSp,ClgPctRTU1",,
0,"OccClgSp,ClgStgCmd01RTU1",,
0,"OccClgSp,EffSuplAirTempSpRTU1",,
0,"OccClgSp,ExhFanSpdRTU1",,
0,"OccClgSp,OutAirDmprFbkRTU1",,
0,"OccClgSp,OutAirFlowRTU1",,
0,"OccClgSp,OutAirTempRTU1",,
0,"OccClgSp,RmTempRTU1",,
0,"OccClgSp,SuplAirStaticPresRTU1",,
0,"OccClgSp,SuplAirTempRTU1",,
0,"OccClgSp,SuplFanSpdRTU1",,
0,"OccClgSp,SuplFanStatusRTU1",,
0,"OccClgSp,UnoccClgSpRTU1",,
0,"OccHtgSp,BldgStaticPresRTU1",,
0,"OccHtgSp,BldgStaticPresSpRTU1",,
0,"OccHtgSp,ClgPctRTU1",,
0,"OccHtgSp,ClgStgCmd01RTU1",,
0,"OccHtgSp,EffSuplAirTempSpRTU1",,
