,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.003695454735224388,-0.014650615135821632
0,"AirFlow,BldgStaticPresSpRTU1",-0.009675194591917976,
0,"AirFlow,ClgPctRTU1",0.01196933618730648,0.006218450636917004
0,"AirFlow,ClgStgCmd01RTU1",0.00494483323389549,0.004533073344779166
0,"AirFlow,EffSuplAirTempSpRTU1",-0.005673036018145762,-0.010746870018334223
0,"AirFlow,ExhFanSpdRTU1",0.010038599207905544,-0.004232827398454723
0,"AirFlow,OutAirDmprFbkRTU1",0.019985110691096448,0.01970138280191183
0,"AirFlow,OutAirFlowRTU1",-0.022524839942389338,
0,"AirFlow,OutAirTempRTU1",0.00778339569534925,0.008122430306829007
0,"AirFlow,RmTempRTU1",-0.029694703816477104,-0.03212801913487385
0,"AirFlow,SuplAirStaticPresRTU1",0.004912267909019304,0.025703069981002722
0,"AirFlow,SuplAirTempRTU1",-0.00392219404871644,-0.020793303231864273
0,"AirFlow,SuplFanSpdRTU1",-0.008945934091036334,0.0009171331544549506
0,"AirFlow,SuplFanStatusRTU1",,-0.009674144188123958
0,"AirFlow,UnoccClgSpRTU1",,-0.009674144188124035
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.027833496408067825,-0.0024044175675312675
0,"DmprPos,BldgStaticPresSpRTU1",0.005976662440505992,
0,"DmprPos,ClgPctRTU1",0.019860136701118983,-0.1081805299824811
0,"DmprPos,ClgStgCmd01RTU1",0.06950777119848572,-0.06671973160462047
0,"DmprPos,EffSuplAirTempSpRTU1",-0.39093290961968563,0.0007798392968125461
0,"DmprPos,ExhFanSpdRTU1",-0.009436547793164284,-0.032157536057219056
0,"DmprPos,OutAirDmprFbkRTU1",0.029957700304417606,-0.10156467315189922
0,"DmprPos,OutAirFlowRTU1",0.13441996971191703,
0,"DmprPos,OutAirTempRTU1",-0.120274794615779,-0.11615746772690619
0,"DmprPos,RmTempRTU1",-0.08086921050111932,-0.06005811046055981
0,"DmprPos,SuplAirStaticPresRTU1",-0.6774123910097947,-0.1294573409725117
0,"DmprPos,SuplAirTempRTU1",-0.2058389884776133,-0.06047417388779853
0,"DmprPos,SuplFanSpdRTU1",0.18497438355258114,0.0030762983863574967
0,"DmprPos,SuplFanStatusRTU1",,0.005979787086070475
0,"DmprPos,UnoccClgSpRTU1",,0.005979787086070541
0,"DschAirTemp,BldgStaticPresRTU1",-0.006688622564342907,-0.022486128035208407
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.009939763919407629,
0,"DschAirTemp,ClgPctRTU1",-0.46691692538197016,-0.23679245052369674
0,"DschAirTemp,ClgStgCmd01RTU1",-0.3695583730297416,-0.22381366089994184
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.20235085276220985,0.12465079840420291
0,"DschAirTemp,ExhFanSpdRTU1",-0.014248023077992783,-0.016812154083612467
0,"DschAirTemp,OutAirDmprFbkRTU1",0.0713077858823992,-0.20346699696282727
0,"DschAirTemp,OutAirFlowRTU1",0.19136439629764646,
0,"DschAirTemp,OutAirTempRTU1",-0.21973065482942783,-0.2442143340787547
0,"DschAirTemp,RmTempRTU1",0.2095595293289558,-0.21734227590012167
0,"DschAirTemp,SuplAirStaticPresRTU1",0.05177353824803296,-0.1790299909445383
0,"DschAirTemp,SuplAirTempRTU1",0.3134442699921435,-0.12600598929822548
0,"DschAirTemp,SuplFanSpdRTU1",0.05158489364528151,-0.00034259377505451745
0,"DschAirTemp,SuplFanStatusRTU1",,-0.009941502474320086
0,"DschAirTemp,UnoccClgSpRTU1",,-0.009941502474320164
0,"EffAirflowSp,BldgStaticPresRTU1",-0.002202024142855889,-0.015844490574046983
0,"EffAirflowSp,BldgStaticPresSpRTU1",0.0012431455440528253,
0,"EffAirflowSp,ClgPctRTU1",-0.04810649941570228,-0.029306532269804
0,"EffAirflowSp,ClgStgCmd01RTU1",-0.04331352278545163,-0.0248604341937521
0,"EffAirflowSp,EffSuplAirTempSpRTU1",0.043204239927180844,0.011788420634313849
0,"EffAirflowSp,ExhFanSpdRTU1",-0.002348824238621812,-0.002344238638479714
0,"EffAirflowSp,OutAirDmprFbkRTU1",-0.08799153534952613,-0.049365710263360854
0,"EffAirflowSp,OutAirFlowRTU1",0.0856771515889768,
0,"EffAirflowSp,OutAirTempRTU1",-0.1836135660997498,-0.18684347489622152
0,"EffAirflowSp,RmTempRTU1",-0.2953097947668368,-0.37960093177640036
0,"EffAirflowSp,SuplAirStaticPresRTU1",-0.07292606048584738,-0.028412046934913723
0,"EffAirflowSp,SuplAirTempRTU1",-0.23575959374313915,-0.31178364049378915
0,"EffAirflowSp,SuplFanSpdRTU1",0.007427413784870905,0.0012428724716862683
0,"EffAirflowSp,SuplFanStatusRTU1",,0.0012428724716862529
0,"EffAirflowSp,UnoccClgSpRTU1",,0.0012428724716862685
0,"EffSp,BldgStaticPresRTU1",0.004503433092920956,0.001967163720191531
0,"EffSp,BldgStaticPresSpRTU1",-0.0002189621195533103,
0,"EffSp,ClgPctRTU1",0.008473264555984088,0.0051619259352084475
0,"EffSp,ClgStgCmd01RTU1",0.007629050998730082,0.004378809435515897
0,"EffSp,EffSuplAirTempSpRTU1",-0.007609802402785564,-0.0020763614625981374
0,"EffSp,ExhFanSpdRTU1",0.0004137114404723057,0.00041290406230538027
0,"EffSp,OutAirDmprFbkRTU1",-0.012458686057765744,0.007232596272868217
0,"EffSp,OutAirFlowRTU1",-0.009674712265208519,
0,"EffSp,OutAirTempRTU1",0.004866020169774115,0.005170120335525023
0,"EffSp,RmTempRTU1",-0.011069831327436474,-0.01190659791650331
0,"EffSp,SuplAirStaticPresRTU1",-0.0029172105265979544,0.00927801444573455
0,"EffSp,SuplAirTempRTU1",-0.004118754877002433,-0.0048006842642669715
0,"EffSp,SuplFanSpdRTU1",-0.001308231584720812,-0.00021891418563922452
0,"EffSp,SuplFanStatusRTU1",,-0.00021891418563922286
0,"EffSp,UnoccClgSpRTU1",,-0.00021891418563922227
0,"HtgPct,BldgStaticPresRTU1",-0.003517618116018485,-0.0052896819552394
0,"HtgPct,BldgStaticPresSpRTU1",0.003761555937759047,
0,"HtgPct,ClgPctRTU1",-0.12199914005979962,-0.069291926454364
0,"HtgPct,ClgStgCmd01RTU1",-0.11633788076725333,-0.056396040415525664
0,"HtgPct,EffSuplAirTempSpRTU1",0.09466392404318291,-0.08777465232582135
0,"HtgPct,ExhFanSpdRTU1",-0.00701805764789072,-0.007093239618444343
0,"HtgPct,OutAirDmprFbkRTU1",-0.25434003093791085,-0.14841105708775482
0,"HtgPct,OutAirFlowRTU1",0.19707329081890446,
0,"HtgPct,OutAirTempRTU1",-0.3962603188269534,-0.3929459598271618
0,"HtgPct,RmTempRTU1",-0.5176093800483658,-0.6077465240008898
0,"HtgPct,SuplAirStaticPresRTU1",-0.201484839055491,-0.11899280373899025
0,"HtgPct,SuplAirTempRTU1",-0.47701435087834926,-0.5742478177677848
0,"HtgPct,SuplFanSpdRTU1",0.0224741443657438,0.0037607059759737086
0,"HtgPct,SuplFanStatusRTU1",,0.0037607059759736648
0,"HtgPct,UnoccClgSpRTU1",,0.0037607059759736943
0,"OccClgSp,BldgStaticPresRTU1",,
0,"OccClgSp,BldgStaticPresSpRTU1",,
0,"OccClgSp,ClgPctRTU1",,
