,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.006007112954575407,-0.010365720986159257
0,"AirFlow,BldgStaticPresSpRTU1",-0.0007251848689965072,-4.391721549851676e-15
0,"AirFlow,ClgPctRTU1",-0.004305161207552849,0.004364996176399408
0,"AirFlow,ClgStgCmd01RTU1",-0.01273058542722504,0.001481789322763449
0,"AirFlow,EffSuplAirTempSpRTU1",0.004498725087970459,-0.02417624394981935
0,"AirFlow,ExhFanSpdRTU1",0.002314582139435266,-0.0031326471815020748
0,"AirFlow,OutAirDmprFbkRTU1",-0.026202372121969766,-0.006959253680000474
0,"AirFlow,OutAirFlowRTU1",-0.00017961212039387047,
0,"AirFlow,OutAirTempRTU1",-0.0345956189351275,-0.03061230139170618
0,"AirFlow,RmTempRTU1",-0.05233235951073939,-0.049975916826595926
0,"AirFlow,SuplAirStaticPresRTU1",-0.029733826723413705,-0.006223316634789761
0,"AirFlow,SuplAirTempRTU1",-0.04898537462209222,-0.058534430409488546
0,"AirFlow,SuplFanSpdRTU1",0.003733125104280037,-0.0031253448080398897
0,"AirFlow,SuplFanStatusRTU1",,-0.0007258847068684121
0,"AirFlow,UnoccClgSpRTU1",,-0.0007258847068684147
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",-0.005501315277515402,-0.06956609722502735
0,"DmprPos,BldgStaticPresSpRTU1",0.0032226277490839074,-6.672514050353536e-16
0,"DmprPos,ClgPctRTU1",0.23022271595161073,0.1319293381693427
0,"DmprPos,ClgStgCmd01RTU1",0.19960539792561002,0.1184939708107376
0,"DmprPos,EffSuplAirTempSpRTU1",-0.26818724158476054,0.1573715335494542
0,"DmprPos,ExhFanSpdRTU1",0.005416654752270992,0.00477443328170609
0,"DmprPos,OutAirDmprFbkRTU1",0.3680110268515009,0.17232874837596157
0,"DmprPos,OutAirFlowRTU1",-0.1770668255950376,
0,"DmprPos,OutAirTempRTU1",0.42846323685261145,0.4105246278295123
