,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.023760696405121785,-0.031242121005425273
0,"AirFlow,BldgStaticPresSpRTU1",0.003596353482023756,5.286323416621187e-16
0,"AirFlow,ClgPctRTU1",0.40898640558046434,0.5550452761732525
0,"AirFlow,ClgStgCmd01RTU1",0.4297752703223573,0.43090303286544657
0,"AirFlow,EffSuplAirTempSpRTU1",-0.059183141947951934,0.0394914124438751
0,"AirFlow,ExhFanSpdRTU1",-0.002215356209433322,-0.006685207410083248
0,"AirFlow,OutAirDmprFbkRTU1",-0.05571516747539186,0.036611821485663366
0,"AirFlow,OutAirFlowRTU1",-0.05122834470976579,
0,"AirFlow,OutAirTempRTU1",0.4484492097559596,0.46390815085292275
0,"AirFlow,RmTempRTU1",0.024770143170603942,0.27508459668894997
0,"AirFlow,SuplAirStaticPresRTU1",0.21687059159125657,0.03878365892899742
0,"AirFlow,SuplAirTempRTU1",0.08202005365479018,0.1425293901425683
0,"AirFlow,SuplFanSpdRTU1",0.024041017629250053,0.0039403769510690965
0,"AirFlow,SuplFanStatusRTU1",,0.003597943389625432
0,"AirFlow,UnoccClgSpRTU1",,0.0035979433896254406
0,"ClgPct,BldgStaticPresRTU1",-0.023523856410074078,-0.030360172914666687
0,"ClgPct,BldgStaticPresSpRTU1",0.0041889345432545,1.1754801311856042e-16
0,"ClgPct,ClgPctRTU1",0.40931793566843166,0.5563460831736137
0,"ClgPct,ClgStgCmd01RTU1",0.4301086000978837,0.432056072670394
0,"ClgPct,EffSuplAirTempSpRTU1",-0.05950196294567856,0.03974433538327383
0,"ClgPct,ExhFanSpdRTU1",-0.001786029821628637,-0.006787619422340094
0,"ClgPct,OutAirDmprFbkRTU1",-0.05736268819231766,0.036083175161828275
0,"ClgPct,OutAirFlowRTU1",-0.05062574708977596,
0,"ClgPct,OutAirTempRTU1",0.44945510338202604,0.4648206852276849
0,"ClgPct,RmTempRTU1",0.027123425309860692,0.2774770274299835
0,"ClgPct,SuplAirStaticPresRTU1",0.2171460814114015,0.03764143764366071
0,"ClgPct,SuplAirTempRTU1",0.08301121285231611,0.14443354812888987
0,"ClgPct,SuplFanSpdRTU1",0.02470806904733485,0.004190319224111142
0,"ClgPct,SuplFanStatusRTU1",,0.004190319224111096
0,"ClgPct,UnoccClgSpRTU1",,0.004190319224111111
0,"DmprPos,BldgStaticPresRTU1",-0.0051664243012827585,-0.05208691953496422
0,"DmprPos,BldgStaticPresSpRTU1",0.0018134020503643446,-2.137700946383646e-15
0,"DmprPos,ClgPctRTU1",0.18099892141721097,0.1278996184163549
0,"DmprPos,ClgStgCmd01RTU1",0.13454988967089979,0.08421339517865321
0,"DmprPos,EffSuplAirTempSpRTU1",-0.27121037909318224,0.13616736364626003
0,"DmprPos,ExhFanSpdRTU1",0.0030019373736533453,0.0042064003166509805
0,"DmprPos,OutAirDmprFbkRTU1",0.28106007421657664,0.07214320865329361
0,"DmprPos,OutAirFlowRTU1",-0.09656331009793225,
0,"DmprPos,OutAirTempRTU1",0.36593009816663075,0.3480261216923224
0,"DmprPos,RmTempRTU1",0.2287801287508032,0.25915320118147234
0,"DmprPos,SuplAirStaticPresRTU1",0.19554577794130387,0.09985868443405638
0,"DmprPos,SuplAirTempRTU1",0.3368166635451439,0.28910282042934343
0,"DmprPos,SuplFanSpdRTU1",0.022518527828674514,0.0210772972561034
0,"DmprPos,SuplFanStatusRTU1",,0.0018046783952443668
0,"DmprPos,UnoccClgSpRTU1",,0.001804678395244347
0,"DschAirTemp,BldgStaticPresRTU1",-0.010183532849051876,-0.02075220599172573
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.007829638912142447,-1.3261215706468866e-16
0,"DschAirTemp,ClgPctRTU1",-0.4435732402218971,-0.23959425230735337
0,"DschAirTemp,ClgStgCmd01RTU1",-0.356295582695247,-0.22255929227837704
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.20597711921767733,0.07091300231287752
0,"DschAirTemp,ExhFanSpdRTU1",-0.012636408437108514,-0.0150848232290175
0,"DschAirTemp,OutAirDmprFbkRTU1",0.004386684616651882,-0.20414848567191765
0,"DschAirTemp,OutAirFlowRTU1",0.20187324573167445,
0,"DschAirTemp,OutAirTempRTU1",-0.30856856113607,-0.33412326132067355
0,"DschAirTemp,RmTempRTU1",0.0687293855234133,-0.3296070273468314
0,"DschAirTemp,SuplAirStaticPresRTU1",-0.006601077869820218,-0.17522762261563676
0,"DschAirTemp,SuplAirTempRTU1",0.14516861423385796,-0.2645068498432307
0,"DschAirTemp,SuplFanSpdRTU1",0.048805755351404564,-0.00027657834646079997
0,"DschAirTemp,SuplFanStatusRTU1",,-0.00783308925124086
0,"DschAirTemp,UnoccClgSpRTU1",,-0.00783308925124088
0,"EffAirflowSp,BldgStaticPresRTU1",-0.023511516879717823,-0.030546505520425666
0,"EffAirflowSp,BldgStaticPresSpRTU1",0.004183943176193255,1.877013938768187e-15
0,"EffAirflowSp,ClgPctRTU1",0.40857362167023814,0.5559902354373167
0,"EffAirflowSp,ClgStgCmd01RTU1",0.42942684963377026,0.4315871545981911
0,"EffAirflowSp,EffSuplAirTempSpRTU1",-0.05955474015068791,0.03969705571073185
0,"EffAirflowSp,ExhFanSpdRTU1",-0.0017701779819462341,-0.006760517055767088
0,"EffAirflowSp,OutAirDmprFbkRTU1",-0.058337335739666034,0.03511738711459243
0,"EffAirflowSp,OutAirFlowRTU1",-0.049556855606920615,
0,"EffAirflowSp,OutAirTempRTU1",0.44823127659260337,0.4636004388090599
0,"EffAirflowSp,RmTempRTU1",0.026444513618935104,0.2762834175632528
0,"EffAirflowSp,SuplAirStaticPresRTU1",0.21636857402425064,0.03672984201643224
0,"EffAirflowSp,SuplAirTempRTU1",0.08210771821135122,0.14308777564297198
0,"EffAirflowSp,SuplFanSpdRTU1",0.02468106394093224,0.004185334440270873
0,"EffAirflowSp,SuplFanStatusRTU1",,0.0041853344402707805
