,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.01764232230445627,-0.014975053951498105
0,"AirFlow,BldgStaticPresSpRTU1",-0.013260986866753246,
0,"AirFlow,ClgPctRTU1",0.000744146466705319,-0.004481748461951275
0,"AirFlow,ClgStgCmd01RTU1",-0.0002331800635497369,-0.012653468490288153
0,"AirFlow,EffSuplAirTempSpRTU1",0.019271678977429065,-0.012183136963651182
0,"AirFlow,ExhFanSpdRTU1",-0.0022357198957386683,0.003071943395383109
0,"AirFlow,OutAirDmprFbkRTU1",0.037298036926440035,0.05393704612676915
0,"AirFlow,OutAirFlowRTU1",-0.04440617694282697,
0,"AirFlow,OutAirTempRTU1",0.01532674512306079,0.015076605276775016
0,"AirFlow,RmTempRTU1",-0.010361756418519651,-0.021744337802365073
0,"AirFlow,SuplAirStaticPresRTU1",0.016452108771643444,0.06229584548344251
0,"AirFlow,SuplAirTempRTU1",0.019753363871435285,-0.007117191574308449
0,"AirFlow,SuplFanSpdRTU1",-0.05317115869960419,-0.013219881927126365
0,"AirFlow,SuplFanStatusRTU1",,-0.01325978276601187
0,"AirFlow,UnoccClgSpRTU1",,-0.013259782766012064
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.015054155456197255,0.07855158602504676
