,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.013266884025677947,-0.014665648901443262
0,"AirFlow,BldgStaticPresSpRTU1",-0.0033971815096670004,-9.262993307401335e-15
0,"AirFlow,ClgPctRTU1",0.016809588062883244,0.02029324272291099
0,"AirFlow,ClgStgCmd01RTU1",0.02169305953851225,0.005529564263111885
0,"AirFlow,EffSuplAirTempSpRTU1",0.006556667819092885,0.0036796837841073385
0,"AirFlow,ExhFanSpdRTU1",0.01256621319968998,0.0016161177611977978
0,"AirFlow,OutAirDmprFbkRTU1",0.007747391793161557,0.020855079335623635
0,"AirFlow,OutAirFlowRTU1",-0.009701155216803462,
0,"AirFlow,OutAirTempRTU1",0.01329562598052533,0.015318313031896801
0,"AirFlow,RmTempRTU1",-0.008936774397666719,-0.0020867520074605273
0,"AirFlow,SuplAirStaticPresRTU1",0.01579147717770976,0.01766358456923966
0,"AirFlow,SuplAirTempRTU1",-0.005586443759012338,0.0017167311570980863
0,"AirFlow,SuplFanSpdRTU1",-0.016542624250074127,0.010155309223259685
0,"AirFlow,SuplFanStatusRTU1",,-0.003395231234294221
0,"AirFlow,UnoccClgSpRTU1",,-0.003395231234294234
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",-0.005020255870856063,-0.03178158113142567
0,"DmprPos,BldgStaticPresSpRTU1",-0.005623161645146741,7.760280724146538e-16
0,"DmprPos,ClgPctRTU1",0.48270810135614456,0.33894969409787656
0,"DmprPos,ClgStgCmd01RTU1",0.5002721356277436,0.260354745470389
0,"DmprPos,EffSuplAirTempSpRTU1",-0.26128584426026136,0.08441540972169329
0,"DmprPos,ExhFanSpdRTU1",-0.004299590150588442,0.0034303442769468254
0,"DmprPos,OutAirDmprFbkRTU1",0.32132697195201665,0.2931980714306605
0,"DmprPos,OutAirFlowRTU1",-0.3232445836689931,
0,"DmprPos,OutAirTempRTU1",0.4889705048599436,0.49129563749369165
0,"DmprPos,RmTempRTU1",-0.1641978818305768,0.10233307529124694
0,"DmprPos,SuplAirStaticPresRTU1",0.09191059547872878,0.3124755330711674
0,"DmprPos,SuplAirTempRTU1",0.07248578529534395,0.20675232837002053
0,"DmprPos,SuplFanSpdRTU1",-0.01717283383903485,0.007431063026472493
0,"DmprPos,SuplFanStatusRTU1",,-0.005617334955589654
0,"DmprPos,UnoccClgSpRTU1",,-0.00561733495558971
0,"DschAirTemp,BldgStaticPresRTU1",0.0007678122487594561,-0.009516323165820439
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.012756798403989805,-1.9826885820541162e-15
0,"DschAirTemp,ClgPctRTU1",-0.5315593664408017,-0.29668649957261817
0,"DschAirTemp,ClgStgCmd01RTU1",-0.4075898473971219,-0.2785431661979342
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.120737518220124,0.18897220500824435
0,"DschAirTemp,ExhFanSpdRTU1",-0.010401329364178463,-0.01813908956040206
0,"DschAirTemp,OutAirDmprFbkRTU1",0.33213045649103917,-0.15175360043710012
0,"DschAirTemp,OutAirFlowRTU1",0.07660111719762383,
0,"DschAirTemp,OutAirTempRTU1",0.08706670338294575,0.05456858092497935
0,"DschAirTemp,RmTempRTU1",0.8629974625027689,0.42968600125427475
0,"DschAirTemp,SuplAirStaticPresRTU1",0.18535382440529372,-0.16072092830466775
0,"DschAirTemp,SuplAirTempRTU1",0.9142964595657389,0.4725541621529351
0,"DschAirTemp,SuplFanSpdRTU1",0.05996928372184334,-0.0038703736424801523
0,"DschAirTemp,SuplFanStatusRTU1",,-0.012760308246871447
0,"DschAirTemp,UnoccClgSpRTU1",,-0.012760308246871499
0,"EffAirflowSp,BldgStaticPresRTU1",-2.0483815802589697e-17,
0,"EffAirflowSp,BldgStaticPresSpRTU1",1.3861445119765919e-14,
0,"EffAirflowSp,ClgPctRTU1",2.9086135884928826e-16,
0,"EffAirflowSp,ClgStgCmd01RTU1",-1.3382463867520574e-15,
0,"EffAirflowSp,EffSuplAirTempSpRTU1",3.573122640892571e-15,
0,"EffAirflowSp,ExhFanSpdRTU1",-2.7607439945725937e-16,
0,"EffAirflowSp,OutAirDmprFbkRTU1",5.086819806815672e-16,
0,"EffAirflowSp,OutAirFlowRTU1",-3.140578148571669e-16,
0,"EffAirflowSp,OutAirTempRTU1",-4.2247103882819135e-16,
0,"EffAirflowSp,RmTempRTU1",1.9060061282894875e-14,
0,"EffAirflowSp,SuplAirStaticPresRTU1",-3.498383217635608e-16,
0,"EffAirflowSp,SuplAirTempRTU1",7.238087444998914e-16,
0,"EffAirflowSp,SuplFanSpdRTU1",-9.88334282125649e-16,
0,"EffAirflowSp,SuplFanStatusRTU1",,
0,"EffAirflowSp,UnoccClgSpRTU1",,
0,"EffSp,BldgStaticPresRTU1",,1.2236163118767455e-16
0,"EffSp,BldgStaticPresSpRTU1",,1.0
0,"EffSp,ClgPctRTU1",,-1.9326950468403337e-16
0,"EffSp,ClgStgCmd01RTU1",,-1.048406159384359e-15
0,"EffSp,EffSuplAirTempSpRTU1",,1.2682435788097448e-14
0,"EffSp,ExhFanSpdRTU1",,-1.5683388882779814e-16
0,"EffSp,OutAirDmprFbkRTU1",,-1.0943816415618574e-15
0,"EffSp,OutAirFlowRTU1",,
0,"EffSp,OutAirTempRTU1",,1.133339738330044e-16
0,"EffSp,RmTempRTU1",,4.570568930035427e-16
0,"EffSp,SuplAirStaticPresRTU1",,-6.494583812817778e-17
0,"EffSp,SuplAirTempRTU1",,1.247074856160484e-15
0,"EffSp,SuplFanSpdRTU1",,-9.392752435796139e-14
0,"EffSp,SuplFanStatusRTU1",,-2.1242172357604144e-14
0,"EffSp,UnoccClgSpRTU1",,-1.8695246276729193e-14
0,"HtgPct,BldgStaticPresRTU1",,
0,"HtgPct,BldgStaticPresSpRTU1",,
0,"HtgPct,ClgPctRTU1",,
0,"HtgPct,ClgStgCmd01RTU1",,
0,"HtgPct,EffSuplAirTempSpRTU1",,
0,"HtgPct,ExhFanSpdRTU1",,
0,"HtgPct,OutAirDmprFbkRTU1",,
0,"HtgPct,OutAirFlowRTU1",,
0,"HtgPct,OutAirTempRTU1",,
0,"HtgPct,RmTempRTU1",,
0,"HtgPct,SuplAirStaticPresRTU1",,
0,"HtgPct,SuplAirTempRTU1",,
0,"HtgPct,SuplFanSpdRTU1",,
0,"HtgPct,SuplFanStatusRTU1",,
0,"HtgPct,UnoccClgSpRTU1",,
0,"OccClgSp,BldgStaticPresRTU1",,
0,"OccClgSp,BldgStaticPresSpRTU1",,
0,"OccClgSp,ClgPctRTU1",,
0,"OccClgSp,ClgStgCmd01RTU1",,
0,"OccClgSp,EffSuplAirTempSpRTU1",,
0,"OccClgSp,ExhFanSpdRTU1",,
0,"OccClgSp,OutAirDmprFbkRTU1",,
0,"OccClgSp,OutAirFlowRTU1",,
0,"OccClgSp,OutAirTempRTU1",,
0,"OccClgSp,RmTempRTU1",,
0,"OccClgSp,SuplAirStaticPresRTU1",,
0,"OccClgSp,SuplAirTempRTU1",,
0,"OccClgSp,SuplFanSpdRTU1",,
0,"OccClgSp,SuplFanStatusRTU1",,
0,"OccClgSp,UnoccClgSpRTU1",,
0,"OccHtgSp,BldgStaticPresRTU1",,
0,"OccHtgSp,BldgStaticPresSpRTU1",,
0,"OccHtgSp,ClgPctRTU1",,
0,"OccHtgSp,ClgStgCmd01RTU1",,
0,"OccHtgSp,EffSuplAirTempSpRTU1",,
