,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.006190219540371488,0.00427452256837789
0,"AirFlow,BldgStaticPresSpRTU1",-0.029352400317122745,
0,"AirFlow,ClgPctRTU1",0.02633998898213772,0.024553405579427416
0,"AirFlow,ClgStgCmd01RTU1",0.01616918163533311,0.012757568829829558
0,"AirFlow,EffSuplAirTempSpRTU1",-0.011898102750822627,0.003225073872839262
0,"AirFlow,ExhFanSpdRTU1",0.014070016749763105,-0.0012334428112307481
0,"AirFlow,OutAirDmprFbkRTU1",0.02559202409675547,0.03895679437974414
0,"AirFlow,OutAirFlowRTU1",-0.030409531185463166,
0,"AirFlow,OutAirTempRTU1",0.035479975366225755,0.03237155076008495
0,"AirFlow,RmTempRTU1",-0.010260708656626892,-0.00017504120539830098
0,"AirFlow,SuplAirStaticPresRTU1",0.019696199119095065,0.044578008986877096
0,"AirFlow,SuplAirTempRTU1",0.01698047028717589,0.007758666536315581
0,"AirFlow,SuplFanSpdRTU1",-0.026895131712994517,-0.012796099186097384
0,"AirFlow,SuplFanStatusRTU1",,-0.029353015332821152
0,"AirFlow,UnoccClgSpRTU1",,-0.029353015332821496
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.019075450517642107,0.05230588931039979
0,"DmprPos,BldgStaticPresSpRTU1",-0.003949623654297218,
0,"DmprPos,ClgPctRTU1",-0.10997208925706856,-0.10856250786390916
