,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.002595857601857245,0.0013000302261087287
0,"AirFlow,BldgStaticPresSpRTU1",0.005229203237220953,9.350332298988831e-15
0,"AirFlow,ClgPctRTU1",-0.005108928372821117,-0.010358711650481132
0,"AirFlow,ClgStgCmd01RTU1",0.0006397835604533881,-0.011742844121593097
0,"AirFlow,EffSuplAirTempSpRTU1",0.02668884812948753,0.014167348964373681
0,"AirFlow,ExhFanSpdRTU1",0.004844784646233231,0.00924541450619938
0,"AirFlow,OutAirDmprFbkRTU1",0.05966267184017364,0.017191323640585638
0,"AirFlow,OutAirFlowRTU1",-0.007979043377033038,
0,"AirFlow,OutAirTempRTU1",0.047512284514741654,0.045431102575152676
0,"AirFlow,RmTempRTU1",0.10354694811449419,0.06069394148737642
0,"AirFlow,SuplAirStaticPresRTU1",0.01728749702748466,0.03853215964172636
0,"AirFlow,SuplAirTempRTU1",0.09513533290647161,0.05863649121900655
0,"AirFlow,SuplFanSpdRTU1",0.012787109644900716,0.0009971517555108038
0,"AirFlow,SuplFanStatusRTU1",,0.005229532766673363
0,"AirFlow,UnoccClgSpRTU1",,0.005229532766673389
0,"ClgPct,BldgStaticPresRTU1",-0.0009062384863835774,-0.0059106654926526754
0,"ClgPct,BldgStaticPresSpRTU1",0.0013944834882913524,9.925879506470602e-16
0,"ClgPct,ClgPctRTU1",-0.012923389225500388,-0.031925009641390854
0,"ClgPct,ClgStgCmd01RTU1",-0.009816393060635746,-0.02742738571912817
0,"ClgPct,EffSuplAirTempSpRTU1",0.036419108340957344,0.013220580845647159
0,"ClgPct,ExhFanSpdRTU1",-0.002634765199719356,-0.0026290426462374276
0,"ClgPct,OutAirDmprFbkRTU1",0.05707975729117361,0.015356355349039338
0,"ClgPct,OutAirFlowRTU1",0.00024767011879923127,
0,"ClgPct,OutAirTempRTU1",0.056475539198627855,0.052867983970435385
0,"ClgPct,RmTempRTU1",0.15996698404383486,0.09796298214326365
0,"ClgPct,SuplAirStaticPresRTU1",0.02535976195991243,0.04335316364305893
0,"ClgPct,SuplAirTempRTU1",0.12919544075025227,0.0932607034586984
0,"ClgPct,SuplFanSpdRTU1",0.00833161163892643,0.001393870435552562
0,"ClgPct,SuplFanStatusRTU1",,0.0013938704355525714
0,"ClgPct,UnoccClgSpRTU1",,0.001393870435552545
0,"DmprPos,BldgStaticPresRTU1",0.0015808934751062812,-0.06441109677548627
0,"DmprPos,BldgStaticPresSpRTU1",0.009082941822272933,3.5195436853794185e-16
0,"DmprPos,ClgPctRTU1",0.3457289861047332,0.2045973508501505
0,"DmprPos,ClgStgCmd01RTU1",0.32533236684882366,0.14982251852873643
0,"DmprPos,EffSuplAirTempSpRTU1",-0.36147728747683905,0.14189377765610822
0,"DmprPos,ExhFanSpdRTU1",0.0028761869914823816,0.005429374988369108
0,"DmprPos,OutAirDmprFbkRTU1",0.34225247916051854,0.1746334023729352
0,"DmprPos,OutAirFlowRTU1",-0.16340938924549048,
0,"DmprPos,OutAirTempRTU1",0.43956428997121705,0.4290393286391002
0,"DmprPos,RmTempRTU1",0.022301628490308673,0.20119740180203208
0,"DmprPos,SuplAirStaticPresRTU1",0.10730484235251529,0.19077558401216377
0,"DmprPos,SuplAirTempRTU1",0.20840878860952647,0.26093806179262036
0,"DmprPos,SuplFanSpdRTU1",0.054461714112254485,0.017727903532728028
0,"DmprPos,SuplFanStatusRTU1",,0.009083995606196823
0,"DmprPos,UnoccClgSpRTU1",,0.009083995606196837
0,"DschAirTemp,BldgStaticPresRTU1",-0.0038805342068758846,-0.015546674377976646
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.012281611830905304,1.7316213709974226e-15
0,"DschAirTemp,ClgPctRTU1",-0.5751376015967395,-0.28808378537709395
0,"DschAirTemp,ClgStgCmd01RTU1",-0.44684671173543794,-0.2766989104903344
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.1948282237869503,0.18449016998462436
0,"DschAirTemp,ExhFanSpdRTU1",-0.01329646257015915,-0.018651709582254247
0,"DschAirTemp,OutAirDmprFbkRTU1",0.2882251209952767,-0.18590083337440746
0,"DschAirTemp,OutAirFlowRTU1",0.11707207636437501,
0,"DschAirTemp,OutAirTempRTU1",0.010081857355421947,-0.024628360526021374
0,"DschAirTemp,RmTempRTU1",0.773268174592131,0.2729856975393543
0,"DschAirTemp,SuplAirStaticPresRTU1",0.2137332448201554,-0.18706181285183976
0,"DschAirTemp,SuplAirTempRTU1",0.8484948193566182,0.33468853820168976
0,"DschAirTemp,SuplFanSpdRTU1",0.06104530358989533,-0.004452866820212672
0,"DschAirTemp,SuplFanStatusRTU1",,-0.012285095384503479
0,"DschAirTemp,UnoccClgSpRTU1",,-0.012285095384503522
0,"EffAirflowSp,BldgStaticPresRTU1",-0.001314209108423835,-0.004441212604882855
0,"EffAirflowSp,BldgStaticPresSpRTU1",0.001402952325966211,-1.2874234443151966e-14
0,"EffAirflowSp,ClgPctRTU1",-0.013573987482894602,-0.032339158480783295
0,"EffAirflowSp,ClgStgCmd01RTU1",-0.010262398618507036,-0.027812682835038797
0,"EffAirflowSp,EffSuplAirTempSpRTU1",0.03683735208241367,0.01330087044029776
0,"EffAirflowSp,ExhFanSpdRTU1",-0.0026507663922577564,-0.0026450090225146688
0,"EffAirflowSp,OutAirDmprFbkRTU1",0.05508727169584997,0.014669153649676856
0,"EffAirflowSp,OutAirFlowRTU1",0.0010133254885505065,
0,"EffAirflowSp,OutAirTempRTU1",0.0558268541191228,0.051635580085926336
0,"EffAirflowSp,RmTempRTU1",0.15999511837412017,0.09773976452486817
0,"EffAirflowSp,SuplAirStaticPresRTU1",0.0253837446455575,0.04224913416034831
0,"EffAirflowSp,SuplAirTempRTU1",0.1287947130053058,0.09309295690686048
0,"EffAirflowSp,SuplFanSpdRTU1",0.008382210349583356,0.0014023355168959895
0,"EffAirflowSp,SuplFanStatusRTU1",,0.001402335516896008
0,"EffAirflowSp,UnoccClgSpRTU1",,0.001402335516895988
0,"EffSp,BldgStaticPresRTU1",-0.02229783433905586,0.004621421090175757
0,"EffSp,BldgStaticPresSpRTU1",-0.00929329833323926,-1.4229505898377663e-15
0,"EffSp,ClgPctRTU1",0.2171323621767629,0.12327797921775992
0,"EffSp,ClgStgCmd01RTU1",0.1969945174907753,0.08619307259133209
0,"EffSp,EffSuplAirTempSpRTU1",-0.22143456879140863,0.1657941942385272
0,"EffSp,ExhFanSpdRTU1",-0.011663404349653952,0.017519330175442525
0,"EffSp,OutAirDmprFbkRTU1",0.3268053961930974,0.17097104347489658
0,"EffSp,OutAirFlowRTU1",-0.16347217759426508,
0,"EffSp,OutAirTempRTU1",0.3990248337160574,0.40143018818011683
0,"EffSp,RmTempRTU1",0.27687297870895416,0.3127341694727679
0,"EffSp,SuplAirStaticPresRTU1",0.12089151303155342,0.16364298562714144
0,"EffSp,SuplAirTempRTU1",0.32520663358320845,0.4357301811912624
0,"EffSp,SuplFanSpdRTU1",0.018935572214254872,0.023574632465472034
0,"EffSp,SuplFanStatusRTU1",,-0.009288429161535753
0,"EffSp,UnoccClgSpRTU1",,-0.009288429161535619
0,"HtgPct,BldgStaticPresRTU1",-0.003297997543768321,-0.00892960971782698
0,"HtgPct,BldgStaticPresSpRTU1",0.002861798718272002,-2.535598396418254e-16
0,"HtgPct,ClgPctRTU1",-0.11074416750880368,-0.06744930761136339
0,"HtgPct,ClgStgCmd01RTU1",-0.09971043582486751,-0.05721677744602999
0,"HtgPct,EffSuplAirTempSpRTU1",0.09945885985677265,-0.08600024886688437
0,"HtgPct,ExhFanSpdRTU1",-0.005407140159646864,-0.005395362499116034
0,"HtgPct,OutAirDmprFbkRTU1",-0.20256201237797852,-0.11366932919647851
0,"HtgPct,OutAirFlowRTU1",0.15892707650455323,
0,"HtgPct,OutAirTempRTU1",-0.36943574903709564,-0.3744498739590989
0,"HtgPct,RmTempRTU1",-0.48118555875408814,-0.6001076566969465
0,"HtgPct,SuplAirStaticPresRTU1",-0.17318243182493342,-0.08905095269249798
0,"HtgPct,SuplAirTempRTU1",-0.44306136357369674,-0.5667858134058338
0,"HtgPct,SuplFanSpdRTU1",0.017098370622254513,0.0028605227409946293
0,"HtgPct,SuplFanStatusRTU1",,0.002860522740994558
0,"HtgPct,UnoccClgSpRTU1",,0.002860522740994627
0,"OccClgSp,BldgStaticPresRTU1",,
0,"OccClgSp,BldgStaticPresSpRTU1",,
0,"OccClgSp,ClgPctRTU1",,
0,"OccClgSp,ClgStgCmd01RTU1",,
0,"OccClgSp,EffSuplAirTempSpRTU1",,
0,"OccClgSp,ExhFanSpdRTU1",,
0,"OccClgSp,OutAirDmprFbkRTU1",,
0,"OccClgSp,OutAirFlowRTU1",,
0,"OccClgSp,OutAirTempRTU1",,
0,"OccClgSp,RmTempRTU1",,
0,"OccClgSp,SuplAirStaticPresRTU1",,
0,"OccClgSp,SuplAirTempRTU1",,
0,"OccClgSp,SuplFanSpdRTU1",,
0,"OccClgSp,SuplFanStatusRTU1",,
0,"OccClgSp,UnoccClgSpRTU1",,
0,"OccHtgSp,BldgStaticPresRTU1",,
0,"OccHtgSp,BldgStaticPresSpRTU1",,
0,"OccHtgSp,ClgPctRTU1",,
0,"OccHtgSp,ClgStgCmd01RTU1",,
0,"OccHtgSp,EffSuplAirTempSpRTU1",,
0,"OccHtgSp,ExhFanSpdRTU1",,
0,"OccHtgSp,OutAirDmprFbkRTU1",,
0,"OccHtgSp,OutAirFlowRTU1",,
0,"OccHtgSp,OutAirTempRTU1",,
0,"OccHtgSp,RmTempRTU1",,
0,"OccHtgSp,SuplAirStaticPresRTU1",,
0,"OccHtgSp,SuplAirTempRTU1",,
0,"OccHtgSp,SuplFanSpdRTU1",,
0,"OccHtgSp,SuplFanStatusRTU1",,
0,"OccHtgSp,UnoccClgSpRTU1",,
0,"RmSp,BldgStaticPresRTU1",,
0,"RmSp,BldgStaticPresSpRTU1",,
0,"RmSp,ClgPctRTU1",,
0,"RmSp,ClgStgCmd01RTU1",,
0,"RmSp,EffSuplAirTempSpRTU1",,
0,"RmSp,ExhFanSpdRTU1",,
0,"RmSp,OutAirDmprFbkRTU1",,
0,"RmSp,OutAirFlowRTU1",,
0,"RmSp,OutAirTempRTU1",,
0,"RmSp,RmTempRTU1",,
0,"RmSp,SuplAirStaticPresRTU1",,
0,"RmSp,SuplAirTempRTU1",,
0,"RmSp,SuplFanSpdRTU1",,
0,"RmSp,SuplFanStatusRTU1",,
0,"RmSp,UnoccClgSpRTU1",,
