,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.01038345247610144,-0.0012208728463707057
0,"AirFlow,BldgStaticPresSpRTU1",-0.001047024872542625,
0,"AirFlow,ClgPctRTU1",0.06320115095952078,0.08089561630398681
0,"AirFlow,ClgStgCmd01RTU1",0.06479457847429854,0.09904539556673596
0,"AirFlow,EffSuplAirTempSpRTU1",-0.0008652965758266308,0.007985821356580004
0,"AirFlow,ExhFanSpdRTU1",-0.006347161469966686,-0.004273697985657899
0,"AirFlow,OutAirDmprFbkRTU1",0.04360000466335685,0.004360658532590654
0,"AirFlow,OutAirFlowRTU1",-0.031683851288031264,
0,"AirFlow,OutAirTempRTU1",0.11050806401556129,0.11041508719297204
0,"AirFlow,RmTempRTU1",0.11052553725397213,0.10281962559683216
0,"AirFlow,SuplAirStaticPresRTU1",0.07153078295713398,0.031910258705233396
0,"AirFlow,SuplAirTempRTU1",0.08853576292306539,0.06316960993444665
0,"AirFlow,SuplFanSpdRTU1",0.005391199101014705,0.004254647846690894
0,"AirFlow,SuplFanStatusRTU1",,-0.0010478055769528657
0,"AirFlow,UnoccClgSpRTU1",,-0.0010478055769528724
0,"ClgPct,BldgStaticPresRTU1",0.02384026106248973,0.0022922811159713833
0,"ClgPct,BldgStaticPresSpRTU1",0.0015698131264653492,
0,"ClgPct,ClgPctRTU1",0.06275848604095217,0.08489320735000679
0,"ClgPct,ClgStgCmd01RTU1",0.062427317212897786,0.10670021185948757
0,"ClgPct,EffSuplAirTempSpRTU1",0.0013426579422915615,0.014886116144552276
0,"ClgPct,ExhFanSpdRTU1",-0.0029660365507385156,-0.0029602446099843676
0,"ClgPct,OutAirDmprFbkRTU1",0.030432311073339827,-0.0096660408177343
0,"ClgPct,OutAirFlowRTU1",-0.022859516011049536,
0,"ClgPct,OutAirTempRTU1",0.1129004943409108,0.11242185205031892
0,"ClgPct,RmTempRTU1",0.12849009502663294,0.12181788002173284
0,"ClgPct,SuplAirStaticPresRTU1",0.07884220473874512,0.019591038723022067
0,"ClgPct,SuplAirTempRTU1",0.09208296403607204,0.07241879518789081
0,"ClgPct,SuplFanSpdRTU1",0.009268240258185984,0.0015694675767281426
0,"ClgPct,SuplFanStatusRTU1",,0.001569467576728145
0,"ClgPct,UnoccClgSpRTU1",,0.0015694675767281645
0,"DmprPos,BldgStaticPresRTU1",-0.003995456621268033,-0.06240035897098824
0,"DmprPos,BldgStaticPresSpRTU1",-0.006438306644415987,
0,"DmprPos,ClgPctRTU1",0.198760496019584,0.08213523762749605
0,"DmprPos,ClgStgCmd01RTU1",0.14941968326580032,0.05552902513183173
0,"DmprPos,EffSuplAirTempSpRTU1",-0.2947637735872283,0.1256597864412192
0,"DmprPos,ExhFanSpdRTU1",0.0002488019022877411,0.0024112626720448446
0,"DmprPos,OutAirDmprFbkRTU1",0.37280846905206977,0.14039370961637784
0,"DmprPos,OutAirFlowRTU1",-0.1859810226877137,
0,"DmprPos,OutAirTempRTU1",0.3615120625735911,0.33786561827317374
0,"DmprPos,RmTempRTU1",0.15118039589295126,0.14575397913200527
0,"DmprPos,SuplAirStaticPresRTU1",0.13831301122106973,0.17654518633279373
0,"DmprPos,SuplAirTempRTU1",0.3121304616370222,0.2516109852410694
0,"DmprPos,SuplFanSpdRTU1",0.015483906290899558,0.02693430759179059
0,"DmprPos,SuplFanStatusRTU1",,-0.006440554640938744
0,"DmprPos,UnoccClgSpRTU1",,-0.006440554640938772
0,"DschAirTemp,BldgStaticPresRTU1",-0.0031265101194702678,-0.01374184152226969
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.017799010548936407,
0,"DschAirTemp,ClgPctRTU1",-0.4637015398875788,-0.22284075951938365
0,"DschAirTemp,ClgStgCmd01RTU1",-0.35097252165822757,-0.21957781209259492
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.14320226055341978,0.20658257742700709
0,"DschAirTemp,ExhFanSpdRTU1",-0.010708742196435132,-0.014056029512697639
0,"DschAirTemp,OutAirDmprFbkRTU1",0.3582014930535405,-0.10975469466483968
0,"DschAirTemp,OutAirFlowRTU1",0.03213364657024044,
0,"DschAirTemp,OutAirTempRTU1",0.16900926388730667,0.1374395932840513
0,"DschAirTemp,RmTempRTU1",0.8823792840536095,0.4663832510759146
0,"DschAirTemp,SuplAirStaticPresRTU1",0.28281646737056204,-0.11762352166471786
0,"DschAirTemp,SuplAirTempRTU1",0.9489974632358464,0.5180184683226912
0,"DschAirTemp,SuplFanSpdRTU1",0.04123108790236996,-0.004411132214298547
