,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.021091114911850818,-0.017282288705405408
0,"AirFlow,BldgStaticPresSpRTU1",-0.014809091713688221,-7.613665846377707e-15
0,"AirFlow,ClgPctRTU1",0.0006295212901070152,-0.0008545740002672933
0,"AirFlow,ClgStgCmd01RTU1",0.0008898007394864135,-0.00681060074210062
0,"AirFlow,EffSuplAirTempSpRTU1",-0.006186224970448887,0.0010680469968633356
0,"AirFlow,ExhFanSpdRTU1",-0.00377079417864186,-0.004665858864591731
0,"AirFlow,OutAirDmprFbkRTU1",0.010882105206951613,0.009314879862557439
0,"AirFlow,OutAirFlowRTU1",-0.014571458862916706,
0,"AirFlow,OutAirTempRTU1",-0.0009084853754224116,0.0007424726497889478
0,"AirFlow,RmTempRTU1",-0.005446681389541826,-0.009050026516364922
0,"AirFlow,SuplAirStaticPresRTU1",-0.01708188728141056,0.012190785732300365
0,"AirFlow,SuplAirTempRTU1",0.004222317665790846,-0.007651619639655951
0,"AirFlow,SuplFanSpdRTU1",0.0021072887777737505,-0.016628326960890134
0,"AirFlow,SuplFanStatusRTU1",,-0.014807752192853125
0,"AirFlow,UnoccClgSpRTU1",,-0.01480775219285318
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.004263401242619557,-0.05175782889565709
0,"DmprPos,BldgStaticPresSpRTU1",0.006343185716136835,-3.933416076294079e-15
0,"DmprPos,ClgPctRTU1",0.138199205519161,0.04643500830238223
0,"DmprPos,ClgStgCmd01RTU1",0.13017752750181005,0.05218680393366414
0,"DmprPos,EffSuplAirTempSpRTU1",-0.307408594704154,0.13596899232586038
0,"DmprPos,ExhFanSpdRTU1",-0.00020556066072760937,-0.007969369450266953
0,"DmprPos,OutAirDmprFbkRTU1",0.2968455529508852,0.07614018512365589
0,"DmprPos,OutAirFlowRTU1",-0.06456691383885717,
0,"DmprPos,OutAirTempRTU1",0.29054033523709055,0.2754101181990792
0,"DmprPos,RmTempRTU1",0.22085141085483947,0.2342468187572243
0,"DmprPos,SuplAirStaticPresRTU1",-0.03314190200375351,0.07302724597199832
0,"DmprPos,SuplAirTempRTU1",0.2752281052179116,0.28310276113983696
0,"DmprPos,SuplFanSpdRTU1",0.08371185844749049,0.019290012364409206
