,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.024234874748734637,-0.0053062045603310196
0,"AirFlow,BldgStaticPresSpRTU1",-0.010835337966503914,
0,"AirFlow,ClgPctRTU1",-0.007090652756052232,-0.005107448790683145
0,"AirFlow,ClgStgCmd01RTU1",0.002689197016548086,-0.030988107042798026
0,"AirFlow,EffSuplAirTempSpRTU1",-0.007356305411233346,-0.08781625110357286
0,"AirFlow,ExhFanSpdRTU1",-0.021766193695743504,0.01865798825635797
0,"AirFlow,OutAirDmprFbkRTU1",-0.052578155269797235,0.0038337180933408804
0,"AirFlow,OutAirFlowRTU1",0.004721871089487844,
0,"AirFlow,OutAirTempRTU1",-0.048232159871792836,-0.04140116198944576
0,"AirFlow,RmTempRTU1",-0.0045082964659074526,-0.040445283556036576
0,"AirFlow,SuplAirStaticPresRTU1",-0.051093331372009665,0.022359573566842633
0,"AirFlow,SuplAirTempRTU1",-0.04480171449918138,-0.03617589690454102
0,"AirFlow,SuplFanSpdRTU1",-0.0020368799661504406,0.00407037920473422
0,"AirFlow,SuplFanStatusRTU1",,-0.0108323306314407
0,"AirFlow,UnoccClgSpRTU1",,-0.010832330631440951
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.026598140770927058,0.06783100004216258
0,"DmprPos,BldgStaticPresSpRTU1",-0.0030451466612636496,
0,"DmprPos,ClgPctRTU1",-0.3726402307824815,-0.3429024061055135
0,"DmprPos,ClgStgCmd01RTU1",-0.31379051965387,-0.28275070566380744
0,"DmprPos,EffSuplAirTempSpRTU1",0.061201832485359764,-0.13434005220226522
0,"DmprPos,ExhFanSpdRTU1",-0.001272292792061933,-0.032790973870553665
0,"DmprPos,OutAirDmprFbkRTU1",-0.28061430179063446,-0.2843310022007745
0,"DmprPos,OutAirFlowRTU1",0.2994082110734054,
0,"DmprPos,OutAirTempRTU1",-0.5667059729750621,-0.5591615260661702
0,"DmprPos,RmTempRTU1",-0.11911576350834772,-0.29583943926494155
0,"DmprPos,SuplAirStaticPresRTU1",-0.6606521782658356,-0.316405401394401
0,"DmprPos,SuplAirTempRTU1",-0.35926924308308605,-0.35361484749561045
0,"DmprPos,SuplFanSpdRTU1",0.09972246688742635,-0.023273031842514287
0,"DmprPos,SuplFanStatusRTU1",,-0.003049260611764112
0,"DmprPos,UnoccClgSpRTU1",,-0.0030492606117641452
0,"DschAirTemp,BldgStaticPresRTU1",0.007001994681279906,-0.021800749273641885
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.0012520836731363808,
0,"DschAirTemp,ClgPctRTU1",-0.3426940309690643,-0.2666823806076736
0,"DschAirTemp,ClgStgCmd01RTU1",-0.23448277914296434,-0.21839596688782115
0,"DschAirTemp,EffSuplAirTempSpRTU1",-0.010448248361178343,-0.13646315397185294
0,"DschAirTemp,ExhFanSpdRTU1",-0.013585467211882403,-0.03306651047090798
0,"DschAirTemp,OutAirDmprFbkRTU1",-0.09960512839551589,-0.17570452804683637
0,"DschAirTemp,OutAirFlowRTU1",0.17508808471470744,
0,"DschAirTemp,OutAirTempRTU1",-0.31895231823796144,-0.32238972395406024
0,"DschAirTemp,RmTempRTU1",-0.04612197666787312,-0.2473615912264742
0,"DschAirTemp,SuplAirStaticPresRTU1",-0.3440066027399164,-0.19403275932171885
0,"DschAirTemp,SuplAirTempRTU1",-0.030021192706287284,-0.2504796020793859
0,"DschAirTemp,SuplFanSpdRTU1",0.058314840279786,0.011426098459708909
0,"DschAirTemp,SuplFanStatusRTU1",,-0.0012517273943413341
0,"DschAirTemp,UnoccClgSpRTU1",,-0.00125172739434134
0,"EffAirflowSp,BldgStaticPresRTU1",-2.0483815802589697e-17,-2.383999807262129e-17
0,"EffAirflowSp,BldgStaticPresSpRTU1",1.3861445119765919e-14,
0,"EffAirflowSp,ClgPctRTU1",2.9086135884928826e-16,-9.437257584380773e-16
0,"EffAirflowSp,ClgStgCmd01RTU1",-1.3382463867520574e-15,-1.1817696683017776e-15
0,"EffAirflowSp,EffSuplAirTempSpRTU1",3.573122640892571e-15,8.990410808333971e-15
0,"EffAirflowSp,ExhFanSpdRTU1",-2.7607439945725937e-16,-2.7536075693701833e-16
0,"EffAirflowSp,OutAirDmprFbkRTU1",5.086819806815672e-16,1.3838506254616795e-15
0,"EffAirflowSp,OutAirFlowRTU1",-3.140578148571669e-16,
0,"EffAirflowSp,OutAirTempRTU1",-4.2247103882819135e-16,9.508288884127532e-17
0,"EffAirflowSp,RmTempRTU1",1.9060061282894875e-14,-9.491407054206563e-16
0,"EffAirflowSp,SuplAirStaticPresRTU1",-3.498383217635608e-16,-2.6609068906466604e-16
0,"EffAirflowSp,SuplAirTempRTU1",7.238087444998914e-16,-2.362821469819759e-15
0,"EffAirflowSp,SuplFanSpdRTU1",-9.88334282125649e-16,-1.0592263839976465e-13
0,"EffAirflowSp,SuplFanStatusRTU1",,-2.1121297978548763e-14
0,"EffAirflowSp,UnoccClgSpRTU1",,-1.8149822438182897e-14
0,"EffSp,BldgStaticPresRTU1",,
0,"EffSp,BldgStaticPresSpRTU1",,
0,"EffSp,ClgPctRTU1",,
0,"EffSp,ClgStgCmd01RTU1",,
0,"EffSp,EffSuplAirTempSpRTU1",,
0,"EffSp,ExhFanSpdRTU1",,
0,"EffSp,OutAirDmprFbkRTU1",,
0,"EffSp,OutAirFlowRTU1",,
0,"EffSp,OutAirTempRTU1",,
0,"EffSp,RmTempRTU1",,
0,"EffSp,SuplAirStaticPresRTU1",,
0,"EffSp,SuplAirTempRTU1",,
0,"EffSp,SuplFanSpdRTU1",,
0,"EffSp,SuplFanStatusRTU1",,
0,"EffSp,UnoccClgSpRTU1",,
0,"HtgPct,BldgStaticPresRTU1",0.010118285215442334,-0.013304722462370404
0,"HtgPct,BldgStaticPresSpRTU1",0.007062777116836648,
0,"HtgPct,ClgPctRTU1",-0.02456243438519968,-0.12321584175512935
0,"HtgPct,ClgStgCmd01RTU1",0.00662571604984335,-0.08187424893342882
0,"HtgPct,EffSuplAirTempSpRTU1",-0.11870033210234011,-0.20644644506649537
0,"HtgPct,ExhFanSpdRTU1",-0.004053385335676204,-0.021408756131805325
0,"HtgPct,OutAirDmprFbkRTU1",-0.26742231993005977,-0.06716977803316919
0,"HtgPct,OutAirFlowRTU1",0.11503621686622799,
0,"HtgPct,OutAirTempRTU1",-0.3708484195480616,-0.3546329538386276
0,"HtgPct,RmTempRTU1",-0.5568379420551806,-0.4752515935316563
0,"HtgPct,SuplAirStaticPresRTU1",-0.47026078042923003,-0.07591211558715259
0,"HtgPct,SuplAirTempRTU1",-0.5801702901469612,-0.48636473754055415
0,"HtgPct,SuplFanSpdRTU1",0.02252537514672416,0.01525123179970192
0,"HtgPct,SuplFanStatusRTU1",,0.007064699400347936
0,"HtgPct,UnoccClgSpRTU1",,0.0070646994003479855
0,"OccClgSp,BldgStaticPresRTU1",,
0,"OccClgSp,BldgStaticPresSpRTU1",,
0,"OccClgSp,ClgPctRTU1",,
0,"OccClgSp,ClgStgCmd01RTU1",,
0,"OccClgSp,EffSuplAirTempSpRTU1",,
0,"OccClgSp,ExhFanSpdRTU1",,
0,"OccClgSp,OutAirDmprFbkRTU1",,
0,"OccClgSp,OutAirFlowRTU1",,
0,"OccClgSp,OutAirTempRTU1",,
0,"OccClgSp,RmTempRTU1",,
0,"OccClgSp,SuplAirStaticPresRTU1",,
0,"OccClgSp,SuplAirTempRTU1",,
0,"OccClgSp,SuplFanSpdRTU1",,
0,"OccClgSp,SuplFanStatusRTU1",,
0,"OccClgSp,UnoccClgSpRTU1",,
0,"OccHtgSp,BldgStaticPresRTU1",,
0,"OccHtgSp,BldgStaticPresSpRTU1",,
0,"OccHtgSp,ClgPctRTU1",,
0,"OccHtgSp,ClgStgCmd01RTU1",,
0,"OccHtgSp,EffSuplAirTempSpRTU1",,
0,"OccHtgSp,ExhFanSpdRTU1",,
0,"OccHtgSp,OutAirDmprFbkRTU1",,
0,"OccHtgSp,OutAirFlowRTU1",,
0,"OccHtgSp,OutAirTempRTU1",,
0,"OccHtgSp,RmTempRTU1",,
0,"OccHtgSp,SuplAirStaticPresRTU1",,
0,"OccHtgSp,SuplAirTempRTU1",,
0,"OccHtgSp,SuplFanSpdRTU1",,
0,"OccHtgSp,SuplFanStatusRTU1",,
0,"OccHtgSp,UnoccClgSpRTU1",,
0,"RmSp,BldgStaticPresRTU1",,
0,"RmSp,BldgStaticPresSpRTU1",,
0,"RmSp,ClgPctRTU1",,
0,"RmSp,ClgStgCmd01RTU1",,
0,"RmSp,EffSuplAirTempSpRTU1",,
0,"RmSp,ExhFanSpdRTU1",,
0,"RmSp,OutAirDmprFbkRTU1",,
0,"RmSp,OutAirFlowRTU1",,
0,"RmSp,OutAirTempRTU1",,
0,"RmSp,RmTempRTU1",,
0,"RmSp,SuplAirStaticPresRTU1",,
0,"RmSp,SuplAirTempRTU1",,
0,"RmSp,SuplFanSpdRTU1",,
0,"RmSp,SuplFanStatusRTU1",,
0,"RmSp,UnoccClgSpRTU1",,
0,"RmTemp,BldgStaticPresRTU1",-0.0042311116053642735,0.00176526336272177
0,"RmTemp,BldgStaticPresSpRTU1",0.011626597510441698,
0,"RmTemp,ClgPctRTU1",0.10081763208432723,0.20042047454079545
0,"RmTemp,ClgStgCmd01RTU1",0.02181195801883179,0.1522092300885996
0,"RmTemp,EffSuplAirTempSpRTU1",0.14434495146602314,0.07253946178554274
0,"RmTemp,ExhFanSpdRTU1",-0.01212201614342098,0.012752914968477948
0,"RmTemp,OutAirDmprFbkRTU1",0.04902736570020402,0.03516828442192747
0,"RmTemp,OutAirFlowRTU1",-0.06088880855592701,
0,"RmTemp,OutAirTempRTU1",0.260297859053726,0.25528344014994286
0,"RmTemp,RmTempRTU1",0.3204661233593593,0.3104008882571863
0,"RmTemp,SuplAirStaticPresRTU1",0.3850020999661513,0.04491251799548424
0,"RmTemp,SuplAirTempRTU1",0.29199831421280964,0.26381913384627437
0,"RmTemp,SuplFanSpdRTU1",-0.042259205461800196,-0.007121870737768034
0,"RmTemp,SuplFanStatusRTU1",,0.011624563686093681
0,"RmTemp,UnoccClgSpRTU1",,0.011624563686093768
0,"StbyClgSp,BldgStaticPresRTU1",,
0,"StbyClgSp,BldgStaticPresSpRTU1",,
0,"StbyClgSp,ClgPctRTU1",,
0,"StbyClgSp,ClgStgCmd01RTU1",,
0,"StbyClgSp,EffSuplAirTempSpRTU1",,
0,"StbyClgSp,ExhFanSpdRTU1",,
0,"StbyClgSp,OutAirDmprFbkRTU1",,
0,"StbyClgSp,OutAirFlowRTU1",,
0,"StbyClgSp,OutAirTempRTU1",,
0,"StbyClgSp,RmTempRTU1",,
0,"StbyClgSp,SuplAirStaticPresRTU1",,
0,"StbyClgSp,SuplAirTempRTU1",,
0,"StbyClgSp,SuplFanSpdRTU1",,
0,"StbyClgSp,SuplFanStatusRTU1",,
0,"StbyClgSp,UnoccClgSpRTU1",,
0,"StbyHtgSp,BldgStaticPresRTU1",,
0,"StbyHtgSp,BldgStaticPresSpRTU1",,
0,"StbyHtgSp,ClgPctRTU1",,
0,"StbyHtgSp,ClgStgCmd01RTU1",,
0,"StbyHtgSp,EffSuplAirTempSpRTU1",,
0,"StbyHtgSp,ExhFanSpdRTU1",,
0,"StbyHtgSp,OutAirDmprFbkRTU1",,
0,"StbyHtgSp,OutAirFlowRTU1",,
0,"StbyHtgSp,OutAirTempRTU1",,
0,"StbyHtgSp,RmTempRTU1",,
0,"StbyHtgSp,SuplAirStaticPresRTU1",,
0,"StbyHtgSp,SuplAirTempRTU1",,
0,"StbyHtgSp,SuplFanSpdRTU1",,
0,"StbyHtgSp,SuplFanStatusRTU1",,
0,"StbyHtgSp,UnoccClgSpRTU1",,
0,"UnoccClgSp,BldgStaticPresRTU1",,
0,"UnoccClgSp,BldgStaticPresSpRTU1",,
0,"UnoccClgSp,ClgPctRTU1",,
0,"UnoccClgSp,ClgStgCmd01RTU1",,
0,"UnoccClgSp,EffSuplAirTempSpRTU1",,
0,"UnoccClgSp,ExhFanSpdRTU1",,
