,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.04070788025107656,-0.01778754832452475
0,"AirFlow,BldgStaticPresSpRTU1",-0.03853613011318456,2.5739476460050435e-15
0,"AirFlow,ClgPctRTU1",0.00025419011844062374,-0.004093869079194201
0,"AirFlow,ClgStgCmd01RTU1",0.002077726755362665,-5.9877739308185624e-05
0,"AirFlow,EffSuplAirTempSpRTU1",0.007822722197700579,0.009055038403610062
0,"AirFlow,ExhFanSpdRTU1",-0.015770375915882102,-0.0038040691936086597
0,"AirFlow,OutAirDmprFbkRTU1",0.010915574949029776,0.003062833601892507
0,"AirFlow,OutAirFlowRTU1",-0.017238294459508197,
0,"AirFlow,OutAirTempRTU1",0.004511095144922964,0.004977894337786129
0,"AirFlow,RmTempRTU1",0.009255659480133276,0.017586119765612446
0,"AirFlow,SuplAirStaticPresRTU1",-0.002983129708215183,0.005192035779700756
0,"AirFlow,SuplAirTempRTU1",0.008172643602168846,0.0092466116258142
0,"AirFlow,SuplFanSpdRTU1",-0.0296906156490362,-0.0032646491307536597
0,"AirFlow,SuplFanStatusRTU1",,-0.03851905945940786
0,"AirFlow,UnoccClgSpRTU1",,-0.03851905945940832
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.004907764705668722,-0.04202373537054635
