,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.01305634707793161,-0.0014024327192523728
0,"AirFlow,BldgStaticPresSpRTU1",0.0033139217774472863,2.782324034370369e-16
0,"AirFlow,ClgPctRTU1",0.011517688755514325,0.07029471044342504
0,"AirFlow,ClgStgCmd01RTU1",0.003068351601048858,0.07741194678170774
0,"AirFlow,EffSuplAirTempSpRTU1",0.02508089739451937,0.034669349003228246
0,"AirFlow,ExhFanSpdRTU1",-0.004746605054949406,-0.007174000583562568
0,"AirFlow,OutAirDmprFbkRTU1",0.0383809103310521,-0.024011649989989788
0,"AirFlow,OutAirFlowRTU1",-0.01480513126378396,
0,"AirFlow,OutAirTempRTU1",0.15640164897986394,0.15419737476039766
0,"AirFlow,RmTempRTU1",0.285207117570826,0.23574690950028923
0,"AirFlow,SuplAirStaticPresRTU1",0.2152257242698226,0.014407308002887156
0,"AirFlow,SuplAirTempRTU1",0.24727786685264372,0.17900337346879527
0,"AirFlow,SuplFanSpdRTU1",0.018734975898571152,-0.021216002611318233
0,"AirFlow,SuplFanStatusRTU1",,0.0033128821875656935
0,"AirFlow,UnoccClgSpRTU1",,0.003312882187565708
0,"ClgPct,BldgStaticPresRTU1",0.013621885720950157,-0.0003166396550213075
0,"ClgPct,BldgStaticPresSpRTU1",0.003655735387270329,-3.318592410174394e-16
0,"ClgPct,ClgPctRTU1",0.010484733079860597,0.07071052701925817
0,"ClgPct,ClgStgCmd01RTU1",0.0018247954291517113,0.07762545905966435
0,"ClgPct,EffSuplAirTempSpRTU1",0.026523018859426522,0.03456855411826952
0,"ClgPct,ExhFanSpdRTU1",-0.00690722009879407,-0.006892139372550195
0,"ClgPct,OutAirDmprFbkRTU1",0.035765337665757374,-0.02596291571049992
0,"ClgPct,OutAirFlowRTU1",-0.013175429804545056,
0,"ClgPct,OutAirTempRTU1",0.15560086651720598,0.15331636551241945
0,"ClgPct,RmTempRTU1",0.2873297109748824,0.23730470538241258
0,"ClgPct,SuplAirStaticPresRTU1",0.2168139728457736,0.012163352433294928
0,"ClgPct,SuplAirTempRTU1",0.24758342259823016,0.17959017781094416
0,"ClgPct,SuplFanSpdRTU1",0.019274521161772397,-0.019710741277783016
0,"ClgPct,SuplFanStatusRTU1",,0.003654086525699477
0,"ClgPct,UnoccClgSpRTU1",,0.0036540865256995112
0,"DmprPos,BldgStaticPresRTU1",0.021155001056964644,0.026116287705313223
0,"DmprPos,BldgStaticPresSpRTU1",0.014164836883064254,-1.063410413833515e-16
0,"DmprPos,ClgPctRTU1",-0.2766774536221075,-0.18606883122796072
0,"DmprPos,ClgStgCmd01RTU1",-0.2648016123982701,-0.11410893349851524
0,"DmprPos,EffSuplAirTempSpRTU1",0.0831232787458144,-0.0005397510592763424
0,"DmprPos,ExhFanSpdRTU1",0.003532464191637327,-0.008440531665743795
0,"DmprPos,OutAirDmprFbkRTU1",-0.14962910173116456,-0.21813265937263074
0,"DmprPos,OutAirFlowRTU1",0.27131988846024063,
0,"DmprPos,OutAirTempRTU1",-0.21571768875610664,-0.20574504586649117
0,"DmprPos,RmTempRTU1",0.2907832481973713,0.16522674424533373
0,"DmprPos,SuplAirStaticPresRTU1",-0.12800479930934464,-0.2420629866288465
0,"DmprPos,SuplAirTempRTU1",0.06559154489918102,0.046439848922451725
0,"DmprPos,SuplFanSpdRTU1",0.11136103696077496,-0.026862986142715595
0,"DmprPos,SuplFanStatusRTU1",,0.014168151619920714
0,"DmprPos,UnoccClgSpRTU1",,0.014168151619920692
0,"DschAirTemp,BldgStaticPresRTU1",-0.0009835232752847126,-0.0075548902512437
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.013432086230117794,1.3166790618948763e-15
0,"DschAirTemp,ClgPctRTU1",-0.5720438828127203,-0.2951425805930849
0,"DschAirTemp,ClgStgCmd01RTU1",-0.4476984874012817,-0.28106925626380397
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.16325294510784616,0.17909396948662992
0,"DschAirTemp,ExhFanSpdRTU1",-0.011904664484718644,-0.019180608604859976
