,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.022507101097992914,-0.011007834119496766
0,"AirFlow,BldgStaticPresSpRTU1",-0.00782171479826148,5.661447828207462e-15
0,"AirFlow,ClgPctRTU1",0.021755881606891743,0.0023640174651667904
0,"AirFlow,ClgStgCmd01RTU1",0.01191150345647911,-0.002728916420247058
0,"AirFlow,EffSuplAirTempSpRTU1",-0.013644062898177886,0.009452182552511205
0,"AirFlow,ExhFanSpdRTU1",0.010509026263581368,-0.0044914725947488784
0,"AirFlow,OutAirDmprFbkRTU1",0.03811647444199093,0.01996605660387409
0,"AirFlow,OutAirFlowRTU1",-0.017740586201967674,
0,"AirFlow,OutAirTempRTU1",0.02563158151814526,0.02610180103498692
0,"AirFlow,RmTempRTU1",-0.010079547393387914,0.005691879777531644
0,"AirFlow,SuplAirStaticPresRTU1",0.004383130851459566,0.024961019695687175
0,"AirFlow,SuplAirTempRTU1",0.012020923914491229,0.015174661542559888
0,"AirFlow,SuplFanSpdRTU1",0.0027293551918332395,0.006582773363954025
0,"AirFlow,SuplFanStatusRTU1",,-0.007822289113167123
0,"AirFlow,UnoccClgSpRTU1",,-0.007822289113167184
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",-0.0023497777501063255,-0.06800440352763597
0,"DmprPos,BldgStaticPresSpRTU1",0.004778487306377783,4.917231112630494e-16
0,"DmprPos,ClgPctRTU1",0.36815994653898004,0.22764072734322743
0,"DmprPos,ClgStgCmd01RTU1",0.36615720097693866,0.19467267323655485
0,"DmprPos,EffSuplAirTempSpRTU1",-0.3661638514502341,0.15000386383903427
0,"DmprPos,ExhFanSpdRTU1",-0.0021718118127453615,-0.0018889597618510759
0,"DmprPos,OutAirDmprFbkRTU1",0.37951302676708365,0.21900965818212254
0,"DmprPos,OutAirFlowRTU1",-0.20932473652705927,
0,"DmprPos,OutAirTempRTU1",0.47629201451244113,0.4657895559713836
0,"DmprPos,RmTempRTU1",0.03498453216213641,0.20469536773870664
0,"DmprPos,SuplAirStaticPresRTU1",0.07144494841132548,0.2243455076754735
0,"DmprPos,SuplAirTempRTU1",0.22636791708542434,0.2979590559388211
0,"DmprPos,SuplFanSpdRTU1",0.050817422859196736,0.019555038620167327
0,"DmprPos,SuplFanStatusRTU1",,0.004786046282110892
0,"DmprPos,UnoccClgSpRTU1",,0.004786046282110907
0,"DschAirTemp,BldgStaticPresRTU1",-0.005618357481646993,-0.011283713553058624
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.013247894428732547,2.7366991837137412e-15
0,"DschAirTemp,ClgPctRTU1",-0.3172439543646866,-0.2808058841520511
0,"DschAirTemp,ClgStgCmd01RTU1",-0.2251037989292582,-0.23577523973258288
0,"DschAirTemp,EffSuplAirTempSpRTU1",-0.007057143490983826,0.13030206619562798
0,"DschAirTemp,ExhFanSpdRTU1",0.0016545723938480447,-0.014941398096614215
0,"DschAirTemp,OutAirDmprFbkRTU1",0.2970247215333693,-0.04724945125193722
0,"DschAirTemp,OutAirFlowRTU1",0.008453107296810838,
0,"DschAirTemp,OutAirTempRTU1",0.05633139430608362,0.03297866550513555
0,"DschAirTemp,RmTempRTU1",0.5252393001276904,0.24042340601495904
0,"DschAirTemp,SuplAirStaticPresRTU1",0.07892166408840197,-0.043074933701015096
0,"DschAirTemp,SuplAirTempRTU1",0.5585055030764069,0.3367973804421404
0,"DschAirTemp,SuplFanSpdRTU1",0.03372449033497242,-0.003927381409096028
0,"DschAirTemp,SuplFanStatusRTU1",,-0.013251386546903885
0,"DschAirTemp,UnoccClgSpRTU1",,-0.013251386546903951
0,"EffAirflowSp,BldgStaticPresRTU1",-2.0483815802589697e-17,1.2236163118767455e-16
0,"EffAirflowSp,BldgStaticPresSpRTU1",1.3861445119765919e-14,1.0
0,"EffAirflowSp,ClgPctRTU1",2.9086135884928826e-16,-1.9326950468403337e-16
0,"EffAirflowSp,ClgStgCmd01RTU1",-1.3382463867520574e-15,-1.048406159384359e-15
0,"EffAirflowSp,EffSuplAirTempSpRTU1",3.573122640892571e-15,1.2682435788097448e-14
0,"EffAirflowSp,ExhFanSpdRTU1",-2.7607439945725937e-16,-1.5683388882779814e-16
0,"EffAirflowSp,OutAirDmprFbkRTU1",5.086819806815672e-16,-1.0943816415618574e-15
0,"EffAirflowSp,OutAirFlowRTU1",-3.140578148571669e-16,
0,"EffAirflowSp,OutAirTempRTU1",-4.2247103882819135e-16,1.133339738330044e-16
0,"EffAirflowSp,RmTempRTU1",1.9060061282894875e-14,4.570568930035427e-16
0,"EffAirflowSp,SuplAirStaticPresRTU1",-3.498383217635608e-16,-6.494583812817778e-17
0,"EffAirflowSp,SuplAirTempRTU1",7.238087444998914e-16,1.247074856160484e-15
0,"EffAirflowSp,SuplFanSpdRTU1",-9.88334282125649e-16,-9.392752435796139e-14
0,"EffAirflowSp,SuplFanStatusRTU1",,-2.1242172357604144e-14
0,"EffAirflowSp,UnoccClgSpRTU1",,-1.8695246276729193e-14
0,"EffSp,BldgStaticPresRTU1",,
0,"EffSp,BldgStaticPresSpRTU1",,
0,"EffSp,ClgPctRTU1",,
0,"EffSp,ClgStgCmd01RTU1",,
0,"EffSp,EffSuplAirTempSpRTU1",,
0,"EffSp,ExhFanSpdRTU1",,
0,"EffSp,OutAirDmprFbkRTU1",,
0,"EffSp,OutAirFlowRTU1",,
0,"EffSp,OutAirTempRTU1",,
0,"EffSp,RmTempRTU1",,
0,"EffSp,SuplAirStaticPresRTU1",,
0,"EffSp,SuplAirTempRTU1",,
0,"EffSp,SuplFanSpdRTU1",,
0,"EffSp,SuplFanStatusRTU1",,
0,"EffSp,UnoccClgSpRTU1",,
0,"HtgPct,BldgStaticPresRTU1",-0.0008268467449000591,0.002667846485080417
0,"HtgPct,BldgStaticPresSpRTU1",-0.0047607386536073215,-3.931363512980363e-16
0,"HtgPct,ClgPctRTU1",-0.1451337803072958,-0.24487292865410373
0,"HtgPct,ClgStgCmd01RTU1",-0.10806781081329704,-0.19228229133634758
0,"HtgPct,EffSuplAirTempSpRTU1",-0.1195560813352056,-0.045219423413160806
0,"HtgPct,ExhFanSpdRTU1",0.007485420335833677,-0.023028034590243197
0,"HtgPct,OutAirDmprFbkRTU1",-0.019946741426701404,-0.10436969012286838
0,"HtgPct,OutAirFlowRTU1",0.11350112797162971,
0,"HtgPct,OutAirTempRTU1",-0.2426478938367349,-0.24305924748351412
0,"HtgPct,RmTempRTU1",-0.09002420201225148,-0.16589530415370551
0,"HtgPct,SuplAirStaticPresRTU1",-0.2600946410171852,-0.09583911694832958
0,"HtgPct,SuplAirTempRTU1",-0.1687945543929091,-0.12182952634894724
0,"HtgPct,SuplFanSpdRTU1",0.0455774348575692,-0.004767567941547077
0,"HtgPct,SuplFanStatusRTU1",,-0.004767567941546981
0,"HtgPct,UnoccClgSpRTU1",,-0.004767567941547007
0,"OccClgSp,BldgStaticPresRTU1",,
0,"OccClgSp,BldgStaticPresSpRTU1",,
0,"OccClgSp,ClgPctRTU1",,
0,"OccClgSp,ClgStgCmd01RTU1",,
0,"OccClgSp,EffSuplAirTempSpRTU1",,
0,"OccClgSp,ExhFanSpdRTU1",,
0,"OccClgSp,OutAirDmprFbkRTU1",,
0,"OccClgSp,OutAirFlowRTU1",,
