,0
ClgPct,
HtgPct,
RmTemp,0.34260124840761536
UnoccClgSp,
UnoccHtgSp,
AirFlow,
BldgStaticPres,
BldgStaticPresSp,
ClgStgCmd01,
ClgStgCmd02,
DmprPos,
DschAirTemp,
EconEna,
EconEnaSp,
EffAirflowSp,
EffRmSp,
EffSp,
EffSuplAirTempSp,
ExhAirDmprFbk,
ExhFanSpd,
FltAlm,
HtgAlm,
HtgStgCmd01,
HtgStgCmd02,
OccClgSp,
OccCmd,
OccHtgSp,
OccStatus,
OutAirDmprFbk,
OutAirFlow,
OutAirTemp,
RmCo2,
RmSp,
StbyClgSp,
StbyHtgSp,
SuplAirHtgSp,
SuplAirStaticPres,
SuplAirTemp,
SuplAirTempAlm,
SuplAirTempSp,
SuplFanAlm,
SuplFanSpd,
SuplFanStatus,
SuplFanSts,
