,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",0.00035271257426985853,0.004242026072810766
0,"AirFlow,BldgStaticPresSpRTU1",-0.008811460037489312,7.123504242526253e-16
0,"AirFlow,ClgPctRTU1",0.04019293861771429,0.022188519103266083
0,"AirFlow,ClgStgCmd01RTU1",0.029937420193397218,0.017848117153837707
0,"AirFlow,EffSuplAirTempSpRTU1",-0.0034861003816860667,-0.0014809383034172573
0,"AirFlow,ExhFanSpdRTU1",0.0036534853664994915,0.00030494289944661755
0,"AirFlow,OutAirDmprFbkRTU1",-0.00017409213019989577,0.029425138993553503
0,"AirFlow,OutAirFlowRTU1",-0.02080869210978685,
0,"AirFlow,OutAirTempRTU1",0.004348264614731441,0.0045800586341315196
0,"AirFlow,RmTempRTU1",-0.0819291492779013,-0.0509363702947039
0,"AirFlow,SuplAirStaticPresRTU1",-0.00953513765431374,0.03528081168169581
0,"AirFlow,SuplAirTempRTU1",-0.0536147759211231,-0.0428670225703426
0,"AirFlow,SuplFanSpdRTU1",-0.005433742655178367,-0.004197435833422998
0,"AirFlow,SuplFanStatusRTU1",,-0.008814919598499248
0,"AirFlow,UnoccClgSpRTU1",,-0.008814919598499284
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.011055475977915813,0.1227307651443381
0,"DmprPos,BldgStaticPresSpRTU1",0.0035405704838441967,-2.85998061278333e-16
