,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.011887533848808895,-0.022272961584233617
0,"AirFlow,BldgStaticPresSpRTU1",-0.012048272060304337,5.8441389135153296e-15
0,"AirFlow,ClgPctRTU1",0.03159924800987278,0.0034242996168886504
0,"AirFlow,ClgStgCmd01RTU1",0.02535806303318471,-0.01217390484639476
0,"AirFlow,EffSuplAirTempSpRTU1",-0.020538866268071703,-0.01327042703162804
0,"AirFlow,ExhFanSpdRTU1",-0.014377711348126125,0.00017029511649551982
0,"AirFlow,OutAirDmprFbkRTU1",0.02947579449166154,0.05856850867415319
0,"AirFlow,OutAirFlowRTU1",-0.05080874779291684,
0,"AirFlow,OutAirTempRTU1",0.032782559298549806,0.034775770701016256
0,"AirFlow,RmTempRTU1",-0.007351647812953753,-0.004263048988139563
0,"AirFlow,SuplAirStaticPresRTU1",-0.0010323570375250595,0.07398067569475515
0,"AirFlow,SuplAirTempRTU1",0.015386237700722415,0.024297720293976206
0,"AirFlow,SuplFanSpdRTU1",-0.03179232415801315,-0.01994955674049287
0,"AirFlow,SuplFanStatusRTU1",,-0.012033984908399848
0,"AirFlow,UnoccClgSpRTU1",,-0.012033984908399888
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.020393069501193614,0.07096722422043694
0,"DmprPos,BldgStaticPresSpRTU1",-0.0009679577739940888,-5.892407615746093e-16
0,"DmprPos,ClgPctRTU1",-0.1587525125118334,-0.14089965101398758
0,"DmprPos,ClgStgCmd01RTU1",-0.10466297190278627,-0.11955335213558099
0,"DmprPos,EffSuplAirTempSpRTU1",0.0768953315315006,-0.14370927584099158
0,"DmprPos,ExhFanSpdRTU1",-0.004114692950064368,-0.02046661436504157
0,"DmprPos,OutAirDmprFbkRTU1",-0.29091945037251804,-0.1711696712238254
0,"DmprPos,OutAirFlowRTU1",0.16122871625603435,
0,"DmprPos,OutAirTempRTU1",-0.4046357036962949,-0.38757794881545554
0,"DmprPos,RmTempRTU1",-0.2660649940068635,-0.27863088928718976
0,"DmprPos,SuplAirStaticPresRTU1",-0.47621099869331873,-0.18473037668191503
0,"DmprPos,SuplAirTempRTU1",-0.42132114981564844,-0.33708587880741725
0,"DmprPos,SuplFanSpdRTU1",0.03749872142716107,-0.018247773646835254
0,"DmprPos,SuplFanStatusRTU1",,-0.0009735748861291388
0,"DmprPos,UnoccClgSpRTU1",,-0.0009735748861291226
0,"DschAirTemp,BldgStaticPresRTU1",-0.002793206039121717,-0.006220392923730311
0,"DschAirTemp,BldgStaticPresSpRTU1",-0.004890194807706424,-1.5250033677686142e-15
0,"DschAirTemp,ClgPctRTU1",-0.2127227079929968,-0.09458803035741303
0,"DschAirTemp,ClgStgCmd01RTU1",-0.1743688444016658,-0.05821221939177943
0,"DschAirTemp,EffSuplAirTempSpRTU1",0.057542405982970536,-0.21264409113156835
0,"DschAirTemp,ExhFanSpdRTU1",-0.01800922902093926,-0.020006932134674055
0,"DschAirTemp,OutAirDmprFbkRTU1",-0.20818654586241736,-0.22847278428857135
0,"DschAirTemp,OutAirFlowRTU1",0.25073529092796326,
0,"DschAirTemp,OutAirTempRTU1",-0.3871272241173062,-0.38236205908887927
0,"DschAirTemp,RmTempRTU1",-0.3718009334843086,-0.47179848286218723
0,"DschAirTemp,SuplAirStaticPresRTU1",-0.27070449906824345,-0.21233546568082437
0,"DschAirTemp,SuplAirTempRTU1",-0.32942696251668874,-0.5265269627508291
0,"DschAirTemp,SuplFanSpdRTU1",0.04526521744719607,0.004713052525313507
0,"DschAirTemp,SuplFanStatusRTU1",,-0.004894941596246972
0,"DschAirTemp,UnoccClgSpRTU1",,-0.004894941596246991
0,"EffAirflowSp,BldgStaticPresRTU1",-2.0483815802589697e-17,1.2236163118767455e-16
0,"EffAirflowSp,BldgStaticPresSpRTU1",1.3861445119765919e-14,1.0
0,"EffAirflowSp,ClgPctRTU1",2.9086135884928826e-16,-1.9326950468403337e-16
0,"EffAirflowSp,ClgStgCmd01RTU1",-1.3382463867520574e-15,-1.048406159384359e-15
0,"EffAirflowSp,EffSuplAirTempSpRTU1",3.573122640892571e-15,1.2682435788097448e-14
0,"EffAirflowSp,ExhFanSpdRTU1",-2.7607439945725937e-16,-1.5683388882779814e-16
0,"EffAirflowSp,OutAirDmprFbkRTU1",5.086819806815672e-16,-1.0943816415618574e-15
0,"EffAirflowSp,OutAirFlowRTU1",-3.140578148571669e-16,
