,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.011217249641989361,-0.005223771961952213
0,"AirFlow,BldgStaticPresSpRTU1",-0.023927765488645097,7.088036971319978e-15
0,"AirFlow,ClgPctRTU1",0.022865345190916108,0.014151354031697672
0,"AirFlow,ClgStgCmd01RTU1",0.01857003567258197,0.0023347031193077443
0,"AirFlow,EffSuplAirTempSpRTU1",-0.007520473595212192,-0.03718400470902227
0,"AirFlow,ExhFanSpdRTU1",-0.004220811967497408,0.013339053529155912
0,"AirFlow,OutAirDmprFbkRTU1",-0.07042078489615251,0.024455542764767205
0,"AirFlow,OutAirFlowRTU1",-0.01938456095754648,
0,"AirFlow,OutAirTempRTU1",-0.05006658887650802,-0.041072621682490186
0,"AirFlow,RmTempRTU1",-0.09421550372812286,-0.08436813612617317
0,"AirFlow,SuplAirStaticPresRTU1",-0.060085395588656776,0.03318940309739265
0,"AirFlow,SuplAirTempRTU1",-0.10282491968272452,-0.07980127084289006
0,"AirFlow,SuplFanSpdRTU1",-0.037167885681604285,-0.018911963579019603
0,"AirFlow,SuplFanStatusRTU1",,-0.023918288689475747
0,"AirFlow,UnoccClgSpRTU1",,-0.023918288689475813
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.02545752279993794,-2.8440865597383777e-05
0,"DmprPos,BldgStaticPresSpRTU1",0.009670406365342703,-1.0147717021747789e-15
0,"DmprPos,ClgPctRTU1",0.19499159635027613,0.03806408172667277
0,"DmprPos,ClgStgCmd01RTU1",0.24300926276289106,0.06055424581137264
0,"DmprPos,EffSuplAirTempSpRTU1",-0.3793590134389788,0.022110714866567717
0,"DmprPos,ExhFanSpdRTU1",-0.005144731985236363,-0.035210942250178956
0,"DmprPos,OutAirDmprFbkRTU1",0.11024469839882373,0.034263487637860315
