,variables,RTU1Corr,RTU2Corr
0,"AirFlow,BldgStaticPresRTU1",-0.003383045038002583,0.006234144285093274
0,"AirFlow,BldgStaticPresSpRTU1",-0.02103689717307473,1.1306426557349008e-14
0,"AirFlow,ClgPctRTU1",-0.08174908898259595,-0.07972796748058153
0,"AirFlow,ClgStgCmd01RTU1",-0.07678955013105923,-0.08220780899015522
0,"AirFlow,EffSuplAirTempSpRTU1",-0.010066710687036491,-0.0736990359209411
0,"AirFlow,ExhFanSpdRTU1",-0.02131281845916501,-0.0022722832492040575
0,"AirFlow,OutAirDmprFbkRTU1",-0.09032499302517338,-0.04144870728424941
0,"AirFlow,OutAirFlowRTU1",0.04460774437421521,
0,"AirFlow,OutAirTempRTU1",-0.17463811103646895,-0.16689710053007062
0,"AirFlow,RmTempRTU1",-0.09819718117494425,-0.15478342860397695
0,"AirFlow,SuplAirStaticPresRTU1",-0.15931300551533578,-0.02961866313562747
0,"AirFlow,SuplAirTempRTU1",-0.14724241816802472,-0.14872906660561117
0,"AirFlow,SuplFanSpdRTU1",-0.02494134448545955,-0.015797799506496946
0,"AirFlow,SuplFanStatusRTU1",,-0.021029344928030602
0,"AirFlow,UnoccClgSpRTU1",,-0.021029344928030692
0,"ClgPct,BldgStaticPresRTU1",,
0,"ClgPct,BldgStaticPresSpRTU1",,
0,"ClgPct,ClgPctRTU1",,
0,"ClgPct,ClgStgCmd01RTU1",,
0,"ClgPct,EffSuplAirTempSpRTU1",,
0,"ClgPct,ExhFanSpdRTU1",,
0,"ClgPct,OutAirDmprFbkRTU1",,
0,"ClgPct,OutAirFlowRTU1",,
0,"ClgPct,OutAirTempRTU1",,
0,"ClgPct,RmTempRTU1",,
0,"ClgPct,SuplAirStaticPresRTU1",,
0,"ClgPct,SuplAirTempRTU1",,
0,"ClgPct,SuplFanSpdRTU1",,
0,"ClgPct,SuplFanStatusRTU1",,
0,"ClgPct,UnoccClgSpRTU1",,
0,"DmprPos,BldgStaticPresRTU1",0.013135178688132751,-0.04143956408777241
0,"DmprPos,BldgStaticPresSpRTU1",0.008678383063331914,1.4944870102063397e-15
0,"DmprPos,ClgPctRTU1",0.15289045179282146,0.03248679293635424
0,"DmprPos,ClgStgCmd01RTU1",0.168319533184913,0.06407596742652731
0,"DmprPos,EffSuplAirTempSpRTU1",-0.35817981227555024,0.07982940492350844
0,"DmprPos,ExhFanSpdRTU1",-0.0030605121895812353,-0.020742643420672377
0,"DmprPos,OutAirDmprFbkRTU1",0.2003039988963516,0.04922722105846853
0,"DmprPos,OutAirFlowRTU1",-0.01107510583149904,
0,"DmprPos,OutAirTempRTU1",0.1517995036491394,0.14692001004474944
0,"DmprPos,RmTempRTU1",0.014518655331030451,0.07202897867791859
0,"DmprPos,SuplAirStaticPresRTU1",-0.30457859377250796,0.027138999658033944
0,"DmprPos,SuplAirTempRTU1",0.0243171357736064,0.11359351414255628
0,"DmprPos,SuplFanSpdRTU1",0.12694901493828778,0.010740204849260082
0,"DmprPos,SuplFanStatusRTU1",,0.00868287544923405
0,"DmprPos,UnoccClgSpRTU1",,0.008682875449234111
0,"DschAirTemp,BldgStaticPresRTU1",0.019521393630074164,0.04189542666454478
0,"DschAirTemp,BldgStaticPresSpRTU1",0.01404546679471506,-2.810519167866129e-17
0,"DschAirTemp,ClgPctRTU1",-0.5669604520127112,-0.45995754106612957
0,"DschAirTemp,ClgStgCmd01RTU1",-0.5099773429541572,-0.394525593646156
0,"DschAirTemp,EffSuplAirTempSpRTU1",-0.015758207279362942,-0.19109242492139433
0,"DschAirTemp,ExhFanSpdRTU1",-0.013105393193761318,-0.047320012356955425
0,"DschAirTemp,OutAirDmprFbkRTU1",-0.33616965531074317,-0.4460381401596173
0,"DschAirTemp,OutAirFlowRTU1",0.45443154473852126,
0,"DschAirTemp,OutAirTempRTU1",-0.7934091026742737,-0.7849906277957093
0,"DschAirTemp,RmTempRTU1",-0.19450564225916472,-0.469313597609508
0,"DschAirTemp,SuplAirStaticPresRTU1",-0.6466182349570546,-0.4591445025932672
0,"DschAirTemp,SuplAirTempRTU1",-0.4451284516777786,-0.5504719389238419
0,"DschAirTemp,SuplFanSpdRTU1",0.06339313326116887,0.0049251297609856194
0,"DschAirTemp,SuplFanStatusRTU1",,0.01403429307510471
0,"DschAirTemp,UnoccClgSpRTU1",,0.014034293075104738
0,"EffAirflowSp,BldgStaticPresRTU1",0.0012054132423237928,0.020056197181467016
0,"EffAirflowSp,BldgStaticPresSpRTU1",0.004750442237738365,-1.336566675841899e-14
0,"EffAirflowSp,ClgPctRTU1",-0.18382975977941715,-0.11196085678716283
0,"EffAirflowSp,ClgStgCmd01RTU1",-0.16551431897060756,-0.09497561431421782
0,"EffAirflowSp,EffSuplAirTempSpRTU1",0.1432911106011356,-0.3293770504924214
0,"EffAirflowSp,ExhFanSpdRTU1",-0.008975581278919377,-0.008955902283815036
0,"EffAirflowSp,OutAirDmprFbkRTU1",-0.3204513721785999,-0.1886826705559196
0,"EffAirflowSp,OutAirFlowRTU1",0.24402982292879336,
0,"EffAirflowSp,OutAirTempRTU1",-0.5316093476816024,-0.5103824413901229
0,"EffAirflowSp,RmTempRTU1",-0.5201592383245182,-0.5714389412682594
0,"EffAirflowSp,SuplAirStaticPresRTU1",-0.2959945276801994,-0.17503291358202147
0,"EffAirflowSp,SuplAirTempRTU1",-0.6012468894757214,-0.661451420130745
0,"EffAirflowSp,SuplFanSpdRTU1",0.028382437060250995,0.004748255961147384
0,"EffAirflowSp,SuplFanStatusRTU1",,0.004748255961147358
0,"EffAirflowSp,UnoccClgSpRTU1",,0.004748255961147314
0,"EffSp,BldgStaticPresRTU1",0.03348633089157434,0.015696518401063713
0,"EffSp,BldgStaticPresSpRTU1",-0.0025076986565258134,-3.233403355499033e-12
0,"EffSp,ClgPctRTU1",0.00824820820763776,0.018877237589377212
0,"EffSp,ClgStgCmd01RTU1",0.004080505480130498,0.022593779575959174
0,"EffSp,EffSuplAirTempSpRTU1",-0.007741703547137377,-0.01323542510305845
0,"EffSp,ExhFanSpdRTU1",0.00473809636834989,0.0047277849807869105
0,"EffSp,OutAirDmprFbkRTU1",0.014636986828025248,0.007364284492510584
0,"EffSp,OutAirFlowRTU1",-0.013617756600122564,
0,"EffSp,OutAirTempRTU1",0.02245695159953255,0.021731153345884362
0,"EffSp,RmTempRTU1",0.011284823405148161,0.013614415046732
0,"EffSp,SuplAirStaticPresRTU1",0.021360694166375822,0.005238664941974249
0,"EffSp,SuplAirTempRTU1",0.01842720619527092,0.007473403170607119
0,"EffSp,SuplFanSpdRTU1",-0.010293394334187437,-0.002506585322911933
0,"EffSp,SuplFanStatusRTU1",,-0.0025065853229119324
0,"EffSp,UnoccClgSpRTU1",,-0.002506585322911903
0,"HtgPct,BldgStaticPresRTU1",0.016452069290632487,0.04214550433162117
0,"HtgPct,BldgStaticPresSpRTU1",0.013944987907832872,5.172177226362082e-16
0,"HtgPct,ClgPctRTU1",-0.39273803535615787,-0.35887601110711786
0,"HtgPct,ClgStgCmd01RTU1",-0.3755314432841619,-0.3006371554784078
0,"HtgPct,EffSuplAirTempSpRTU1",-0.007040306370843601,-0.2604652006484125
0,"HtgPct,ExhFanSpdRTU1",-0.01010900810065332,-0.03750412933915245
0,"HtgPct,OutAirDmprFbkRTU1",-0.398106991355256,-0.35727019075973127
0,"HtgPct,OutAirFlowRTU1",0.39384269837086494,
0,"HtgPct,OutAirTempRTU1",-0.7837732742296061,-0.766089118488518
0,"HtgPct,RmTempRTU1",-0.4555147126264786,-0.5998720457740631
0,"HtgPct,SuplAirStaticPresRTU1",-0.6264101209087005,-0.3637917766744716
0,"HtgPct,SuplAirTempRTU1",-0.6841294504290658,-0.6822079003981107
0,"HtgPct,SuplFanSpdRTU1",0.043263610439005146,0.005968171612024589
0,"HtgPct,SuplFanStatusRTU1",,0.013938720784516485
0,"HtgPct,UnoccClgSpRTU1",,0.013938720784516537
0,"OccClgSp,BldgStaticPresRTU1",,
0,"OccClgSp,BldgStaticPresSpRTU1",,
0,"OccClgSp,ClgPctRTU1",,
0,"OccClgSp,ClgStgCmd01RTU1",,
0,"OccClgSp,EffSuplAirTempSpRTU1",,
0,"OccClgSp,ExhFanSpdRTU1",,
0,"OccClgSp,OutAirDmprFbkRTU1",,
0,"OccClgSp,OutAirFlowRTU1",,
0,"OccClgSp,OutAirTempRTU1",,
0,"OccClgSp,RmTempRTU1",,
0,"OccClgSp,SuplAirStaticPresRTU1",,
0,"OccClgSp,SuplAirTempRTU1",,
0,"OccClgSp,SuplFanSpdRTU1",,
