time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,Room_Temperature_Diff,SaTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 14:30:00,472.51,,0.0,6.0,91.85,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.20500000000001,,57.655,84.0,69.0,78.0,68.0,,
2025-01-27 14:45:00,487.34,-14.840000000000032,0.0,5.833333333333333,91.98666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.32666666666667,-12.229999999999997,58.169999999999995,84.0,69.0,78.0,68.0,,
2025-01-27 15:00:00,473.92333333333335,8.46999999999997,0.0,6.0,92.34666666666668,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.47,-11.729999999999997,58.52333333333333,84.0,69.0,78.0,68.0,,
2025-01-27 15:15:00,477.4533333333333,-8.480000000000018,0.0,6.0,92.57666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.50333333333333,-11.299999999999997,59.00333333333333,84.0,69.0,78.0,68.0,,
2025-01-27 15:30:00,480.9866666666667,6.349999999999966,0.0,6.0,92.79666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.41000000000001,-10.829999999999998,59.35333333333333,84.0,69.0,78.0,68.0,,
2025-01-27 15:45:00,473.2166666666667,10.589999999999975,0.0,6.333333333333333,93.08666666666666,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.39,-10.509999999999998,59.79333333333333,84.0,69.0,78.0,68.0,,
2025-01-27 16:00:00,484.51666666666665,-8.480000000000018,0.0,6.5,93.31,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.4,-10.11,60.06333333333333,84.0,69.0,78.0,68.0,,
2025-01-27 16:15:00,477.4533333333333,4.230000000000018,0.0,6.5,93.47666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.24,-9.759999999999998,60.32333333333333,84.0,69.0,78.0,68.0,,
2025-01-27 16:30:00,489.46000000000004,-8.480000000000018,0.0,6.333333333333333,93.72666666666667,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.02333333333333,-9.509999999999998,60.73333333333333,84.0,69.0,78.0,68.0,,
2025-01-27 16:45:00,474.6266666666667,25.420000000000016,0.0,6.5,93.93333333333334,480.99,0.0,70.0,100.0,74.0,0.0,70.0,72.0,69.00333333333333,-9.009999999999998,61.080000000000005,84.0,69.0,78.0,68.0,,
