time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTemp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 14:30:00,905.825,,0.0,96.25,60.89,900.52,0.0,70.0,100.0,73.99,0.0,70.0,491.0,72.0,66.94999999999999,,57.655,66.97,68.99,68.0,68.0,,
2025-01-27 14:45:00,901.9399999999999,14.840000000000032,0.0,96.16666666666667,61.28,900.52,0.0,70.0,100.0,73.99,0.0,70.0,490.3333333333333,72.0,67.02,-12.229999999999997,58.169999999999995,66.97,68.99,68.0,68.0,,
2025-01-27 15:00:00,905.4666666666667,-8.470000000000027,0.0,96.5,61.656666666666666,900.52,0.0,70.0,100.0,73.99,0.0,70.0,488.3333333333333,72.0,67.11333333333333,-11.729999999999997,58.52666666666667,66.97,68.99,68.0,68.0,,
2025-01-27 15:15:00,908.2933333333334,0.0,0.0,96.66666666666667,62.04333333333333,900.52,0.0,70.0,100.0,73.99,0.0,70.0,488.0,72.0,67.22666666666667,-11.299999999999997,59.0,66.97,68.99,68.0,68.0,,
2025-01-27 15:30:00,899.82,-8.470000000000027,0.0,96.5,62.43,900.52,0.0,70.0,100.0,73.99,0.0,70.0,503.0,72.0,67.27666666666666,-10.829999999999998,59.35333333333333,66.97,68.99,68.0,68.0,,
2025-01-27 15:45:00,904.0533333333333,-6.350000000000023,0.0,97.0,62.78,900.52,0.0,70.0,100.0,73.99,0.0,70.0,509.6666666666667,72.0,67.45666666666666,-10.509999999999998,59.79333333333333,66.97,68.99,68.0,68.0,,
2025-01-27 16:00:00,895.5799999999999,2.1200000000000045,0.0,97.0,63.086666666666666,900.52,0.0,70.0,100.0,73.99,0.0,70.0,510.3333333333333,72.0,67.54,-10.11,60.07,66.97,68.99,68.0,68.0,,
2025-01-27 16:15:00,911.1166666666667,-16.949999999999932,0.0,97.16666666666667,63.330000000000005,900.52,0.0,70.0,100.0,73.99,0.0,70.0,507.6666666666667,72.0,67.67,-9.759999999999998,60.32333333333333,66.97,68.99,68.0,68.0,,
2025-01-27 16:30:00,895.5799999999999,2.1200000000000045,0.0,97.33333333333333,63.666666666666664,900.52,0.0,70.0,100.0,73.99,0.0,70.0,505.0,72.0,67.77333333333333,-9.509999999999998,60.73,66.97,68.99,68.0,68.0,,
2025-01-27 16:45:00,901.9366666666666,-4.230000000000018,0.0,97.5,63.96666666666667,900.52,0.0,70.0,100.0,73.99,0.0,70.0,503.3333333333333,72.0,67.84333333333333,-9.020000000000003,61.076666666666675,66.97,68.99,68.0,68.0,,
2025-01-27 17:00:00,895.5833333333334,-4.230000000000018,0.0,97.5,64.12333333333333,900.52,0.0,70.0,100.0,73.99,0.0,70.0,503.6666666666667,72.0,67.94666666666666,-8.869999999999997,61.17333333333334,66.97,68.99,68.0,68.0,,
2025-01-27 17:15:00,895.5799999999999,-4.230000000000018,0.0,97.66666666666667,64.38333333333334,900.52,0.0,70.0,100.0,73.99,0.0,70.0,507.6666666666667,72.0,68.06333333333333,-8.75,61.44333333333333,66.97,68.99,68.0,68.0,,
2025-01-27 17:30:00,908.2933333333334,-21.17999999999995,0.0,98.16666666666667,64.58,900.52,0.0,70.0,100.0,73.99,0.0,70.0,509.0,72.0,68.17666666666666,-8.439999999999998,61.66,66.97,68.99,68.0,68.0,,
2025-01-27 17:45:00,892.05,-6.350000000000023,0.0,98.25,64.885,900.52,0.0,70.0,100.0,73.99,0.0,70.0,511.0,72.0,68.44,-8.170000000000002,62.040000000000006,66.97,68.99,68.0,68.0,,
2025-01-27 18:00:00,,-8.470000000000027,,,,,,,,,,,,,,-7.939999999999998,,,,,,,
2025-01-27 18:15:00,,-8.470000000000027,,,,,,,,,,,,,,-7.939999999999998,,,,,,,
2025-01-27 18:30:00,898.41,-8.470000000000027,0.0,98.5,65.41,900.52,0.0,70.0,100.0,73.99,0.0,70.0,571.0,72.0,68.86,-7.939999999999998,,66.97,68.99,68.0,68.0,,
2025-01-27 18:45:00,896.285,-2.1100000000000136,0.0,98.75,65.75999999999999,900.52,0.0,70.0,100.0,73.99,0.0,70.0,564.0,72.0,69.0,-1.1400000000000006,,66.97,68.99,68.0,68.0,,
2025-01-27 19:00:00,,2.1200000000000045,,,,,,,,,,,,,,-0.9899999999999949,,,,,,,
2025-01-27 19:15:00,906.88,2.1200000000000045,0.0,99.5,65.95,900.52,0.0,70.0,100.0,73.99,0.0,70.0,563.0,72.0,69.15,-0.9899999999999949,,66.97,68.99,68.0,68.0,,
2025-01-27 19:30:00,,6.360000000000014,,,,,,,,,,,,,,-0.8499999999999943,,,,,,,
2025-01-27 19:45:00,889.93,6.360000000000014,0.0,95.0,65.98,900.52,0.0,70.0,100.0,73.99,0.0,70.0,540.0,72.0,69.15,-0.8499999999999943,,66.97,68.99,68.0,68.0,,
2025-01-27 20:00:00,,-10.590000000000032,,,,,,,,,,,,,,-0.8499999999999943,,,,,,,
2025-01-27 20:15:00,898.41,-10.590000000000032,0.0,94.5,66.09,900.52,0.0,70.0,100.0,73.99,0.0,70.0,540.0,72.0,69.21,-0.8499999999999943,,66.97,68.99,68.0,68.0,,
2025-01-27 20:30:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 20:45:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 21:00:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 21:15:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 21:30:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 21:45:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 22:00:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 22:15:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 22:30:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 22:45:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 23:00:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 23:15:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 23:30:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-27 23:45:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-28 00:00:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-28 00:15:00,,-2.1100000000000136,,,,,,,,,,,,,,-0.7900000000000063,,,,,,,
2025-01-28 14:30:00,902.64,,0.0,95.5,64.375,900.52,0.0,70.0,100.0,73.99,0.0,70.0,496.0,72.0,68.75,,,66.97,68.99,68.0,68.0,,
2025-01-28 14:45:00,901.9366666666666,,0.0,95.5,64.62,900.52,0.0,70.0,100.0,73.99,0.0,70.0,495.6666666666667,72.0,68.85666666666667,,,66.97,68.99,68.0,68.0,,
2025-01-28 15:00:00,908.2933333333334,,0.0,95.66666666666667,64.84,900.52,0.0,70.0,100.0,73.99,0.0,70.0,494.0,72.0,68.86666666666666,,,66.97,68.99,68.0,68.0,,
2025-01-28 15:15:00,900.5233333333332,,0.0,95.5,65.05,900.52,0.0,70.0,100.0,73.99,0.0,70.0,496.3333333333333,72.0,68.91666666666667,,,66.97,68.99,68.0,68.0,,
2025-01-28 15:30:00,892.0466666666666,,0.0,95.5,65.31333333333333,900.52,0.0,70.0,100.0,73.99,0.0,70.0,505.6666666666667,72.0,68.95333333333333,,,66.97,68.99,68.0,68.0,,
2025-01-28 15:45:00,903.35,,0.0,96.0,65.57333333333334,900.52,0.0,70.0,100.0,73.99,0.0,70.0,519.6666666666666,72.0,69.11666666666666,,,66.97,68.99,68.0,68.0,,
2025-01-28 16:00:00,901.2333333333332,,0.0,96.0,65.79666666666667,900.52,0.0,70.0,100.0,73.99,0.0,70.0,515.6666666666666,72.0,69.14333333333333,,,66.97,68.99,68.0,68.0,,
2025-01-28 16:15:00,902.64,,0.0,96.33333333333333,66.14,900.52,0.0,70.0,100.0,73.99,0.0,70.0,513.3333333333334,72.0,69.21333333333332,,,66.97,68.99,68.0,68.0,,
2025-01-28 16:30:00,895.5833333333334,,0.0,96.16666666666667,66.42333333333333,900.52,0.0,70.0,100.0,73.99,0.0,70.0,507.6666666666667,72.0,69.28666666666668,,,66.97,68.99,68.0,68.0,,
2025-01-28 16:45:00,903.3533333333334,,0.0,96.66666666666667,66.64999999999999,900.52,0.0,70.0,100.0,73.99,0.0,70.0,505.0,72.0,69.35000000000001,,,66.97,68.99,68.0,68.0,,
2025-01-28 17:00:00,901.9366666666666,,0.0,96.33333333333333,66.87333333333333,900.52,0.0,70.0,100.0,73.99,0.0,70.0,504.3333333333333,72.0,69.43333333333334,,,66.97,68.99,68.0,68.0,,
2025-01-28 17:15:00,895.5799999999999,,0.0,96.83333333333333,67.19,900.52,0.0,70.0,100.0,73.99,0.0,70.0,505.0,72.0,69.51666666666667,,,66.97,68.99,68.0,68.0,,
2025-01-28 17:30:00,895.5799999999999,,0.0,97.0,67.40666666666668,900.52,0.0,70.0,100.0,73.99,0.0,70.0,513.3333333333334,72.0,69.55666666666666,,,66.97,68.99,68.0,68.0,,
2025-01-28 17:45:00,896.9933333333333,,0.0,97.16666666666667,67.73,900.52,0.0,70.0,99.99666666666667,73.99,0.0,70.0,536.6666666666666,72.0,69.85666666666667,,,66.97,68.99,68.0,68.0,,
2025-01-28 18:00:00,900.5233333333332,,0.0,93.5,67.36333333333333,900.52,0.0,70.0,94.65333333333332,73.99,0.0,70.0,600.0,72.0,70.22,,,66.97,68.99,68.0,68.0,,
2025-01-28 18:15:00,904.7633333333333,,0.0,82.33333333333333,65.50333333333333,900.52,0.0,70.0,90.16000000000001,73.99,0.0,70.0,605.3333333333334,72.0,70.32333333333334,,,66.97,68.99,68.0,68.0,,
2025-01-28 18:30:00,903.35,,0.0,80.66666666666667,65.10666666666667,900.52,0.0,70.0,90.58666666666666,73.99,0.0,70.0,577.3333333333334,72.0,70.19333333333334,,,66.97,68.99,68.0,68.0,,
2025-01-28 18:45:00,912.5300000000001,,0.0,81.0,65.02333333333333,900.52,0.0,70.0,88.62333333333333,73.99,0.0,70.0,557.3333333333334,72.0,70.22333333333334,,,66.97,68.99,68.0,68.0,,
2025-01-28 19:00:00,896.9900000000001,,0.0,80.66666666666667,65.27,900.52,0.0,70.0,88.16666666666667,73.99,0.0,70.0,545.0,72.0,70.15666666666667,,,66.97,68.99,68.0,68.0,,
2025-01-28 19:15:00,895.5799999999999,2.1200000000000045,0.0,79.16666666666667,65.14666666666666,900.52,0.0,70.0,87.99000000000001,73.99,0.0,70.0,531.0,72.0,70.12,0.12000000000000455,,66.97,68.99,68.0,68.0,,
2025-01-28 19:30:00,903.35,-19.069999999999936,0.0,78.66666666666667,65.07000000000001,900.52,0.0,70.0,87.84666666666665,73.99,0.0,70.0,522.6666666666666,72.0,70.09,0.12000000000000455,,66.97,68.99,68.0,68.0,,
2025-01-28 19:45:00,904.7633333333333,-2.1100000000000136,0.0,78.33333333333333,64.99,900.52,0.0,70.0,90.05666666666667,73.99,0.0,70.0,498.3333333333333,72.0,69.95666666666666,0.09000000000000341,,66.97,68.99,68.0,68.0,,
2025-01-28 20:00:00,892.7566666666667,10.600000000000023,0.0,78.33333333333333,65.16333333333334,900.52,0.0,70.0,90.18666666666667,73.99,0.0,70.0,488.6666666666667,72.0,69.97333333333333,-0.06999999999999318,,66.97,68.99,68.0,68.0,,
2025-01-28 20:15:00,899.8166666666666,16.960000000000036,0.0,77.0,65.16333333333334,900.52,0.0,70.0,87.10000000000001,73.99,0.0,70.0,489.3333333333333,72.0,70.10333333333334,0.0,,66.97,68.99,68.0,68.0,,
2025-01-28 20:30:00,892.7533333333334,-10.590000000000032,0.0,75.5,64.84666666666668,900.52,0.0,70.0,86.76333333333332,73.99,0.0,70.0,467.6666666666667,72.0,70.07666666666667,0.09000000000000341,,66.97,68.99,68.0,68.0,,
2025-01-28 20:45:00,899.11,6.360000000000014,0.0,75.16666666666667,64.89333333333333,900.52,0.0,70.0,86.99000000000001,73.99,0.0,70.0,452.0,72.0,70.03333333333333,0.030000000000001137,,66.97,68.99,68.0,68.0,,
2025-01-28 21:00:00,896.2866666666667,-6.350000000000023,0.0,75.0,64.89,900.52,0.0,70.0,87.98333333333333,73.99,0.0,70.0,435.6666666666667,72.0,69.98,-0.01999999999999602,,66.97,68.99,68.0,68.0,,
2025-01-28 21:15:00,902.6433333333333,-12.710000000000036,0.0,74.83333333333333,64.85666666666667,900.52,0.0,70.0,87.99000000000001,73.99,0.0,70.0,432.3333333333333,72.0,69.98,-0.01999999999999602,,66.97,68.99,68.0,68.0,,
2025-01-28 21:30:00,904.7633333333333,-2.1100000000000136,0.0,74.5,64.78,900.52,0.0,70.0,88.24666666666667,73.99,0.0,70.0,427.3333333333333,72.0,69.96666666666667,-0.01999999999999602,,66.97,68.99,68.0,68.0,,
2025-01-28 21:45:00,904.7633333333333,10.600000000000023,0.0,74.5,64.74,900.52,0.0,70.0,92.73,73.99,0.0,70.0,427.6666666666667,72.0,69.77666666666666,-0.060000000000002274,,66.97,68.99,68.0,68.0,,
2025-01-28 22:00:00,905.4666666666667,0.0,0.0,74.5,64.73,900.52,0.0,70.0,99.30666666666667,73.99,0.0,70.0,415.6666666666667,72.0,69.57666666666667,-0.3299999999999983,,66.97,68.99,68.0,68.0,,
2025-01-28 22:15:00,897.6999999999999,4.240000000000009,0.0,74.5,64.63333333333334,900.52,0.0,70.0,100.0,73.99,0.0,70.0,410.3333333333333,72.0,69.52,-0.4200000000000017,,66.97,68.99,68.0,68.0,,
2025-01-28 22:30:00,894.8766666666667,-6.350000000000023,0.0,74.5,64.49000000000001,900.52,0.0,70.0,100.0,73.99,0.0,70.0,406.6666666666667,72.0,69.45,-0.5600000000000023,,66.97,68.99,68.0,68.0,,
2025-01-28 22:45:00,894.1666666666666,-2.1100000000000136,0.0,74.5,64.18,900.52,0.0,70.0,100.0,73.99,0.0,70.0,404.6666666666667,72.0,69.38666666666667,-0.5799999999999983,,66.97,68.99,68.0,68.0,,
2025-01-28 23:00:00,907.5866666666667,-16.949999999999932,0.0,74.83333333333333,63.81333333333333,900.52,0.0,70.0,100.0,73.99,0.0,70.0,404.6666666666667,72.0,69.33333333333333,-0.5999999999999943,,66.97,68.99,68.0,68.0,,
2025-01-28 23:15:00,901.2333333333332,0.0,0.0,75.0,63.6,900.52,0.0,70.0,100.0,73.99,0.0,70.0,405.3333333333333,72.0,69.28,-0.7399999999999949,,66.97,68.99,68.0,68.0,,
2025-01-28 23:30:00,889.2266666666666,-6.350000000000023,0.0,75.5,63.43666666666667,900.52,0.0,70.0,100.0,73.99,0.0,70.0,408.0,72.0,69.3,-0.7000000000000028,,66.97,68.99,68.0,68.0,,
2025-01-28 23:45:00,901.9399999999999,-6.350000000000023,0.0,75.66666666666667,63.31,900.52,0.0,70.0,100.0,73.99,0.0,70.0,407.6666666666667,72.0,69.28,-0.7000000000000028,,66.97,68.99,68.0,68.0,,
2025-01-29 00:00:00,901.2333333333332,10.600000000000023,0.0,75.83333333333333,63.1,900.52,0.0,70.0,100.0,73.99,0.0,70.0,410.0,72.0,69.27333333333333,-0.7199999999999989,,66.97,68.99,68.0,68.0,,
2025-01-29 00:15:00,903.35,6.360000000000014,0.0,75.66666666666667,62.78333333333333,900.52,0.0,70.0,100.0,73.99,0.0,70.0,414.0,72.0,69.25333333333333,-0.7399999999999949,,66.97,68.99,68.0,68.0,,
2025-01-29 00:30:00,894.8733333333333,12.720000000000027,0.0,75.66666666666667,62.68333333333334,900.52,0.0,70.0,100.0,73.99,0.0,70.0,418.0,72.0,69.26666666666667,-0.7399999999999949,,66.97,68.99,68.0,68.0,,
