time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTemp,StbyClgSp,StbyHtgSp,SuplFanCmd,SuplFanState,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 14:30:00,936.545,,0.0,100.0,101.78,1478.98,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,63.95,,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 14:45:00,937.25,-540.32,0.0,100.0,102.17,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,64.77333333333333,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 15:00:00,945.02,-546.6700000000001,0.0,100.0,102.37666666666667,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,65.89,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 15:15:00,945.02,-540.32,0.0,100.0,102.69333333333333,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,66.89,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 15:30:00,946.43,-531.84,0.0,100.0,103.02333333333333,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,67.60333333333334,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 15:45:00,942.1966666666667,-521.25,0.0,100.0,103.35666666666667,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,67.58333333333333,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 16:00:00,940.0733333333333,-527.6,0.0,100.0,103.50999999999999,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,67.96333333333332,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 16:15:00,947.14,-540.32,0.0,100.0,103.75,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,68.48,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 16:30:00,950.6733333333333,-546.6700000000001,0.0,100.0,104.26333333333334,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,68.94666666666666,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 16:45:00,942.1933333333333,-525.48,0.0,100.0,104.39666666666666,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.35000000000001,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 17:00:00,940.0766666666667,-533.96,0.0,100.0,104.70333333333333,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.52666666666666,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 17:15:00,943.6066666666666,-538.2,0.0,100.0,104.83333333333333,1478.9800000000002,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.71,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 17:30:00,943.6066666666666,-529.72,0.0,100.0,105.06666666666666,1475.4466666666667,0.0,70.0,99.56,74.0,0.0,70.0,0.0,72.0,69.93666666666667,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 17:45:00,941.8399999999999,-529.72,0.0,100.0,105.63,1478.98,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.71000000000001,-70.0,0.0,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 18:00:00,,-542.44,,,,,,,,,,,,,,-70.0,,,,,,,,,
2025-01-27 18:15:00,,-542.44,,,,,,,,,,,,,,-70.0,,,,,,,,,
2025-01-27 18:30:00,945.02,-542.44,0.0,100.0,105.82,1478.98,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.28,-0.269999999999996,,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 18:45:00,940.78,-533.96,0.0,100.0,106.49000000000001,1478.98,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.84,-0.7199999999999989,,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 19:00:00,,-533.96,,,,,,,,,,,,,,-0.1599999999999966,,,,,,,,,
2025-01-27 19:15:00,930.19,-533.96,0.0,100.0,100.44,1434.48,0.0,70.0,94.07,74.0,0.0,70.0,0.0,72.0,70.25,-0.1599999999999966,,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 19:30:00,,-504.28999999999996,,,,,,,,,,,,,,0.25,,,,,,,,,
2025-01-27 19:45:00,938.66,-504.28999999999996,0.0,100.0,106.59,1478.98,0.0,70.0,100.0,74.0,0.0,70.0,0.0,72.0,69.75,0.25,,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 20:00:00,,-540.32,,,,,,,,,,,,,,-0.25,,,,,,,,,
2025-01-27 20:15:00,972.57,-540.32,0.0,100.0,94.53,1387.87,0.0,70.0,87.83,74.0,0.0,70.0,0.0,72.0,70.38,-0.25,,84.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 20:30:00,,-415.29999999999984,,,,,,,,,,,,,,0.37999999999999545,,,,,,,,,
2025-01-27 20:45:00,,-415.29999999999984,,,,,,,,,,,,,,0.37999999999999545,,,,,,,,,
2025-01-27 21:00:00,,-415.29999999999984,,,,,,,,,,,,,,0.37999999999999545,,,,,,,,,
2025-01-27 21:15:00,,-415.29999999999984,,,,,,,,,,,,,,0.37999999999999545,,,,,,,,,
2025-01-27 21:30:00,,-415.29999999999984,,,,,,,,,,,,,,0.37999999999999545,,,,,,,,,
2025-01-27 21:45:00,,-415.29999999999984,,,,,,,,,,,,,,0.37999999999999545,,,,,,,,,
2025-01-27 22:00:00,,-415.29999999999984,,,,,,,,,,,,,,0.37999999999999545,,,,,,,,,
2025-01-27 22:15:00,,-415.29999999999984,,,,,,,,,,,,,,0.37999999999999545,,,,,,,,,
2025-01-27 22:30:00,,-415.29999999999984,,,,,,,,,,,,,,0.37999999999999545,,,,,,,,,
2025-01-27 22:45:00,,-415.29999999999984,,,,,,,,,,,,,,0.37999999999999545,,,,,,,,,
2025-01-27 23:00:00,,-415.29999999999984,,,,,,,,,,,,,,0.37999999999999545,,,,,,,,,
