time,AirFlow,Air_Flow_Diff,AirflowSpRht,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 14:30:00,632.485,,1108.17,0.0,100.0,63.019999999999996,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.375,,57.65,67.0,69.0,68.0,68.0,,
2025-01-27 14:45:00,644.1433333333333,-491.58000000000004,1108.17,0.0,100.0,63.443333333333335,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.47,-0.5999999999999943,58.169999999999995,67.0,69.0,68.0,68.0,,
2025-01-27 15:00:00,625.0666666666667,-474.6200000000001,1108.17,0.0,100.0,63.79,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.55666666666666,-0.45000000000000284,58.52333333333333,67.0,69.0,68.0,68.0,,
2025-01-27 15:15:00,642.7266666666666,-489.46000000000004,1108.17,0.0,100.0,64.14333333333333,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.58,-0.4300000000000068,58.973333333333336,67.0,69.0,68.0,68.0,,
2025-01-27 15:30:00,625.07,-466.1500000000001,1108.17,0.0,100.0,64.49000000000001,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.69,-0.4000000000000057,59.35666666666666,67.0,69.0,68.0,68.0,,
2025-01-27 15:45:00,630.7233333333334,-487.34000000000003,1108.17,0.0,100.0,64.79666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.72666666666667,-0.29000000000000625,59.79666666666666,67.0,69.0,68.0,68.0,,
2025-01-27 16:00:00,625.7766666666666,-474.6200000000001,1108.17,0.0,100.0,65.01666666666667,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.82,-0.23999999999999488,60.076666666666675,67.0,69.0,68.0,68.0,,
2025-01-27 16:15:00,637.0733333333333,-478.8600000000001,1108.17,0.0,100.0,65.21666666666665,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.84,-0.18000000000000682,60.336666666666666,67.0,69.0,68.0,68.0,,
2025-01-27 16:30:00,634.25,-472.5100000000001,1108.17,0.0,100.0,65.45666666666666,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.84333333333333,-0.1599999999999966,60.73,67.0,69.0,68.0,68.0,,
2025-01-27 16:45:00,627.8933333333333,-478.8600000000001,1108.17,0.0,100.0,65.69,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.88666666666667,-0.1599999999999966,61.080000000000005,67.0,69.0,68.0,68.0,,
2025-01-27 17:00:00,634.25,-472.5100000000001,1108.17,0.0,100.0,65.83999999999999,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.91,-0.060000000000002274,61.153333333333336,67.0,69.0,68.0,68.0,,
2025-01-27 17:15:00,633.5466666666666,-480.98,1108.17,0.0,100.0,66.02666666666666,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.79,-0.15000000000000568,61.45666666666667,67.0,69.0,68.0,68.0,,
2025-01-27 17:30:00,626.48,-464.0300000000001,1108.17,0.0,100.0,66.17,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.61999999999999,-0.29000000000000625,61.656666666666666,67.0,69.0,68.0,68.0,,
2025-01-27 17:45:00,622.95,-472.5100000000001,1108.17,0.0,100.0,66.44,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.55,-0.4300000000000068,62.035,67.0,69.0,68.0,68.0,,
2025-01-27 18:00:00,,-485.22,,,,,,,,,,,,,,,-0.46999999999999886,,,,,,,
2025-01-27 18:15:00,,-485.22,,,,,,,,,,,,,,,-0.46999999999999886,,,,,,,
2025-01-27 18:30:00,627.19,-485.22,1108.17,0.0,100.0,66.87,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.3,-0.46999999999999886,,67.0,69.0,68.0,68.0,,
2025-01-27 18:45:00,606.0,-480.98,,0.0,100.0,67.2,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.405,-0.7000000000000028,,67.0,69.0,68.0,68.0,,
2025-01-27 19:00:00,,-493.69000000000005,,,,,,,,,,,,,,,-0.5799999999999983,,,,,,,
2025-01-27 19:15:00,614.48,-493.69000000000005,,0.0,100.0,67.42,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.39,-0.5799999999999983,,67.0,69.0,68.0,68.0,,
2025-01-27 19:30:00,,-493.69000000000005,,,,,,,,,,,,,,,-0.6099999999999994,,,,,,,
2025-01-27 19:45:00,627.19,-493.69000000000005,,0.0,100.0,67.39,1108.17,0.0,70.0,100.0,74.0,0.0,70.0,1.0,0.0,69.03,-0.6099999999999994,,67.0,69.0,68.0,68.0,,
2025-01-27 20:00:00,,-480.98,,,,,,,,,,,,,,,-0.9699999999999989,,,,,,,
