time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTemp,StbyClgSp,StbyHtgSp,SuplFanCmd,SuplFanState,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 14:30:00,536.075,,0.0,100.0,81.31,997.99,0.0,70.0,100.0,74.0,0.0,70.0,486.0,72.0,66.94,,57.655,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 14:45:00,502.87999999999994,-438.61,0.0,100.0,81.63666666666667,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,486.0,72.0,67.08666666666666,-12.229999999999997,58.169999999999995,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 15:00:00,543.14,-466.15,0.0,100.0,81.93333333333334,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,487.6666666666667,72.0,67.26666666666667,-11.729999999999997,58.52666666666667,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 15:15:00,502.17333333333335,-413.18000000000006,0.0,100.0,82.27666666666667,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,487.6666666666667,72.0,67.42,-11.299999999999997,58.973333333333336,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 15:30:00,473.2166666666667,-510.65000000000003,0.0,100.0,82.61333333333333,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,486.6666666666667,72.0,67.58999999999999,-10.829999999999998,59.35666666666666,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 15:45:00,521.9499999999999,-538.19,0.0,100.0,83.03,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,490.6666666666667,72.0,67.80666666666667,-10.5,59.79666666666666,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 16:00:00,524.07,-472.51,0.0,100.0,83.31333333333333,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,498.3333333333333,72.0,67.98,-10.100000000000001,60.076666666666675,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 16:15:00,507.11999999999995,-423.77,0.0,100.0,83.50333333333333,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,501.0,72.0,68.13666666666667,-9.759999999999998,60.336666666666666,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 16:30:00,553.7333333333333,-457.68000000000006,0.0,100.0,83.83,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,500.3333333333333,72.0,68.34666666666668,-9.5,60.73333333333333,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 16:45:00,533.2533333333333,-421.65,0.0,100.0,84.11,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,503.0,72.0,68.51,-9.009999999999998,61.080000000000005,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 17:00:00,538.1966666666667,-478.86,0.0,100.0,84.23666666666666,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,503.0,72.0,68.74333333333334,-8.869999999999997,61.153333333333336,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 17:15:00,476.74666666666667,-466.15,0.0,100.0,84.56,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,504.3333333333333,72.0,68.90333333333332,-8.75,61.46666666666667,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 17:30:00,519.1266666666667,-523.36,0.0,100.0,84.86666666666666,997.9900000000001,0.0,70.0,100.0,74.0,0.0,70.0,503.6666666666667,72.0,69.05666666666667,-8.43,61.656666666666666,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 17:45:00,473.57,-451.32000000000005,0.0,100.0,85.13499999999999,997.99,0.0,70.0,100.0,74.0,0.0,70.0,505.0,72.0,69.225,-8.170000000000002,62.055,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 18:00:00,,-546.6700000000001,,,,,,,,,,,,,,-7.939999999999998,,,,,,,,,
2025-01-27 18:15:00,,-546.6700000000001,,,,,,,,,,,,,,-7.939999999999998,,,,,,,,,
2025-01-27 18:30:00,459.8,-546.6700000000001,0.0,100.0,85.69,997.99,0.0,70.0,100.0,74.0,0.0,70.0,521.0,72.0,69.84,-0.7199999999999989,,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 18:45:00,500.05499999999995,-538.19,0.0,100.0,86.18,968.325,0.0,70.0,95.38499999999999,74.0,0.0,70.0,524.0,72.0,70.185,-0.1599999999999966,,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 19:00:00,,-466.15000000000003,,,,,,,,,,,,,,0.25,,,,,,,,,
2025-01-27 19:15:00,495.82,-466.15000000000003,0.0,100.0,83.3,834.84,0.0,70.0,73.49,74.0,0.0,70.0,526.0,72.0,70.84,0.25,,67.0,69.0,1.0,-1.0,85.0,68.0,,
2025-01-27 19:30:00,,-339.02000000000004,,,,,,,,,,,,,,0.8400000000000034,,,,,,,,,
