time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 14:30:00,441.79,,0.0,97.5,61.650000000000006,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,70.66,,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 14:45:00,444.25666666666666,-6.349999999999966,0.0,97.66666666666667,61.916666666666664,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,70.76666666666667,2.6599999999999966,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 15:00:00,445.67333333333335,-14.829999999999984,0.0,97.5,62.22333333333333,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,70.83666666666666,2.8100000000000023,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 15:15:00,447.78666666666663,-6.349999999999966,0.0,97.5,62.46,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,70.9,2.8400000000000034,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 15:30:00,444.9633333333333,-2.1200000000000045,0.0,97.33333333333333,62.72666666666667,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,70.95333333333333,2.9000000000000057,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 15:45:00,448.49333333333334,-4.240000000000009,0.0,97.5,62.94333333333333,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.08,3.010000000000005,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 16:00:00,448.49666666666667,-4.240000000000009,0.0,97.33333333333333,63.086666666666666,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.1,3.0999999999999943,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 16:15:00,447.78999999999996,-10.589999999999975,0.0,97.16666666666667,63.31999999999999,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.16333333333334,3.0999999999999943,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 16:30:00,449.2,-8.46999999999997,0.0,97.0,63.60666666666666,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.21333333333332,3.1500000000000057,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 16:45:00,454.8533333333333,-2.1200000000000045,0.0,96.83333333333333,63.9,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.23333333333333,3.219999999999999,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 17:00:00,453.44,6.360000000000014,0.0,97.0,64.06,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.24666666666667,3.239999999999995,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 17:15:00,444.25666666666666,2.1200000000000045,0.0,96.5,64.16000000000001,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.24,3.260000000000005,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 17:30:00,444.25666666666666,-4.240000000000009,0.0,96.66666666666667,64.37333333333333,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.25333333333333,3.239999999999995,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 17:45:00,450.26,2.1200000000000045,0.0,97.0,64.715,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.33000000000001,3.280000000000001,0.0,67.0,69.0,85.0,68.0,,
2025-01-27 18:00:00,,2.1200000000000045,,,,,,,,,,,,,3.3700000000000045,,,,,,,
2025-01-27 18:15:00,,2.1200000000000045,,,,,,,,,,,,,3.3700000000000045,,,,,,,
2025-01-27 18:30:00,451.32,2.1200000000000045,0.0,96.5,64.98,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.38,3.3700000000000045,,67.0,69.0,85.0,68.0,,
2025-01-27 18:45:00,451.32,2.1200000000000045,0.0,96.25,65.345,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.435,3.3799999999999955,,67.0,69.0,85.0,68.0,,
2025-01-27 19:00:00,,4.240000000000009,,,,,,,,,,,,,3.489999999999995,,,,,,,
2025-01-27 19:15:00,457.68,4.240000000000009,0.0,96.0,65.59,449.2,0.0,68.0,0.0,74.0,0.0,70.0,0.0,71.6,3.489999999999995,,67.0,69.0,85.0,68.0,,
