time,AirFlow,Air_Flow_Diff,ClgPct,DmprPos,DschAirTemp,EffAirflowSp,EffOcc,EffSp,HtgPct,OccClgSp,OccCmd,OccHtgSp,RmCo2,RmSp,RmTemp,Room_Temperature_Diff,SaTmp,StbyClgSp,StbyHtgSp,UnoccClgSp,UnoccHtgSp,VAV_Temperature_Diff,oppMode
2025-01-27 14:30:00,150.44,,0.0,6.5,82.285,152.56,0.0,68.0,70.19,74.0,0.0,70.0,530.5,0.0,67.625,,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 14:45:00,151.85333333333332,-2.1200000000000045,0.0,6.666666666666667,82.96,152.56,0.0,68.0,70.79333333333334,74.0,0.0,70.0,524.3333333333334,0.0,67.71333333333332,-0.4099999999999966,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 15:00:00,152.56,-2.1200000000000045,0.0,6.0,82.23,152.56,0.0,68.0,67.64666666666666,74.0,0.0,70.0,528.0,0.0,67.94,-0.23000000000000398,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 15:15:00,151.85333333333332,0.0,0.0,5.5,81.31,152.56,0.0,68.0,65.06666666666666,74.0,0.0,70.0,533.3333333333334,0.0,68.05,0.01999999999999602,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 15:30:00,151.14666666666668,-2.1200000000000045,0.0,4.833333333333333,71.83,152.56,0.0,68.0,36.63333333333333,74.0,0.0,70.0,731.6666666666666,0.0,69.34333333333333,0.04999999999999716,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 15:45:00,151.14666666666668,-2.1200000000000045,0.0,4.833333333333333,62.169999999999995,152.56,0.0,68.0,9.323333333333332,74.0,0.0,70.0,885.0,0.0,69.98,2.019999999999996,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 16:00:00,150.44,-2.1200000000000045,0.0,6.166666666666667,61.75333333333333,152.56,0.0,68.0,1.9666666666666668,74.0,0.0,70.0,751.3333333333334,0.0,69.64,1.980000000000004,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 16:15:00,151.85333333333332,0.0,0.0,5.833333333333333,61.95666666666667,152.56,0.0,68.0,0.0,74.0,0.0,70.0,753.0,0.0,69.57,1.5699999999999932,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 16:30:00,152.56,0.0,0.0,5.666666666666667,62.276666666666664,152.56,0.0,68.0,0.0,74.0,0.0,70.0,745.6666666666666,0.0,69.61333333333333,1.5699999999999932,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 16:45:00,152.56,2.1200000000000045,0.0,4.333333333333333,62.596666666666664,152.56,0.0,68.0,0.0,74.0,0.0,70.0,705.0,0.0,69.56,1.6700000000000017,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 17:00:00,149.73333333333332,0.0,0.0,5.0,62.76,152.56,0.0,68.0,0.0,74.0,0.0,70.0,683.3333333333334,0.0,69.47666666666667,1.5499999999999972,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 17:15:00,151.85333333333332,-2.1200000000000045,0.0,5.166666666666667,62.86666666666667,152.56,0.0,68.0,0.0,74.0,0.0,70.0,672.0,0.0,69.48333333333333,1.4599999999999937,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 17:30:00,151.14666666666668,-2.1200000000000045,0.0,5.0,63.080000000000005,152.56,0.0,68.0,0.0,74.0,0.0,70.0,680.6666666666666,0.0,69.49,1.4399999999999977,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 17:45:00,151.5,0.0,0.0,4.25,63.5,152.56,0.0,68.0,0.0,74.0,0.0,70.0,658.0,0.0,69.485,1.4599999999999937,0.0,67.0,69.0,68.0,68.0,,
2025-01-27 18:00:00,,-2.1200000000000045,,,,,,,,,,,,,,1.5300000000000011,,,,,,,
2025-01-27 18:15:00,,-2.1200000000000045,,,,,,,,,,,,,,1.5300000000000011,,,,,,,
2025-01-27 18:30:00,154.68,-2.1200000000000045,0.0,5.5,63.86,152.56,0.0,68.0,0.0,74.0,0.0,70.0,548.0,0.0,68.18,1.5300000000000011,,67.0,69.0,68.0,68.0,,
2025-01-27 18:45:00,152.56,2.1200000000000045,0.0,4.0,64.36,152.56,0.0,68.0,0.0,74.0,0.0,70.0,547.0,0.0,68.095,0.18000000000000682,,67.0,69.0,68.0,68.0,,
2025-01-27 19:00:00,,-2.1200000000000045,,,,,,,,,,,,,,0.04999999999999716,,,,,,,
2025-01-27 19:15:00,150.44,-2.1200000000000045,0.0,5.5,64.69,152.56,0.0,68.0,1.41,74.0,0.0,70.0,548.0,0.0,67.98,0.04999999999999716,,67.0,69.0,68.0,68.0,,
2025-01-27 19:30:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.01999999999999602,,,,,,,
2025-01-27 19:45:00,152.56,-2.1200000000000045,0.0,3.5,64.54,152.56,0.0,68.0,6.97,74.0,0.0,70.0,538.0,0.0,67.78,-0.01999999999999602,,67.0,69.0,68.0,68.0,,
2025-01-27 20:00:00,,0.0,,,,,,,,,,,,,,-0.21999999999999886,,,,,,,
2025-01-27 20:15:00,150.44,0.0,0.0,3.5,64.8,152.56,0.0,68.0,10.18,74.0,0.0,70.0,538.0,0.0,67.75,-0.21999999999999886,,67.0,69.0,68.0,68.0,,
2025-01-27 20:30:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 20:45:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 21:00:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 21:15:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 21:30:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 21:45:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 22:00:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 22:15:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 22:30:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 22:45:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 23:00:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 23:15:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 23:30:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
2025-01-27 23:45:00,,-2.1200000000000045,,,,,,,,,,,,,,-0.25,,,,,,,
